"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TRUMCWY5","conferencePaper","2016","Goudarzi, Visda","Exploration of sonification design process through an interdisciplinary workshop","Proceedings of the Audio Mostly 2016","978-1-4503-4822-5","","10.1145/2986416.2986422","https://dl.acm.org/doi/10.1145/2986416.2986422","In sonification of scientific data, designers know very little about the domain science and domain scientists are not familiar with the sonification methodology. The knowledge about the domain science is not given, but evolved during the problem-solving process. We discuss design challenges in auditory display design regarding user-centered approaches and suggest a method to involve domain scientists throughout sonification designs. We explore this within a workshop in which sonification experts, domain experts, and programmers worked together to better understand and solve problems collaboratively. The sonification framework that is used during the workshops is briefly described and the workshop process and how each group worked together during the workshop sessions are examined. Participants worked on pre-defined and exploratory tasks to sonify climate data. Furthermore, they grasped each other's domains; climate scientists especially became more open to use auditory display and sonification as a tool in their data mining tasks. Resulting sonification prototypes and workshop sessions are documented on a wiki to be used by the sonification community. To get started, we used some of the sonification designs created during the workshop for an online study where participants from science, engineering, and humanities were asked questions about the data behavior by listening to sonifcations of bivariate time series. Results indicate that sonic representation of data from resulting sonification allows most users (even with little or no knowledge of sound and music) to successfully complete some common data exploration tasks.","2016-10-04","2023-07-06 04:36:04","2023-07-06 04:36:04","2023-07-05","147–153","","","","","","","AM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/CM7EMMGG/Goudarzi - 2016 - Exploration of sonification design process through.pdf","","","Sonification; Auditory Display; Participatory Design; User Experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IKFFJZX","conferencePaper","2021","Rönnberg, Niklas","Sonification for Conveying Data and Emotion","Proceedings of the 16th International Audio Mostly Conference","978-1-4503-8569-5","","10.1145/3478384.3478387","https://dl.acm.org/doi/10.1145/3478384.3478387","In the present study a sonification of running data was evaluated. The aim of the sonification was to both convey information about the data and convey a specific emotion. The sonification was evaluated in three parts, firstly as an auditory graph, secondly together with additional text information, and thirdly together with an animated visualization, with a total of 150 responses. The results suggest that the sonification could convey an emotion similar to that intended, but at the cost of less good representation of the data. The addition of visual information supported understanding of the sonification, and the auditory representation of data. The results thus suggest that it is possible to design sonification that is perceived as both interesting and fun, and convey an emotional impression, but that there may be a trade off between musical experience and clarity in sonification.","2021-10-15","2023-07-06 04:36:13","2023-07-06 04:36:13","2023-07-05","56–63","","","","","","","AM '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/PEF22AXJ/Rönnberg - 2021 - Sonification for Conveying Data and Emotion.pdf","","","sonification; model of affect; user evaluation; visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VXKPQ4W","conferencePaper","2015","Seibert, Gabriela; Hug, Daniel; Cslovjecsek, Markus","Towards an Enactive Swimming Sonification: Exploring Multisensory Design and Musical Interpretation","Proceedings of the Audio Mostly 2015 on Interaction With Sound","978-1-4503-3896-7","","10.1145/2814895.2814902","https://dl.acm.org/doi/10.1145/2814895.2814902","In this paper we present a design method that integrates the exploration of visual representations and musical expertise in the process of creating a swimming sonification, and initial results of the method's application in an explorative study. Our focus lies on the creation of a sonic representation that facilitates the affective, intuitive reproduction of the crawl swim movement. The method integrates artistic creativity and a systematic design process. By combining the linguistic-conceptual, visual and auditory representation of the (imagined) movement, we aim to advance the expressive quality of the sonic representation as well as the design method in a crossmodal, holistic way. Finally we report on a qualitative evaluation of the potential of this approach to support the affective, intuitive re-enactment of the swimming movement.","2015-10-07","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","1–8","","","","","","Towards an Enactive Swimming Sonification","AM '15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/8QBGUSQZ/Seibert et al. - 2015 - Towards an Enactive Swimming Sonification Explori.pdf","","","Enactive Design; Movement Sonification; Multisensory Design; Musical Improvisation; Sonic Representation; Swimming Sport Training; Visual Musical Score","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZESVXFMY","conferencePaper","2008","Last, Mark; Gorelik, Anna","Using sonification for mining time series data","Proceedings of the 9th International Workshop on Multimedia Data Mining: held in conjunction with the ACM SIGKDD 2008","978-1-60558-261-0","","10.1145/1509212.1509220","https://dl.acm.org/doi/10.1145/1509212.1509220","In recent years, there is a growing interest in mining time series databases by both automated and interactive tools. In this paper, we present an interactive methodology for mining of time series data using a novel sonification technique which uses some important properties of time series and tonal music to achieve effective (accurate) and efficient (fast) results. We have created an experimental website, where participants were asked to perform some basic data exploration and mining tasks by listening to a musical display of several time series. The initial results indicate that the proposed methodology for musical representation of data allows, on one hand, to efficiently perform some decision-making tasks ""on the fly"" - by only listening to some short music examples, and on the other hand, it provides an alternative data representation for blind or visually impaired users or users who are due to their professional or personal activities (e.g., driving) cannot use their sense of vision for watching a visual display of data, but still need to get some important time-based information by using their other senses.","2008-08-24","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","63–72","","","","","","","MDM '08","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/YDEHBT8S/Last and Gorelik - 2008 - Using sonification for mining time series data.pdf","","","sonification; data mining; sound display; time series","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJ3T8BZ8","conferencePaper","2022","Senan, Toros; Hengeveld, Bart; Eggen, Berry","Sounding Obstacles for Social Distance Sonification","Proceedings of the 17th International Audio Mostly Conference","978-1-4503-9701-8","","10.1145/3561212.3561239","https://dl.acm.org/doi/10.1145/3561212.3561239","This article reports the results of an experiment (N = 10) that employs continuous auditory feedback to influence participants’ routing choices while walking between two points by sonifying their interactions with invisible obstacles. A relative distance parameter, proximity, is defined and mapped simultaneously to perceived loudness and amplitude modulation frequencies of sine tones. The proximity parameter is divided into three sections: slow modulation, border zone, and fast modulation. The slow and fast modulation sections generate a monotonic relationship between proximity values and the resulting psychoacoustic parameters: fluctuation strength and roughness. A social distance sonification case study in a laboratory experiment evaluated the effectiveness of the generated hearing sensations and explored participants’ experiences through a semi-structured interview. The quantitative results show that the non-spatial, psychoacoustically-inspired sonification mappings successfully influenced participants’ routing choices during the experiental task of walking. On the other hand, the semi-structured interview revealed that participants ascribed a pleasantness/annoyance attribute to presented sounds, which was not intended.","2022-10-10","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","187–194","","","","","","","AM '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/GA4PJEMP/Senan et al. - 2022 - Sounding Obstacles for Social Distance Sonificatio.pdf","","","Sonification; Psychoacoustics; Guidance technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIIE8WU8","conferencePaper","2011","Ramos, Daniel; Folmer, Eelke","Supplemental sonification of a bingo game","Proceedings of the 6th International Conference on Foundations of Digital Games","978-1-4503-0804-5","","10.1145/2159365.2159388","https://dl.acm.org/doi/10.1145/2159365.2159388","Visual cues are typically used in video games to indicate to the player what input to provide and when. Cues represented in multiple modalities that are presented simultaneously can be detected at lower thresholds, faster and more accurately than when presented separately in each modality. This characteristic has not been explored in playing video games to reduce errors. This paper explores the use of supplemental audio feedback to reduce errors in playing Bingo, a game which is typically played in crowded and noisy environments by a demographic, which -due to their age- are more likely to suffer from sensory impairments such as low vision or hearing impairments. A user study explored three different types of sonification (pitch, timbre, and audio icons) versus using no sonification and found that supplemental sonification using timbre or audio icons significantly reduces player's errors.","2011-06-29","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","168–173","","","","","","","FDG '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/YPJVGBHY/Ramos and Folmer - 2011 - Supplemental sonification of a bingo game.pdf","","","sonification; games; multimodal feedback","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FQ4Y6RNT","conferencePaper","2020","Quinton, Michael; McGregor, Iain; Benyon, David","Sonification of an exoplanetary atmosphere","Proceedings of the 15th International Audio Mostly Conference","978-1-4503-7563-4","","10.1145/3411109.3411117","https://dl.acm.org/doi/10.1145/3411109.3411117","This study investigates the effectiveness of user design methods to create a sonification for an astronomer who analyses exoplanet meteorological data situated in habitable zones. Requirements about the astronomer's work, the dataset and how to sonify it utilising Grounded Theory were identified. Parameter mapping sonification was used to represent effective transiting radii measurements through subtractive synthesis and spatialization. The design was considered to be effective, allowing the instantaneous identification of a water feature overlooked on a visual graph, even when noise within the dataset overlapped the source signal. The results suggest that multiple parameter mappings provide richer auditory stimuli and semantic qualities in order to allow an improved understanding of the dataset.","2020-09-16","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","191–198","","","","","","","AM '20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/WR8PC7CI/Quinton et al. - 2020 - Sonification of an exoplanetary atmosphere.pdf","","","sonification; astronomy; exoplanet atmospheres; grounded theory; parameter mapping sonification; user centred design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I67DEFUK","conferencePaper","2021","Enge, Kajetan; Rind, Alexander; Iber, Michael; Höldrich, Robert; Aigner, Wolfgang","It’s about Time: Adopting Theoretical Constructs from Visualization for Sonification","Proceedings of the 16th International Audio Mostly Conference","978-1-4503-8569-5","","10.1145/3478384.3478415","https://dl.acm.org/doi/10.1145/3478384.3478415","Both sonification and visualization convey information about data by effectively using our human perceptual system, but their ways to transform the data could not be more different. The sonification community has demanded a holistic perspective on data representation, including audio-visual analysis, several times during the past 30 years. A design theory of audio-visual analysis could be a first step in this direction. An indispensable foundation for this undertaking is a terminology that describes the combined design space. To build a bridge between the domains, we adopt two of the established theoretical constructs from visualization theory for the field of sonification. The two constructs are the spatial substrate and the visual mark. In our model, we choose time to be the temporal substrate of sonification. Auditory marks are then positioned in time, such as visual marks are positioned in space. The proposed definitions allow discussing visualization and sonification designs as well as multi-modal designs based on a common terminology. While the identified terminology can support audio-visual analytics research, it also provides a new perspective on sonification theory itself.","2021-10-15","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","64–71","","","","","","It’s about Time","AM '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/ZPACRWP4/Enge et al. - 2021 - It’s about Time Adopting Theoretical Constructs f.pdf","","","Audio-Visual Data Analysis; Sonification Theory; Visualization Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEPCKVNX","conferencePaper","2022","Joo, Woohun","Graphic-to-Sound Sonification for Visual and Auditory Communication Design","Proceedings of the 17th International Audio Mostly Conference","978-1-4503-9701-8","","10.1145/3561212.3561214","https://dl.acm.org/doi/10.1145/3561212.3561214","I designed two sonification platforms designed for visual/auditory communication design studies and audiovisual art. The purpose of this study was to examine whether test participants can associate visuals and sound without any prior training and sonification approaches in this paper can be utilized as an interactive musical expression. The platform for the communication design study was developed first and the artistic audiovisual platform with the same sonification methodology followed next. In this paper, I introduce the (former) sonification platform designed for the image-to-sound association studies, their sonification methodologies, and present the study results. The object-oriented sonification method that I newly developed describes each shape sonically. The five image-sound association studies were conducted to see whether people can successfully associate sounds and fundamental shapes (i.e., a circle, a triangle, a square, lines, curves, and other custom shapes). Regardless of age and educational background, the correct answer rate was high.","2022-10-10","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","1–6","","","","","","","AM '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/T44QUYT3/Joo - 2022 - Graphic-to-Sound Sonification for Visual and Audit.pdf","","","Sonification; Auditory Icon; Auditory Symbol; Graphic Sonification; Image-Sound Sonification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q736TKGZ","conferencePaper","2021","Quinton, Michael; McGregor, Iain; Benyon, David","Sonification of Planetary Orbits in Asteroid Belts","Proceedings of the 16th International Audio Mostly Conference","978-1-4503-8569-5","","10.1145/3478384.3478390","https://dl.acm.org/doi/10.1145/3478384.3478390","This study investigates the design and evaluation of a sonification designed to detect any planets orbiting within an asteroid belt of an exosolar system. The interface was designed for an astronomer who studies this phenomenon. User centered design methods were applied to create an accurate sonification of the data that could allow the astronomer to perceive possible planetary movements within an asteroid belt. The sonification was developed over three stages: A requirements gathering exercise inquiring about the data that the astronomer uses in her work. A design and development stage based on the findings of the requirements gathering and the third stage, an evaluation of the sonification design. The sonification effectively allowed the astronomer to immediately detect a planet orbiting within an asteroid belt. Multiple parameter mappings provide richer auditory stimuli that are more semantical to the user. The use of more familiar, natural sounding sound design led to a clearer comprehension of the dataset. The use of spatial mapping and movement allowed for immediate identification and understanding of the planet's course through the asteroid belt.","2021-10-15","2023-07-06 04:39:31","2023-07-06 04:39:31","2023-07-05","72–80","","","","","","","AM '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/RYPYS3A3/Quinton et al. - 2021 - Sonification of Planetary Orbits in Asteroid Belts.pdf","","","Sonification; Astronomy; Exoplanet hunting; Grounded theory; Parameter mapping sonification; User centered design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
