"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2RLFZ48I","journalArticle","2019","Sanyal, Shankha; Nag, Sayan; Banerjee, Archi; Sengupta, Ranjan; Ghosh, Dipak","Music of brain and music on brain: a novel EEG sonification approach","Cognitive Neurodynamics","","1871-4080, 1871-4099","10.1007/s11571-018-9502-4","http://link.springer.com/10.1007/s11571-018-9502-4","Can we hear the sound of our brain? Is there any technique which can enable us to hear the neuro-electrical impulses originating from the different lobes of brain? The answer to all these questions is YES. In this paper we present a novel method with which we can sonify the electroencephalogram (EEG) data recorded in ‘‘control’’ state as well as under the influence of a simple acoustical stimuli—a tanpura drone. The tanpura has a very simple construction yet the tanpura drone exhibits very complex acoustic features, which is generally used for creation of an ambience during a musical performance. Hence, for this pilot project we chose to study the nonlinear correlations between musical stimulus (tanpura drone as well as music clips) and sonified EEG data. Till date, there have been no study which deals with the direct correlation between a bio-signal and its acoustic counterpart and also tries to see how that correlation varies under the influence of different types of stimuli. This study tries to bridge this gap and looks for a direct correlation between music signal and EEG data using a robust mathematical microscope called Multifractal Detrended Cross Correlation Analysis (MFDXA). For this, we took EEG data of 10 participants in 2 min ‘‘control condition’’ (i.e. with white noise) and in 2 min ‘tanpura drone’ (musical stimulus) listening condition. The same experimental paradigm was repeated for two emotional music, ‘‘Chayanat’’ and ‘‘Darbari Kanada’’. These are well known Hindustani classical ragas which conventionally portray contrast emotional attributes, also verified from human response data. Next, the EEG signals from different electrodes were sonified and MFDXA technique was used to assess the degree of correlation (or the cross correlation coefficient cx) between the EEG signals and the music clips. The variation of cx for different lobes of brain during the course of the experiment provides interesting new information regarding the extraordinary ability of music stimuli to engage several areas of the brain significantly unlike any other stimuli (which engages specific domains only).","2019-02","2023-07-05 06:08:32","2023-07-19 23:45:33","2023-07-05 06:08:32","13-31","","1","13","","Cogn Neurodyn","Music of brain and music on brain","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/RQA9A9RR/Sanyal et al. - 2019 - Music of brain and music on brain a novel EEG son.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZZKTPAL","bookSection","2018","Véron-Delor, Lauriane; Pinto, Serge; Eusebio, Alexandre; Velay, Jean-Luc; Danna, Jérémy","Music and Musical Sonification for the Rehabilitation of Parkinsonian Dysgraphia: Conceptual Framework","Music Technology with Swing","978-3-030-01691-3 978-3-030-01692-0","","","http://link.springer.com/10.1007/978-3-030-01692-0_21","Music has been shown to enhance motor control in patients with Parkinson’s disease (PD). Notably, musical rhythm is perceived as an external auditory cue that helps PD patients to better control movements. The rationale of such effects is that motor control based on auditory guidance would activate a compensatory brain network that minimizes the recruitment of the defective pathway involving the basal ganglia. Would associating music to movement improve its perception and control in PD? Musical sonification consists in modifying in real-time the playback of a preselected music according to some movement parameters. The validation of such a method is underway for handwriting in PD patients. When confirmed, this study will strengthen the clinical interest of musical sonification in motor control and (re)learning in PD.","2018","2023-07-05 06:08:32","2023-07-21 04:35:01","2023-07-05 06:08:32","312-326","","","11265","","","Music and Musical Sonification for the Rehabilitation of Parkinsonian Dysgraphia","","","","","Springer International Publishing","Cham","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-030-01692-0_21","","/Users/minsik/Zotero/storage/9NVLLCUD/Véron-Delor et al. - 2018 - Music and Musical Sonification for the Rehabilitat.pdf","","","","Aramaki, Mitsuko; Davies, Matthew E. P.; Kronland-Martinet, Richard; Ystad, Sølvi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3CRMK8N","journalArticle","2016","Walus, Bartlomiej P.; Pauletto, Sandra; Mason-Jones, Amanda","Sonification and music as support to the communication of alcohol-related health risks to young people: Study design and results","Journal on Multimodal User Interfaces","","1783-7677, 1783-8738","10.1007/s12193-016-0220-0","http://link.springer.com/10.1007/s12193-016-0220-0","Excessive consumption of alcohol has been recognised as a significant risk factor impacting the health of young people. Effective communication of such risk is considered to be one key step to improve behaviour. We evaluated an innovative multimedia intervention that utilised audio (sonification—using sound to display data—and music) and interactivity to support the visual communication of alcohol health risk data. A 3-arm pilot experiment was undertaken. The trial measures included health knowledge, alcohol risk perception and user experience of the intervention. Ninetysix subjects participated in the experiment. At 1 month follow-up, alcohol knowledge and alcohol risk perception improved significantly in the whole sample. However, there was no difference between the intervention groups that experienced (1) visual presentation with interactivity (VI-Exp group) and, (2) visual presentation with audio (sonification and music) and interactivity (VAI-Exp group), when compared to the control group which experienced a (3) visual only presentation (V-Cont group). Participants reported enjoying the presentations and found them educational. The majority of participants indicated that the audio, music and sonification helped to convey the information well, and, although a larger sample size is needed to fully establish the effectiveness of the different interventions, this study provides a useful model for future similar studies.","2016-09","2023-07-05 06:08:32","2023-07-20 07:05:38","2023-07-05 06:08:32","235-246","","3","10","","J Multimodal User Interfaces","Sonification and music as support to the communication of alcohol-related health risks to young people","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/ILKJCIEL/Walus et al. - 2016 - Sonification and music as support to the communica.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RHR52H3","journalArticle","2012","Huang, Chih-Fang; Lu, Hsiang-Pin; Ren, Jenny","Algorithmic approach to sonification of classical Chinese poetry","Multimedia Tools and Applications","","1380-7501, 1573-7721","10.1007/s11042-011-0856-4","http://link.springer.com/10.1007/s11042-011-0856-4","The classical Chinese poetry is a remarkable form of art in traditional Chinese character. However, it is difficult for people who are unfamiliar with ancient Chinese to experience the artistic content of the poetry. In this study, a sonification scheme, Tx2Ms (Text-to-Music), is proposed to extract the poetry features between lines in verses; moreover, dynamics and interval relations are modeled to map those features to the movement of multi-dimensional musical elements such as durations. This conversion is based on poetry intonation and acoustic analysis of the pronunciations of poems; and a stochastic compositional algorithm is created by applying a Markov chain. In addition, the best pentatonic mode for a specific poem is recommended according to the formants analysis. Therefore, the sonification of classical Chinese poetry not only provides a novel way for people to appreciate Chinese poetry but also enriches the state of mind and imagery in the delivery process, and the experiment results show that the proposed system is successfully accepted by most people.","2012-11","2023-07-05 06:08:32","2023-07-21 04:32:33","2023-07-05 06:08:32","489-518","","2","61","","Multimed Tools Appl","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/3PVKLA2M/Huang et al. - 2012 - Algorithmic approach to sonification of classical .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QHW8T6Q","journalArticle","2020","Newbold, Joseph; Gold, Nicolas E.; Bianchi-Berthouze, Nadia","Movement sonification expectancy model: leveraging musical expectancy theory to create movement-altering sonifications","Journal on Multimodal User Interfaces","","1783-7677, 1783-8738","10.1007/s12193-020-00322-2","http://link.springer.com/10.1007/s12193-020-00322-2","Abstract             When designing movement sonifications, their effect on people’s movement must be considered. Recent work has shown how real-time sonification can be designed to alter the way people move. However, the mechanisms through which these sonifications alter people’s expectations of their movement is not well explained. This is especially important when considering musical sonifications, to which people bring their own associations and musical expectation, and which can, in turn, alter their perception of the sonification. This paper presents a Movement Expectation Sonification Model, based on theories of motor-feedback and expectation, to explore how musical sonification can impact the way people perceive their movement. Secondly, we present a study that validates the predictions of this model by exploring how harmonic stability within sonification interacts with contextual cues in the environment to impact movement behaviour and perceptions. We show how musical expectancy can be built to either reward or encourage movement, and how such an effect is mediated through the presence of additional cues. This model offers a way for sonification designers to create movement sonifications that not only inform movement but can be used to encourage progress and reward successes.","2020-06","2023-07-05 06:08:32","2023-07-05 06:08:32","2023-07-05 06:08:32","153-166","","2","14","","J Multimodal User Interfaces","Movement sonification expectancy model","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/KKA2QX8L/Newbold et al. - 2020 - Movement sonification expectancy model leveraging.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUYT32DV","bookSection","2008","Chemseddine, Maher; Noirhomme-Fraiture, Monique","Complex and Dynamic Data Representation by Sonification","Human-Computer Interaction Symposium","978-0-387-09677-3 978-0-387-09678-0","","","http://link.springer.com/10.1007/978-0-387-09678-0_18","So far, data representation has been based on visuals. The huge size of data verges on overuse of the visual capability. Thus, there is a need to reduce the almost exclusive use of visual techniques to represent data in order to increase our perception bandwidth. In this research, we aim to solve this problem by integrating the audio component. More precisely, we are interested in representing data using musical melodies. This paper presents a model for music elements based on human emotion, to express alert messages displayed by computer network monitoring.","2008","2023-07-05 06:08:32","2023-07-20 06:29:33","2023-07-05 06:08:32","195-200","","","272","","","","","","","","Springer US","Boston, MA","en","","","","","DOI.org (Crossref)","","ISSN: 1571-5736 Series Title: IFIP International Federation for Information Processing DOI: 10.1007/978-0-387-09678-0_18","","/Users/minsik/Zotero/storage/TDSDARHQ/Chemseddine and Noirhomme-Fraiture - 2008 - Complex and Dynamic Data Representation by Sonific.pdf","","","","Forbrig, Peter; Paternò, Fabio; Pejtersen, Annelise Mark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZLQIGIA","journalArticle","2012","Diniz, Nuno; Coussement, Pieter; Deweppe, Alexander; Demey, Michiel; Leman, Marc","An embodied music cognition approach to multilevel interactive sonification","Journal on Multimodal User Interfaces","","1783-8738","10.1007/s12193-011-0084-2","https://doi.org/10.1007/s12193-011-0084-2","In this paper, a new conceptual framework and related implementation for interactive sonification is introduced. The conceptual framework consists of a combination of three components, namely, gestalt-based electroacoustic composition techniques (sound), user and body-centered spatial exploration (body), and corporeal mediation technology (tools), which are brought together within an existing paradigm of embodied music cognition. The implementation of the conceptual framework is based on an iterative process that involves the development of several use cases. Through this methodology, it is possible to investigate new approaches for structuring and to interactively explore multivariable data through sound.","2012-05-01","2023-07-05 06:10:04","2023-07-05 06:10:04","2023-07-05 06:10:04","211-219","","3","5","","J Multimodal User Interfaces","","","","","","","","en","","","","","Springer Link","","","","/Users/minsik/Zotero/storage/KWERYVAV/Diniz et al. - 2012 - An embodied music cognition approach to multilevel.pdf","","","Sonification; Electroacoustic; Embodiment; Framework; Interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSZG7DPL","journalArticle","2012","Gena, Peter","Apropos sonification: a broad view of data as music and sound","AI & SOCIETY","","1435-5655","10.1007/s00146-011-0339-1","https://doi.org/10.1007/s00146-011-0339-1","Numbers have been identified with symbolic data forever. The profound association of both with acoustics, music, and sonic art from Pythagoras to current work is beyond reproach. Recently, sonification looks for ways to realize symbolic data (representing results or measurements) as well as “raw” data (signals, impulses, images, etc.) into compositions. In the strictest sense, everything in a computer is symbolic, that is, represented by 0s and 1s. In the arts, the digital age has broadened and enhanced the conceptual landscape not simply through its servitude to the creative process, but as its partner. However, there is a rich history of the use of data that no doubt has paved the way for many of today’s experiments including my own.","2012-05-01","2023-07-05 06:10:33","2023-07-05 06:10:33","2023-07-05 06:10:33","197-205","","2","27","","AI & Soc","Apropos sonification","","","","","","","en","","","","","Springer Link","","","","/Users/minsik/Zotero/storage/3AWTXPUP/Gena - 2012 - Apropos sonification a broad view of data as musi.pdf","","","Algorithmic composition; DNA music; Music; Music history; Sonic art","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DABWYJ52","conferencePaper","2021","Polaczyk, Jakub; Croft, Katelyn; Cai, Yang","Compositional Sonification of Cybersecurity Data in a Baroque Style","Advances in Artificial Intelligence, Software and Systems Engineering","978-3-030-80624-8","","10.1007/978-3-030-80624-8_38","","Compositional sonification is a musical mapping algorithm that transforms a dataset into a soundscape for humans to hear numbers within a musical structure. In this study, we used three methods to sonify data: 1) a Baroque-style gestural mapping algorithm that emphasized timing and rhythm using an analog method of handwritten composition, 2) an electronic online pitch sequencer, and 3) the classical instrument Harp performing notated music. We investigated related sound mapping algorithms and the sensitivity of pattern representation of cybersecurity data, including the malware distribution network datasets. Our preliminary experiments showed that a Baroque-inspired timing element based on gestures plays a critical role in aural sonification. Using a sequencer with visualizers helped listeners grasp the patterns more effectively since they were able to watch and hear the results simultaneously. Performing the sonified data live on the harp helped make the compositions more relatable and thus connected with a broader audience. The harp also added a visual element which helped listeners identify patterns. We found that listeners were able to accurately identify the sonified data patterns in both the baroque-style analog handwritten compositions performed on harp and the compositions produced by the Online Sequencer. While non-musicians were able to answer questions about the data patterns they heard with a high percentage of accuracy, their results improved when visual elements were added.","2021","2023-07-05 06:12:24","2023-07-05 06:12:24","","304-312","","","","","","","Lecture Notes in Networks and Systems","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","/Users/minsik/Zotero/storage/7HF8V3K5/Polaczyk et al. - 2021 - Compositional Sonification of Cybersecurity Data i.pdf","","","Sonification; AI; Augmented reality; Baroque; Classical instruments; Classical music; Composition; Computer music; Computer virus; Creativity; Harp; Malware; Network; Sequencer","Ahram, Tareq Z.; Karwowski, Waldemar; Kalra, Jay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JXEFZDG","journalArticle","2012","Eacott, John","Flood Tide: sonification as musical performance—an audience perspective","AI & SOCIETY","","1435-5655","10.1007/s00146-011-0338-2","https://doi.org/10.1007/s00146-011-0338-2","The number of events and artifacts described as sonification has increased considerably in recent years with some works making a bridge between the representation of data and artistic expression. FloodTide which sonifies the flow of tidal water is such a work and has achieved a relatively high profile attracting good audiences for its 10 performances to date. It is not entirely obvious however what it is that attracts audiences and whether it is effective at representing the data being sonified. This paper aims to address these issues and is based on a discussion group in which these and other questions are considered.","2012-05-01","2023-07-05 06:12:56","2023-07-05 06:12:56","2023-07-05 06:12:56","189-195","","2","27","","AI & Soc","Flood Tide","","","","","","","en","","","","","Springer Link","","","","/Users/minsik/Zotero/storage/HGWTT38M/Eacott - 2012 - Flood Tide sonification as musical performance—an.pdf","","","Sonification; Algorithmic composition; Live notation; Tide","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
