"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6ALIC5HM","journalArticle","2008","Andersen, Tue Haste; Zhai, Shumin","“Writing with music”: Exploring the use of auditory feedback in gesture interfaces","ACM Transactions on Applied Perception","","1544-3558","10.1145/1773965.1773968","https://dl.acm.org/doi/10.1145/1773965.1773968","We investigate the use of auditory feedback in pen-gesture interfaces in a series of informal and formal experiments. Initial iterative exploration showed that gaining performance advantage with auditory feedback was possible using absolute cues and state feedback after the gesture was produced and recognized. However, gaining learning or performance advantage from auditory feedback tightly coupled with the pen-gesture articulation and recognition process was more difficult. To establish a systematic baseline, Experiment 1 formally evaluated gesture production accuracy as a function of auditory and visual feedback. Size of gestures and the aperture of the closed gestures were influenced by the visual or auditory feedback, while other measures such as shape distance and directional difference were not, supporting the theory that feedback is too slow to strongly influence the production of pen stroke gestures. Experiment 2 focused on the subjective aspects of auditory feedback in pen-gesture interfaces. Participants' rating on the dimensions of being wonderful and stimulating was significantly higher with musical auditory feedback. Several lessons regarding pen gestures and auditory feedback are drawn from our exploration: a few simple functions such as indicating the pen-gesture recognition results can be achieved, gaining performance and learning advantage through tightly coupled process-based auditory feedback is difficult, pen-gesture sets and their recognizers can be designed to minimize visual dependence, and people's subjective experience of gesture interaction can be influenced using musical auditory feedback. These lessons may serve as references and stepping stones toward future research and development in pen-gesture interfaces with auditory feedback.","2008-06-18","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:30","17:1–17:24","","3","7","","ACM Trans. Appl. Percept.","“Writing with music”","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/NBCDYUT9/Andersen and Zhai - 2008 - “Writing with music” Exploring the use of auditor.pdf","","","music; sound; gesture; feedback; Audio; auditory interface; pen; text input","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IJI6KK4","journalArticle","2018","Reichinger, Andreas; Carrizosa, Helena Garcia; Wood, Joanna; Schröder, Svenja; Löw, Christian; Luidolt, Laura Rosalia; Schimkowitsch, Maria; Fuhrmann, Anton; Maierhofer, Stefan; Purgathofer, Werner","Pictures in Your Mind: Using Interactive Gesture-Controlled Reliefs to Explore Art","ACM Transactions on Accessible Computing","","1936-7228","10.1145/3155286","https://dl.acm.org/doi/10.1145/3155286","Tactile reliefs offer many benefits over the more classic raised line drawings or tactile diagrams, as depth, 3D shape, and surface textures are directly perceivable. Although often created for blind and visually impaired (BVI) people, a wider range of people may benefit from such multimodal material. However, some reliefs are still difficult to understand without proper guidance or accompanying verbal descriptions, hindering autonomous exploration. In this work, we present a gesture-controlled interactive audio guide (IAG) based on recent low-cost depth cameras that can be operated directly with the hands on relief surfaces during tactile exploration. The interactively explorable, location-dependent verbal and captioned descriptions promise rapid tactile accessibility to 2.5D spatial information in a home or education setting, to online resources, or as a kiosk installation at public places. We present a working prototype, discuss design decisions, and present the results of two evaluation studies: the first with 13 BVI test users and the second follow-up study with 14 test users across a wide range of people with differences and difficulties associated with perception, memory, cognition, and communication. The participant-led research method of this latter study prompted new, significant and innovative developments.","2018-03-22","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:32","2:1–2:39","","1","11","","ACM Trans. Access. Comput.","Pictures in Your Mind","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/AMSH3MDU/Reichinger et al. - 2018 - Pictures in Your Mind Using Interactive Gesture-C.pdf","","","Blind; multimodal interaction; low vision; gestures; auditory interface; cognitive disability; design for all; learning disability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLPGVYW8","journalArticle","2013","Csapó, Ádám; Wersényi, György","Overview of auditory representations in human-machine interfaces","ACM Computing Surveys","","0360-0300","10.1145/2543581.2543586","https://dl.acm.org/doi/10.1145/2543581.2543586","In recent years, a large number of research projects have focused on the use of auditory representations in a broadened scope of application scenarios. Results in such projects have shown that auditory elements can effectively complement other modalities not only in the traditional desktop computer environment but also in virtual and augmented reality, mobile platforms, and other kinds of novel computing environments. The successful use of auditory representations in this growing number of application scenarios has in turn prompted researchers to rediscover the more basic auditory representations and extend them in various directions. The goal of this article is to survey both classical auditory representations (e.g., auditory icons and earcons) and those auditory representations that have been created as extensions to earlier approaches, including speech-based sounds (e.g., spearcons and spindex representations), emotionally grounded sounds (e.g., auditory emoticons and spemoticons), and various other sound types used to provide sonifications in practical scenarios. The article concludes by outlining the latest trends in auditory interface design and providing examples of these trends.","2013-12-27","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:34","19:1–19:23","","2","46","","ACM Comput. Surv.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/FPCXFXN5/Csapó and Wersényi - 2013 - Overview of auditory representations in human-mach.pdf","","","sonification; Auditory icon; earcon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIVQ4E6E","journalArticle","2008","Fontana, Federico; Rocchesso, Davide","Auditory distance perception in an acoustic pipe","ACM Transactions on Applied Perception","","1544-3558","10.1145/1402236.1402240","https://dl.acm.org/doi/10.1145/1402236.1402240","In a study of auditory distance perception, we investigated the effects of exaggeration the acoustic cue of reverberation where the intensity of sound did not vary noticeably. The set of stimuli was obtained by moving a sound source inside a 10.2-m long pipe having a 0.3-m diameter. Twelve subjects were asked to listen to a speech sound while keeping their head inside the pipe and then to estimate the egocentric distance from the sound source using a magnitude production procedure. The procedure was repeated eighteen times using six different positions of the sound source. Results show that the point at which perceived distance equals physical distance is located approximately 3.5 m away from the listening point, with an average range of distance estimates of approximately 3.3 m, i.e., 1.65 to 4.9 m. The absence of intensity cues makes the acoustic pipe a potentially interesting modeling paradigm for the design of auditory interfaces in which distance is rendered independently of loudness. The proposed acoustic environment also confirms the known unreliability of certain distance cues.","2008-09-12","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:36","16:1–16:15","","3","5","","ACM Trans. Appl. Percept.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/BJIBGLVN/Fontana and Rocchesso - 2008 - Auditory distance perception in an acoustic pipe.pdf","","","auditory display; Acoustic pipe; distance perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BNCSVW5Q","journalArticle","2016","Vazquez-Alvarez, Yolanda; Aylett, Matthew P.; Brewster, Stephen A.; Jungenfeld, Rocio Von; Virolainen, Antti","Designing Interactions with Multilevel Auditory Displays in Mobile Audio-Augmented Reality","ACM Transactions on Computer-Human Interaction","","1073-0516","10.1145/2829944","https://dl.acm.org/doi/10.1145/2829944","Auditory interfaces offer a solution to the problem of effective eyes-free mobile interactions. In this article, we investigate the use of multilevel auditory displays to enable eyes-free mobile interaction with indoor location-based information in non-guided audio-augmented environments. A top-level exocentric sonification layer advertises information in a gallery-like space. A secondary interactive layer is used to evaluate three different conditions that varied in the presentation (sequential versus simultaneous) and spatialisation (non-spatialised versus egocentric/exocentric spatialisation) of multiple auditory sources. Our findings show that (1) participants spent significantly more time interacting with spatialised displays; (2) using the same design for primary and interactive secondary display (simultaneous exocentric) showed a negative impact on the user experience, an increase in workload and substantially increased participant movement; and (3) the other spatial interactive secondary display designs (simultaneous egocentric, sequential egocentric, and sequential exocentric) showed an increase in time spent stationary but no negative impact on the user experience, suggesting a more exploratory experience. A follow-up qualitative and quantitative analysis of user behaviour support these conclusions. These results provide practical guidelines for designing effective eyes-free interactions for far richer auditory soundscapes.","2016-12-31","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:38","3:1–3:30","","1","23","","ACM Trans. Comput.-Hum. Interact.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/M7I8CQP3/Vazquez-Alvarez et al. - 2016 - Designing Interactions with Multilevel Auditory Di.pdf","","","auditory displays; spatial audio; exploratory behaviour; Eyes-free interaction; mobile audio-augmented reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXTAXIZM","journalArticle","2012","Jeon, Myounghoon; Walker, Bruce N.; Srivastava, Abhishek","“Spindex” (Speech Index) Enhances Menus on Touch Screen Devices with Tapping, Wheeling, and Flicking","ACM Transactions on Computer-Human Interaction","","1073-0516","10.1145/2240156.2240162","https://dl.acm.org/doi/10.1145/2240156.2240162","Users interact with many electronic devices via menus such as auditory or visual menus. Auditory menus can either complement or replace visual menus. We investigated how advanced auditory cues enhance auditory menus on a smartphone, with tapping, wheeling, and flicking input gestures. The study evaluated a spindex (speech index), in which audio cues inform users where they are in a menu; 122 undergraduates navigated through a menu of 150 songs. Study variables included auditory cue type (text-to-speech alone or TTS plus spindex), visual display mode (on or off), and input gesture (tapping, wheeling, or flicking). Target search time and subjective workload were lower with spindex than without for all input gestures regardless of visual display mode. The spindex condition was rated subjectively higher than plain speech. The effects of input method and display mode on navigation behaviors were analyzed with the two-stage navigation strategy model. Results are discussed in relation to attention theories and in terms of practical applications.","2012-07-01","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:41","14:1–14:27","","2","19","","ACM Trans. Comput.-Hum. Interact.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/IYSRJDHJ/Jeon et al. - 2012 - “Spindex” (Speech Index) Enhances Menus on Touch S.pdf","","","touch screen; spindex; Auditory menus; flicking; input gestures; tapping; wheeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ZFEWKLX","journalArticle","2011","Jeon, Myounghoon; Walker, Bruce N.","Spindex (Speech Index) Improves Auditory Menu Acceptance and Navigation Performance","ACM Transactions on Accessible Computing","","1936-7228","10.1145/1952383.1952385","https://dl.acm.org/doi/10.1145/1952383.1952385","Users interact with mobile devices through menus, which can include many items. Auditory menus have the potential to make those devices more accessible to a wide range of users. However, auditory menus are a relatively new concept, and there are few guidelines that describe how to design them. In this paper, we detail how visual menu concepts may be applied to auditory menus in order to help develop design guidelines. Specifically, we examine how to optimize the designs of a new contextual cue, called “spindex” (i.e., speech index). We developed and evaluated various design alternatives for spindex and iteratively refined the design with sighted users and visually impaired users. As a result, the “attenuated” spindex was the best in terms of preference as well as performance, across user groups. Nevertheless, sighted and visually impaired participants showed slightly different responses and feedback. Results are discussed in terms of acoustical theory, practical display design, and assistive technology design.","2011-04-01","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:42","10:1–10:26","","3","3","","ACM Trans. Access. Comput.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/TGNBQR95/Jeon and Walker - 2011 - Spindex (Speech Index) Improves Auditory Menu Acce.pdf","","","assistive technology; spindex; Auditory menus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SWQIU47","journalArticle","2013","Moll, Jonas; Pysander, Eva-Lotta Sallnäs","A Haptic Tool for Group Work on Geometrical Concepts Engaging Blind and Sighted Pupils","ACM Transactions on Accessible Computing","","1936-7228","10.1145/2493171.2493172","https://dl.acm.org/doi/10.1145/2493171.2493172","In the study presented here, two haptic and visual applications for learning geometrical concepts in group work in primary school have been designed and evaluated. The aim was to support collaborative learning among sighted and visually impaired pupils. The first application is a static flattened 3D environment that supports learning to distinguish between angles by means of a 3D haptic device providing touch feedback. The second application is a dynamic 3D environment that supports learning of spatial geometry. The scene is a room with a box containing geometrical objects, which pupils can pick up and move around. The applications were evaluated in four schools with groups of two sighted and one visually impaired pupil. The results showed the support for the visually impaired pupil and for the collaboration to be satisfying. A shared understanding of the workspace could be achieved, as long as the virtual environment did not contain movable objects. Verbal communication was crucial for the work process but haptic guiding to some extent substituted communication about direction. When it comes to joint action between visually impaired and sighted pupils a number of interesting problems were identified when the dynamic and static virtual environments were compared. These problems require further investigation. The study extends prior work in the areas of assistive technology and multimodal communication by evaluating functions for joint haptic manipulation in the unique setting of group work in primary school.","2013-07-01","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:44","14:1–14:37","","4","4","","ACM Trans. Access. Comput.","","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/TGTJILCQ/Moll and Pysander - 2013 - A Haptic Tool for Group Work on Geometrical Concep.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTISEJET","journalArticle","2021","Hirskyj-Douglas, Ilyena; Piitulainen, Roosa; Lucero, Andrés","Forming the Dog Internet: Prototyping a Dog-to-Human Video Call Device","Proceedings of the ACM on Human-Computer Interaction","","","10.1145/3488539","https://dl.acm.org/doi/10.1145/3488539","Over the past decade, many systems have been developed for humans to remotely connect to their pets at home. Yet little attention has been paid to how animals can control such systems and what the implications are of animals using internet systems. This paper explores the creation of a video call device to allow a dog to remotely call their human, giving the animal control and agency over technology in their home. After building and prototyping a novel interaction method over several weeks and iterations, we test our system with a dog and a human. Analysing our experience and data, we reflect on power relations, how to quantify an animal's user experience and what interactive internet systems look like with animal users. This paper builds upon Human-Computer Interaction methods for unconventional users, uncovering key questions that advance the creation of animal-to-human interfaces and animal internet devices.","2021-11-05","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:46","494:1–494:20","","ISS","5","","Proc. ACM Hum.-Comput. Interact.","Forming the Dog Internet","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/LJRZDH5F/Hirskyj-Douglas et al. - 2021 - Forming the Dog Internet Prototyping a Dog-to-Hum.pdf","","","participatory design; animal-computer interaction; remote human-animal systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G2VGXZVR","journalArticle","2008","Zhao, Haixia; Plaisant, Catherine; Shneiderman, Ben; Lazar, Jonathan","Data Sonification for Users with Visual Impairment: A Case Study with Georeferenced Data","ACM Transactions on Computer-Human Interaction","","1073-0516","10.1145/1352782.1352786","https://dl.acm.org/doi/10.1145/1352782.1352786","We describe the development and evaluation of a tool, iSonic, to assist users with visual impairment in exploring georeferenced data using coordinated maps and tables, augmented with nontextual sounds and speech output. Our in-depth case studies with 7 blind users during 42 hours of data collection, showed that iSonic enabled them to find facts and discover trends in georeferenced data, even in unfamiliar geographical contexts, without special devices. Our design was guided by an Action-by-Design-Component (ADC) framework, which was also applied to scatterplots to demonstrate its generalizability. Video and download is available at www.cs.umd.edu/hcil/iSonic/.","2008-05-01","2023-07-06 05:41:48","2023-07-06 05:41:48","2023-07-06 05:41:48","4:1–4:28","","1","15","","ACM Trans. Comput.-Hum. Interact.","Data Sonification for Users with Visual Impairment","","","","","","","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/JKMVRK6L/Zhao et al. - 2008 - Data Sonification for Users with Visual Impairment.pdf","","","Interactive sonification; auditory user interfaces; information seeking; universal usability; users with visual impairment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
