"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NAJ7H4VQ","conferencePaper","2021","Paroiu, Razvan; Trăuşan-Matu, Ştefan","A new approach for chat sonification","2021 23rd International Conference on Control Systems and Computer Science (CSCS)","","","10.1109/CSCS52396.2021.00080","","This paper presents a new approach of chat sonification based on a deep neural network for music generation. The advantage of chat sonification is that the feeling of something artificial in the generated music is less present than for other artificial intelligence approaches. The new method of sonification introduced in the paper is based on the polyphonic model theory, similarly to the idea used in the MusicXML Creator Platform, the novelty being that it uses sequence-to-sequence neural networks for an improved pitch generation. The duration generation algorithm remains the same as it was implemented in the MusicXML Creator. The results are evaluated by multiple participants","2021-05","2023-07-06 01:40:30","2023-07-06 01:40:30","","453-456","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2379-0482","","/Users/minsik/Zotero/storage/7ASDPA6Y/Paroiu and Trăuşan-Matu - 2021 - A new approach for chat sonification.pdf","","","Sonification; Music; sonification; artificial intelligence; Computational modeling; computer music generation; Computer science; Correlation; Deep learning; Neural networks; polyphonic model; recurrent neural networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 23rd International Conference on Control Systems and Computer Science (CSCS)","","","","","","","","","","","","","","",""
"UJ43WM24","conferencePaper","2016","Hananoi, Shunsuke; Muraoka, Kazuki; Kiyoki, Yasushi","A music composition system with time-series data for sound design in next-generation sonification environment","2016 International Electronics Symposium (IES)","978-1-5090-1640-2","","10.1109/ELECSYM.2016.7861035","http://ieeexplore.ieee.org/document/7861035/","This research suggests an idea of synthesizing time series data and human sense. This software can help human to know environmental invisible changes that human cannot detect. Player can use time series data for music composition. We have already had a way of sonification as relating research. However, this research aims having more flexibility in composition. For the motivation, we set player flexibility as tonality editing and data conversion range control system. In our software, player can edit melody and its range of sampling. For example, if composer want to express data as bright atmosphere music, you can edit some settings in the tool and play it. We have tried to use this software to use foreign exchange data. In future work, we try to use this software in virtual reality. And we will test the listener recognition change.","2016-09","2023-07-06 01:41:55","2023-07-06 01:41:55","2023-07-06 01:41:55","380-384","","","","","","","","","","","IEEE","Denpasar, Indonesia","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/DENELJWL/Hananoi et al. - 2016 - A music composition system with time-series data f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016 International Electronics Symposium (IES)","","","","","","","","","","","","","","",""
"B9G4E9T8","conferencePaper","2021","Meytin, Sophia","A Novel Method for Protein-Protein Interface Analysis Using Sonification","2021 IEEE MIT Undergraduate Research Technology Conference (URTC)","978-1-66540-595-9","","10.1109/URTC54388.2021.9701622","https://ieeexplore.ieee.org/document/9701622/","Auditory inspection reduces analytical subjectivity through concrete musical parameters. Here, it is applied to oligomerically varied protein-protein interfaces (PPIs) in a harmony-based sonification method. Amino acids in the PPI bonded contacts for homo- and hetero- di/tri/tetramers were grouped using four qualitative systems. PPI hydrogen bonds and salt bridges were examined to determine groups’ bonded interaction frequencies, compared using the chi-squared test of independence. Highly significant p-values (<<0.05) for homo- and hetero-oligomers in all systems’ oligomeric states strongly suggested that bonded interactions’ frequencies differ. These frequencies were successfully sonified using variations in consonance, waveform, chord structure, and pitch.","2021-10-08","2023-07-06 01:41:59","2023-07-06 01:41:59","2023-07-06 01:41:59","1-5","","","","","","","","","","","IEEE","Cambridge, MA, USA","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/FYHTIR52/Meytin - 2021 - A Novel Method for Protein-Protein Interface Analy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE MIT Undergraduate Research Technology Conference ((URTC))","","","","","","","","","","","","","","",""
"Z8AAWSN8","conferencePaper","2015","Huang, Chih-Fang; Nien, Wei-Po","A sonification system based on geographic and meteorologic data","2015 8th International Conference on Ubi-Media Computing (UMEDIA)","978-1-4673-8270-0","","10.1109/UMEDIA.2015.7297465","https://ieeexplore.ieee.org/document/7297465/","Most algorithmic composition system is implemented based on the input of music parameters, which needs professional music and technology training to complete the automated composition. This paper proposed an innovated way called Geographic and Meteorologic Data Sonification System (GMDSS), to perform the data mappings into music for various devices such as hand phone or other hand-hold devices, and the driver can retrieve the environment information in real time to let people concentrate on driving without the need of paying attention to the long-term complicated data visualization. The mapping relationship between geographic/meteorologic data and music features is discussed, and the result shows the implementation of GIS and weather data which can compose the proper correspondent music accordingly.","2015-08","2023-07-06 01:42:01","2023-07-06 01:42:01","2023-07-06 01:42:01","259-262","","","","","","","","","","","IEEE","Colombo","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/W3AAWVUA/Huang and Nien - 2015 - A sonification system based on geographic and mete.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 8th International Conference on Ubi-Media Computing (UMEDIA)","","","","","","","","","","","","","","",""
"IATE9PYG","conferencePaper","2008","Xiaoying Wu; Ze-Nian Li","A study of image-based music composition","2008 IEEE International Conference on Multimedia and Expo","978-1-4244-2570-9","","10.1109/ICME.2008.4607692","http://ieeexplore.ieee.org/document/4607692/","visual and auditory forms have some noticeable associations that can inspire similar cognitive and aesthetical experiences. this paper presents a study on the possibilities of applying low level visual auditory associations to music generation. a few methods are implemented to directly convert visual features extracted from images into musical elements (pitch, duration, and chord). some initial results suggest a high potential of composing interesting music along this direction. possible applications of this study include getting new ideas for music composers and generating accompanying music in various contexts.","2008-06","2023-07-06 01:42:04","2023-07-21 07:48:13","2023-07-06 01:42:04","1345-1348","","","","","","","","","","","IEEE","Hannover, Germany","","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/FZI4BDTN/Xiaoying Wu and Ze-Nian Li - 2008 - A study of image-based music composition.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2008 IEEE International Conference on Multimedia and Expo (ICME)","","","","","","","","","","","","","","",""
"JMBCYD58","conferencePaper","2020","Hall, Lawton","Leander: Navigating Musical Possibility Space Through Color Data Sonification","2020 IEEE VIS Arts Program (VISAP)","978-1-72818-553-8","","10.1109/VISAP51628.2020.00011","https://ieeexplore.ieee.org/document/9307993/","HDQGHU is an experimental film that sonifies color data to generate its musical soundtrack. The colors of Lake Michigan, captured in time lapse video, constitute ever-changing probability vectors that govern the behavior of musical sound-events over time. This VWRFKDVWLF, or probabilistic approach to data sonification imagines the musical experience as movement through a virtual possibility space, rather than the end result of a causal process. This pictorial describes how color data guides the various musical parameters at play in /HDQGHU through weighted chance.","2020-10","2023-07-06 01:42:05","2023-07-06 01:42:05","2023-07-06 01:42:05","45-60","","","","","","Leander","","","","","IEEE","Salt Lake City, UT, USA","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/BLG9SP57/Hall - 2020 - Leander Navigating Musical Possibility Space Thro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE VIS Arts Program (VISAP)","","","","","","","","","","","","","","",""
"U26VNG37","conferencePaper","2018","Morawitz, Falk","Quantum: An art-science case study on sonification and sound design in virtual reality","2018 IEEE 4th VR Workshop on Sonic Interactions for Virtual Environments (SIVE)","978-1-5386-5713-3","","10.1109/SIVE.2018.8577080","https://ieeexplore.ieee.org/document/8577080/","Molecular sonification is the transformation of chemical data into sound and has been used to gain insight into chemical systems and for the creation of contemporary music compositions. The combination of sonification with a virtual reality environment offers potential benefits such as providing a visual frame of reference, an increased sense of immersion, nuanced spatial information through binaural audio cues and ease of interactivity. To explore how strategies developed in sonification research and contemporary electroacoustic music composition can be adapted to virtual reality, the art-science installation ’Quantum’ was created. The multi-media work consists of computer-generated molecules in a virtual space producing sound created via the sonification of nuclear magnetic resonance data. Upon user interaction with different molecules, the overall composition and complexity of the sound world develop. The binaural sound material can migrate back and forth from the molecules to the non-binaural background composition and, depending on user input, develop in terms of timbre, spectral complexity, and gestural content. ‘Quantum’ is an exploration of the combination of sonification and virtual reality and offers first points of discussion that can be elaborated upon in future artworks, games or educational content.","2018-03","2023-07-06 01:42:08","2023-07-06 01:42:08","2023-07-06 01:42:08","1-5","","","","","","Quantum","","","","","IEEE","Reutlingen","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/9Z4MDJXN/Morawitz - 2018 - Quantum An art-science case study on sonification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE 4th VR Workshop on Sonic Interactions for Virtual Environments (SIVE)","","","","","","","","","","","","","","",""
"W6P6G2Y3","conferencePaper","2020","Zahray, Lisa; Savery, Richard; Syrkett, Liana; Weinberg, Gil","Robot Gesture Sonification to Enhance Awareness of Robot Status and Enjoyment of Interaction","2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","978-1-72816-075-7","","10.1109/RO-MAN47096.2020.9223452","https://ieeexplore.ieee.org/document/9223452/","We present a divergent approach to robotic soniﬁcation with the goal of improving the quality and safety of human-robot interactions. Soniﬁcation (turning data into sound) has been underutilized in robotics, and has broad potential to convey robotic movement and intentions to users without requiring visual engagement. We design and evaluate six different soniﬁcations of movements for a robot with four degrees of freedom. Our soniﬁcation techniques include a direct mapping from each degree of freedom to pitch and timbre changes, emotion-based sound mappings, and velocity-based mappings using different types of sounds such as motors and music. We evaluate these soniﬁcations using metrics for ease of use, enjoyment/appeal, and conveyance of movement information. Based on our results, we make recommendations to inform decisions for future robot soniﬁcation design. We suggest that when using soniﬁcation to improve safety of human-robot collaboration, it is necessary not only to convey sufﬁcient information about movements, but also to convey that information in a pleasing and even social way to to enhance the human-robot relationship.","2020-08","2023-07-06 01:42:11","2023-07-06 01:42:11","2023-07-06 01:42:11","978-985","","","","","","","","","","","IEEE","Naples, Italy","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/FL22B9UN/Zahray et al. - 2020 - Robot Gesture Sonification to Enhance Awareness of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)","","","","","","","","","","","","","","",""
"TSFSV77Y","conferencePaper","2013","Sanchez, A.; Valderrama, M.","Sonification of EEG signals based on musical structures","2013 Pan American Health Care Exchanges (PAHCE)","978-1-4673-6257-3 978-1-4673-6254-2 978-1-4673-6256-6","","10.1109/PAHCE.2013.6568291","http://ieeexplore.ieee.org/document/6568291/","This short communication proposes a new method to translate human EEG recordings into music. The sonification method is based on the relation of primary concepts of musical composition to different time-frequency characteristics of electrical signals from the brain that give information about the mental states. In general terms, normalization and thresholding procedures were applied to wavelet transforms of analyzed signals in order to extract amplitude and frequency parameters that were mapped to several synthetic or natural sounds following basic musical composition structures. The method seeks to provide a new perspective about the brain activity by means of an auditory feedback which not only facilitates the long term monitoring in clinical contexts like polysomnographics studies or epilepsy but also offers a new tool for a self-understating of the different human body processes modulated by the brain.","2013-04","2023-07-06 01:42:13","2023-07-21 07:48:31","2023-07-06 01:42:13","1-1","","","","","","","","","","","IEEE","Medellin, Colombia","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/H2TP6URR/Sanchez and Valderrama - 2013 - Sonification of EEG signals based on musical struc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013 Pan American Health Care Exchanges (PAHCE)","","","","","","","","","","","","","","",""
"2JHPCUUE","journalArticle","2019","Colombo, R.; Raglio, A.; Panigazzi, M.; Mazzone, A.; Bazzini, G.; Imarisio, C.; Molteni, D.; Caltagirone, C.; Imbriani, M.","The SonicHand Protocol for Rehabilitation of Hand Motor Function: A Validation and Feasibility Study","IEEE Transactions on Neural Systems and Rehabilitation Engineering","","1534-4320, 1558-0210","10.1109/TNSRE.2019.2905076","https://ieeexplore.ieee.org/document/8667371/","Musical sonification therapy is a new technique that can reinforce conventional rehabilitation treatments by increasing therapy intensity and engagement through challenging and motivating exercises. The aim of this paper is to evaluate the feasibility and validity of the SonicHand protocol, a new training and assessment method for the rehabilitation of hand function. The study was conducted in 15 healthy individuals and 15 stroke patients. The feasibility of implementation of the training protocol was tested in stroke patients only, who practiced a series of exercises concurrently to music sequences produced by specific movements. The assessment protocol evaluated hand motor performance during pronation/supination, wrist horizontal flexion/extension, and hand grasp without sonification. From hand position data, 15 quantitative parameters were computed evaluating mean velocity, movement smoothness, and angular excursions of hand/fingers. We validated this assessment in terms of its ability to discriminate between patients and healthy subjects, test-retest reliability and concurrent validity with the upper limb section of the Fugl-Meyer scale (FM), the functional independence measure (FIM), and the Box and Block Test (BBT). All patients showed a good understanding of the assigned tasks and were able to correctly execute the proposed training protocol, confirming its feasibility. A moderateto-excellent intraclass correlation coefficient was found in 8/15 computed parameters. The moderate-to-strong correlation was found between the measured parameters and the clinical scales. The SonicHand training protocol is feasible and the assessment protocol showed good to excellent between-group discrimination ability, reliability, and concurrent validity, thus enabling the implementation of new personalized and motivating training programs employing sonification for the rehabilitation of hand function.","2019-04","2023-07-06 01:43:57","2023-07-21 07:48:56","2023-07-06 01:43:57","664-672","","4","27","","IEEE Trans. Neural Syst. Rehabil. Eng.","The SonicHand Protocol for Rehabilitation of Hand Motor Function","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/KS9WMCK8/Colombo et al. - 2019 - The SonicHand Protocol for Rehabilitation of Hand .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
