"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G4JTHMAL","journalArticle","2019","Brinkmann, Fabian; Dinakaran, Manoj; Pelzer, Robert; Grosche, Peter; Voss, Daniel; Weinzierl, Stefan","A Cross-Evaluated Database of Measured and Simulated HRTFs Including 3D Head Meshes, Anthropometric Features, and Headphone Impulse Responses","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=20546","The individualization of head related transfer functions (HRTFs) can make an important contribution to improving the quality of binaural technology applications. One approach to individualization is to exploit the relationship between the shape of HRTFs and the anthropometric features of the ears, head, and torso of the corresponding listeners. To identify statistically significant relationships between the two sets of variables, a relatively large database is required. For this purpose full-spherical HRTFs of 96 subjects were acoustically measured and numerically simulated. A detailed cross-evaluation showed a good agreement to previous data between repeated measurements and between measured and simulated data. In addition to 96 HRTFs, the database includes high-resolution head-meshes, a list of 25 anthropometric features per subject, and headphone transfer functions for two headphone models.","2019","2023-07-12 06:41:35","2023-07-19 03:45:08","","705–718","","9","67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJXKVADJ","journalArticle","2012","Stewart, Rebecca; Sandler, Mark","Spatial Auditory Display in Music Search and Browsing Applications","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16637","","2012","2023-07-12 07:04:55","2023-07-12 07:04:55","","936–946","","11","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96XL5BG6","journalArticle","2012","Peres, S. Camille","A Comparison of Sound Dimensions for Auditory Graphs: Pitch Is Not So Perfect","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16367","Visually-impaired individuals and sighted individuals who are conducting tasks in divided-attention situations, both benefit from using sound to display information typically communicated visually. Auditory displays of statistical graphs are one such tool and can be effective in these situations. However, it is not obvious how these graphs should be designed. In a series of experiments in which information was conveyed by sound, subjects were divided into two groups: those hearing graphs using integral (pitch and loudness) and separable (pitch and timing) dimensions of sound. The results showed that pitch alone produced the worst performance and timing the best. However, designs using pitch and loudness redundantly provided good results as well.","2012","2023-07-12 07:04:59","2023-07-19 04:37:44","","561–567","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VUR44Y8A","journalArticle","2012","Grond, Florian; Kramer, Oliver; Hermann, Thomas","Balancing Salience and Unobtrusiveness in Auditory Monitoring of Evolutionary Optimization","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16364","Sonification, which is the conversion of physical data (temperature, network traffic, or an electrocardiogram) into sound, is very suitable for augmenting task monitoring. The challenge to the sound designer is to create a monitoring display that maximizes the conveyed information while at the same time remaining unobtrusive. In this article an auditory augmentation approach was developed for monitoring evolutionary optimization algorithms. In order to augment short interaction sounds effectively with the information about the high-dimensional search space, a sonification method known as data sonograms was applied. Various mappings of data to sound features have been investigated, where the delay of the signal has been shown to be an interesting parameter that plays a role in both unobtrusiveness and information conveyed.","2012","2023-07-12 07:05:02","2023-07-19 04:02:51","","531–539","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L7Q6MY8L","journalArticle","2012","Roginska, Agnieszka","Effect of Spatial Location and Presentation Rate on the Reaction to Auditory Displays","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16361","The way in which auditory displays are presented can significantly influence the experience of listeners. Spatio-temporal factors influence and redirect the attention toward such displays. These factors include presentation speed, stimulus externalization, and location in the three dimensional space. Results show that stimuli perceived inside the head resulted in a more accurate and faster response than those that were externalized. For externalized auditory displays, those presented in the frontal hemisphere were attended to faster. Response times did not change linearly with presentation speed; there was an optimal presentation rate at which the response time is fastest without compromising accuracy.","2012","2023-07-12 07:05:05","2023-07-19 04:41:19","","497–504","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSDXTGIC","journalArticle","2012","Altinsoy, M. Ercan","The Quality of Auditory-Tactile Virtual Environments","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16164","","2012","2023-07-12 07:05:08","2023-07-12 07:05:08","","38–46","","1/2","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9REG4A3X","journalArticle","1995","Crispien, Kai; Ehrenberg, Tasso","Evaluation of the -Cocktail-Party Effect- for Multiple Speech Stimuli within a Spatial Auditory Display","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=7922","In order to provide access to graphics-based user interfaces for blind computer users, a spatial auditory computer display is under development which conveys the visual information embedded in the user interface in an auditory form. A spatial representation of the auditory display, based on a binaural real-time processing syst;em, is used to provide orientational information and to permit the use of multiple simultaneous verbal and nonverbal audio information. A psychoacoustic experiment was carried out with 31 participating subjects in order to investigate the ability to discriminate multiple simultaneous speech stimuli within a spatial auditory display. Localization performance and speech reception were investigated.","1995","2023-07-12 07:05:11","2023-07-19 03:50:37","","932–941","","11","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2T2NBML","journalArticle","2012","Jeon, Myounghoon; Gupta, Siddharth; Davison, Benjamin K.; Walker, Bruce N.","Auditory Menus Are Not Just Spoken Visual Menus: A Case Study of “Unavailable” Menu Items","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16362","When a visual menu, such as in a computer, needs to be presented with sound, there is a question about how to best communicate an item that is unavailable. This question was explored in three studies that showed that using a whispered voice for unavailable items was favored over an attenuated voice, saying “unavailable,” or skipping such items. In general, participants preferred a female voice over a male voice. Results are discussed in terms of acoustic theory, cognitive menu selection theory, and user interface accessibility. The authors asserted that designers should go beyond a naïve translation from text into speech when creating auditory systems, thereby creating subjective satisfaction.","2012","2023-07-12 07:05:14","2023-07-19 04:08:40","","505–518","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48EGYBNH","journalArticle","2012","Parseihian, Gaëtan; Katz, Brian F. G.","Morphocons: A New Sonification Concept Based on Morphological Earcons","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16355","","2012","2023-07-12 07:05:17","2023-07-12 07:05:17","","409–418","","6","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNCRYSEQ","journalArticle","1998","Begault, Durand R.","Virtual Acoustics, Aeronautics, and Communications","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=12140","","1998","2023-07-12 07:05:20","2023-07-12 07:05:20","","520–530","","6","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
