"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A36SRT6M","journalArticle","2012","Stewart, Rebecca; Sandler, Mark","Spatial Auditory Display in Music Search and Browsing Applications","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16637","","2012","2023-07-12 06:29:39","2023-07-12 06:29:39","","936–946","","11","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKKVD953","journalArticle","2012","Altinsoy, M. Ercan","The Quality of Auditory-Tactile Virtual Environments","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16164","In our daily lives, we usually perceive an event via more than one sensory modality (e.g., vision, hearing, touch). Therefore, multimodal integration and interactions play an important role when we use objects and for event recognition in our environment. A virtual environment (VE) is a computer simulation of a realistic-looking and interactive world. VEs should take into account the multisensory nature of humans and communicate with the user not only through vision but also through other modalities. In addition to vision, hearing and touch are the most commonly used communication channels. Recently, a variety of products with additional tactile input and output capabilities have been developed (e.g., Apple iPhone and other touch-screen devices, NintendoWii, etc.). Some of these devices provide new possibilities for interacting with a computer, including the auditory modality. Binaural synthesis and rendering are becoming key technologies for multimedia products. Virtual environments are no longer limited to academic research; they have commercial applications, particularly in medicine, game, and entertainment industries. Thus, the quality of VEs is becoming increasingly important. User interaction with a VE is a key issue in the perception of its quality. Several studies have discussed the quality of displays, input and output devices (for different modalities) as well as software and hardware issues; however, multimodal user interaction should also be examined. This paper focuses on the parameters that influence the quality of audio-tactile VEs.","2012","2023-07-12 06:29:43","2023-07-19 03:36:11","","38–46","","1/2","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5F23X2GN","journalArticle","2012","Peres, S. Camille","A Comparison of Sound Dimensions for Auditory Graphs: Pitch Is Not So Perfect","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16367","","2012","2023-07-12 06:29:48","2023-07-12 06:29:48","","561–567","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WR2UGGN4","journalArticle","2012","Jeon, Myounghoon; Gupta, Siddharth; Davison, Benjamin K.; Walker, Bruce N.","Auditory Menus Are Not Just Spoken Visual Menus: A Case Study of “Unavailable” Menu Items","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16362","","2012","2023-07-12 06:29:52","2023-07-12 06:29:52","","505–518","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2M8WD2K","journalArticle","2014","Begault, Durand R.; Bittner, Rachel M.; Anderson, Mark R.","Multimodal Information Management: Evaluation of Auditory and Haptic Cues for NextGen Communication Displays","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=17333","Auditory communication displays within the Next Generation Air Transport System (currently under development in the United States) will likely require an improvements in the user interface for selecting amongst multiple incoming messages. Interface design can impact both user performance and preference. Two design factors were evaluated: physical pressure-sensitive switches versus flatpanel ""virtual switches,"" and auditory feedback from switch contact. Performance with stimuli using physical switches was 1.2 s faster than virtual switches (2.0 s vs. 3.2 s); auditory feedback provided a 0.6 s performance advantage (2.3 s vs. 2.9 s). The subjective results show a significant preference and superior performance for physical pressure-sensitive switches having audio feedback, compared to touch-panel virtual switches. The correlation between objective measures of performance and subjective ratings of preference and performance was shown to be high. Overall, the results indicate that any replacement of physical controls by virtual touch screens must be considered carefully, and should include audio feedback.","2014","2023-07-12 06:29:57","2023-07-19 03:40:54","","375–385","","6","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXJQ75NP","journalArticle","2012","Jensen, Kristoffer; Hjortkjær, Jens","An Improved Dissonance Measure Based on Auditory Memory","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16325","Because dissonance is an important part of music analysis and psychoacoustic research, improving the model for predicting dissonance is useful. In this new model, musical events are assumed to reside in short-term memory, lasting on the range of 3 to 5 seconds. The total dissonance is the sum of the local dissonance from the new event and the interaction with elements in memory. In subjective tests with different kinds of music, the model with memory consistently better predicts listeners’ reports of dissonance. Dissonant sounds in music give rise to a physiological arousal response in listeners.","2012","2023-07-12 06:30:01","2023-07-19 04:08:30","","350–354","","5","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4I4SH6F6","journalArticle","1995","Crispien, Kai; Ehrenberg, Tasso","Evaluation of the -Cocktail-Party Effect- for Multiple Speech Stimuli within a Spatial Auditory Display","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=7922","","1995","2023-07-12 06:30:05","2023-07-12 06:30:05","","932–941","","11","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBAJVWIA","journalArticle","2012","Parseihian, Gaëtan; Katz, Brian F. G.","Morphocons: A New Sonification Concept Based on Morphological Earcons","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16355","","2012","2023-07-12 06:30:11","2023-07-12 06:30:11","","409–418","","6","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRNBMGKT","journalArticle","2018","Cuadrado, Francisco","Touch the Sound: Design and Development of a Tangible System for Sound Experimentation","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=19587","“Touch the Sound” is a technological tool specifically designed for children training in experimentation of sound. It is based on the interaction with physical and tangible elements (passive objects that children can organize and move inside a two-axis space). A tablet based app uses computer-vision procedures to recognize each object and its position and movement to playback audio files and modify different sound parameters in real time. The technological approach and design adopted according to the philosophy and objectives of the Touch the Sound project has proved to be effective, despite the drawbacks and technical problems encountered during the development process. Programming based on native Android OS tools has enabled the design of a system that achieves optimal performance results on devices with limited hardware resources. The system contributes to the media literacy of children, making them aware of the narrative possibilities of sound, and teaching them to control and modify its parameters.","2018","2023-07-12 06:30:18","2023-07-19 03:50:46","","478–485","","6","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9SS6VWIS","journalArticle","2012","Grond, Florian; Kramer, Oliver; Hermann, Thomas","Balancing Salience and Unobtrusiveness in Auditory Monitoring of Evolutionary Optimization","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16364","","2012","2023-07-12 06:30:26","2023-07-12 06:30:26","","531–539","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
