"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TL5K9FUQ","journalArticle","2012","Gresham-Lancaster, Scot; Sinclair, Peter","Sonification and Acoustic Environments","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/23343813","Sonification can allow us to connect sound and/or music via data to the environment; in another sense, by ""displaying"" data through sound, sonification participates in creating our acoustic environment. The authors consider here the significance of certain aspects of this relationship.","2012","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:26","67-71","","","22","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W87PXDQV","journalArticle","2006","Barrass, Stephen; Whitelaw, Mitchell; Bailes, Freya","Listening to the Mind Listening: An Analysis of Sonification Reviews, Designs and Correspondences","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/4540588","Listening to the Mind Listening (LML) explored whether sonifications can be more than just ""noise"" in terms of perceived information and musical experience. The project generated an unprecedented body of 27 multichannel sonifications of the same dataset by 38 composers. The design of each sonification was explicitly documented, and there are 88 analytical reviews of the works. The public concert presenting 10 of these sonifications at the Sydney Opera House Studio drew a capacity audience. This paper presents an analysis of the reviews, the designs and the correspondences between timelines of these works.","2006","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:28","13-19","","","16","","","Listening to the Mind Listening","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TN45I58W","journalArticle","2012","Burraston, David","Environmental Sonification of Rainfall with Long Wire Instruments","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/23343797","Environmental sonification of rainfall events using large-scale long wire instruments is presented. After a brief historical introduction of long wires and their relationship to the Aeolian harp, some aspects of construction and recording techniques are discussed. Observations of rainfall-induced vibrations on long wire audio recordings are then presented.","2012","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:29","11-14","","","22","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"856PL3AR","journalArticle","2006","Weinberg, Gil; Thatcher, Travis","Interactive Sonification: Aesthetics, Functionality and Performance","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/4540587","The authors present a sonification installation that allows a group of players to interact with an auditory display of neural activity. The system is designed to represent electrical spike propagation in a neuron culture through sound propagation in space. Participants can simulate neural spikes by using a set of specially designed controllers, experimenting and sonically investigating the electrical activity of the brain. The article discusses some aesthetic and functional aspects of sonification and describes the authors' approach for group interaction with auditory displays. It concludes with the description of a performance piece for the system and ideas for improvements and future work.","2006","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:29","9-12","","","16","","","Interactive Sonification","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BGIG3C3","journalArticle","2014","Han, Yoon Chung; Han, Byeong-jun","Skin Pattern Sonification as a New Timbral Expression","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/43832704","The authors discuss two sonification projects that transform fingerprint and skin patterns into audio: (1) Digiti Sonus, an interactive installation performing fingerprint sonification and visualization and (2) skin pattern sonification, which converts pore networks into sound. The projects include novel techniques for representing user-intended fingerprint expression and skin pattern selection as audio parameters.","2014","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:29","41-43","","","24","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WAP4ZIYG","journalArticle","2014","Akiyama, Mitchell","Dataffect: Numerical Epistemology and the Art of Data Sonification","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/43832697","This article examines the history of sonification in sound art, focusing on the role that data play in influencing artistic creation and aesthetic experience. The author discusses sonified data artworks that go beyond the simple representation of information and that offer critiques of what Horkheimer and Adorno described as the dehumanizing notion of equivalence at the heart of the bureaucratic, capitalist economy. Concluding with a discussion of his installation Seismology as Metaphor for Empathy (2012), the author suggests that representing data through sound can engender powerful affective responses to the cold abstraction of information.","2014","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:30","29-32","","","24","","","Dataffect","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSDTJUMT","journalArticle","2013","Grond, Florian; Olmos, Adriana; Cooperstock, Jeremy R.","Making Sculptures Audible through Participatory Sound Design","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/43832491","A research group explores rendering sculptural forms as sound using echolocation and the participation of members of the visually impaired community.","2013","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:31","12-13","","","23","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3QZ33FE","journalArticle","2011","Diaz-Jerez, Gustavo","Composing with Melomics: Delving into the Computational World for Musical Inspiration","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/41416815","The author describes his work with the Melomics approach to music composition. Taking the melody as its main object of study, Melomics, mimicking biology, implements a simulated evolution of music composition using generative methods. The goal of this work is to model the full process of professional music composition using sophisticated strategies for algorithm design.","2011","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:32","13-14","","","21","","","Composing with Melomics","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YLBXWDH","journalArticle","2003","Barbosa, Álvaro","Displaced Soundscapes: A Survey of Network Systems for Music and Sonic Art Creation","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/1513450","The introduction of various collaborative tools, made possible by the expansion of computer network systems and communications technology, has led to new methods of musical composition and improvisation. The author describes a number of recent music and sound art projects involving the use of network systems that enable geographically displaced creators to collaboratively generate shared soundscapes. Various system designs, ideas and concepts associated with this interaction paradigm are presented and classified by the author.","2003","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:32","53-59","","","13","","","Displaced Soundscapes","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKAHBZHV","journalArticle","2011","de Quay, Yago; Skogstad, Ståle; Jensenius, Alexander","""Dance Jockey"": Performing Electronic Music by Dancing","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/41416814","The authors present an experimental musical performance called Dance Jockey, wherein sounds are controlled by sensors on the dancer's body.These sensors manipulate music in real time by acquiring data about body actions and transmitting the information to a control unit that makes decisions and gives instructions to audio software. The system triggers a broad range of music events and maps them to sound effects and musical parameters such as pitch, loudness and rhythm.","2011","2023-07-10 06:56:35","2023-07-10 06:56:35","2023-07-10 06:56:33","11-12","","","21","","","""Dance Jockey""","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
