"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7H7IZRQM","journalArticle","2019","Winters, R. Michael; Joshi, Neel; Cutrell, Edward; Morris, Meredith Ringel","Strategies for Auditory Display of Social Media","Ergonomics in Design","","1064-8046","10.1177/1064804618788098","https://doi.org/10.1177/1064804618788098","Social media is an overwhelmingly visual medium, and we ask the simple question: How can the data and images of social media posts be transformed into something as meaningful and vivid in the auditory sense? Such a design would be useful for eyes-free browsing and could enhance the existing visual media. Our strategy first uses artificial intelligence systems to transform low-level input data into high-level sociocultural features. These features are then conveyed using a multifactored temporal design that uses speech, sonification, auditory scenes, and music.","2019-01-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:05","11-15","","1","27","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/96GIY5C4/Winters et al. - 2019 - Strategies for Auditory Display of Social Media.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DXRHDGUF","journalArticle","2000","Blattner, Meera M","A Design for Auditory Display","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/154193120004400159","https://doi.org/10.1177/154193120004400159","Auditory messages in home, office, and medical environments consist of little more than beeps, bells, and buzzers. Warning signals are particularly inappropriate for these environments because they startle, annoy, but do not inform listeners as to the source of the difficulty. As home automation becomes prevalent, unpleasant sounds will not be tolerated. Earcons are musical sounds that are easy to learn; yet designed to inform listeners of the status of automated systems. We discuss problems such as simultaneous sounds and levels of urgency below.","2000-07-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:07","219-222","","1","44","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/5GFBKBZ7/Blattner - 2000 - A Design for Auditory Display.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QN3I2R2","journalArticle","2013","Ho, Anson; Burns, Catherine","Music as an Auditory Display: Interaction Effects of Mode and Tempo on Perceived Urgency","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/1541931213571256","https://doi.org/10.1177/1541931213571256","Currently, there are very few guidelines on parameters needed to create an effective auditory display. Auditory displays can be intrusive and may not be used effectively if they are poorly designed. However, music is often in our environments as ambient noise and, instead of being intrusive, can be perceived as making the environment calmer and more productive. We present the initial steps of exploring the option of using music as a medium to develop an auditory display capable of conveying normal state information and warning information. An important feature that may impact the effectiveness of auditory warnings is perceived urgency: the impression of urgency that a sound evokes on a listener. To explore whether music could convey urgency as needed for auditory warnings, we evaluated four different musical phrases that varied in time and key signature as a method of measuring the effects of mode and tempo on perceived urgency. The effectiveness of the study was tested with twenty subjects split into a two by two factorial design: gender (male vs. female) and musical experience (experienced vs. non-experienced). The applications of this research can help develop concrete guidelines when designing effective auditory displays in order to improve users’ performance when dealing with complex interfaces.","2013-09-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:09","1149-1153","","1","57","","","Music as an Auditory Display","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/9UXA3A2S/Ho and Burns - 2013 - Music as an Auditory Display Interaction Effects .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VFRX9LF","journalArticle","2008","Thompson, Matthew B.; Sanderson, Penelope M.","Multisensory Integration with a Head-Mounted Display and Auditory Display","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/154193120805201829","https://doi.org/10.1177/154193120805201829","Human operators who use head-mounted displays (HMDs) in their work may benefit from auditory support. It is unclear whether auditory support is better delivered in free-field or via earpiece, and what the effect of walking is. To examine this problem, a novel multisensory integration task was created in which participants identified mismatches between sounds and visual information on an HMD. Participants listened to the sounds either via earpiece or free-field while they either sat or walked about the test room. When using an earpiece, participants performed the mismatch task equally well whether walking or sitting, but when using free-field sound, participants performed the task significantly worse when walking than when sitting. The worse performance for participants using free-field sound while walking may relate to spatial and motion inconsistencies between the sound and vision or because of misperceptions of the time at which the sounds occurred. The results underscore the need for representative design of experiments exploring multisensory integration and they suggest auditory conditions that might influence effective multisensory integration with HMDs.","2008-09-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:10","1292-1296","","18","52","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/8LEGGP3N/Thompson and Sanderson - 2008 - Multisensory Integration with a Head-Mounted Displ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUTWGDH7","journalArticle","2019","Li, Simon Y. W.; Tse, Man-Kei; Brecknell, Birgit; Sanderson, Penelope M.","Spearcon Sequences for Monitoring Multiple Patients: Laboratory Investigation Comparing Two Auditory Display Designs","Human Factors","","0018-7208","10.1177/0018720818797502","https://doi.org/10.1177/0018720818797502","Objective:The aim was to compare the effectiveness of two auditory displays, implemented with spearcons (time-compressed speech), for monitoring multiple patients.Background:Sequences of sounds can convey information about patients’ vital signs, such as oxygen saturation (SpO2) and heart rate (HR). We tested whether participants could monitor five patients using spearcon-based sound sequences.Method:A 2 × 3 within-subjects design was used. The first factor was interface, with two levels: the ALL interface used spearcons to convey vital signs for all five patients, whereas the ABN (abnormal) interface represented patients who had normal vital signs with a low-pitched single-tone sound and patients who had at least one abnormal vital sign with spearcons. The second factor was the number of patients who had at least one abnormal vital sign: there were one, two, or three such patients in each monitoring sequence. Participants were 40 nonclinicians.Results:Participants identified abnormal patients’ SpO2 and HR levels and located abnormal patients in the sound sequence more accurately with the ABN interface than the ALL interface. Accuracy declined as the number of abnormal patients increased. Participants associated ABN with easier identification of vital signs, resulting in higher ratings of confidence and pleasantness compared with ALL.Conclusion:Sequences of spearcons may support effective eyes-free monitoring of multiple patients.Application:Sequences of spearcons may be useful in monitoring multiple patients and the underlying design principles may extend to monitoring in other domains such as industrial process control or control of multiple autonomous vehicles.","2019-03-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:12","288-304","","2","61","","Hum Factors","Spearcon Sequences for Monitoring Multiple Patients","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/2798FPR2/Li et al. - 2019 - Spearcon Sequences for Monitoring Multiple Patient.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85PAGLHW","journalArticle","2013","Janata, Petr; Edwards, William H.","A Novel Sonification Strategy for Auditory Display of Heart Rate and Oxygen Saturation Changes in Clinical Settings","Human Factors","","0018-7208","10.1177/0018720812455433","https://doi.org/10.1177/0018720812455433","Objective:The aim of this study was development of a sonification scheme to convey deviations in heart rate and oxygen saturation from a desired target level.Background:Maintaining physiologic parameters, such as oxygen saturation, within desired ranges, is challenging in many clinical situations. High rates of false positive alarms in clinical settings limit the utility of the alarms that trigger when thresholds are exceeded. Auditory displays that consider the semantic connotations of sounds and the processing limitations of human perception and cognition may improve monitoring.Method:Across two experiments, clinical practi-tioners were tested on their ability to (a) discriminate pairs of sounds (two-note discrimination task), (b) infer and discern the intended physiological connotation of each acoustic attribute (name-the-variable task), and (c) categorize the amount of change in an implied physiological variable into three levels of change: none, small, and large (change-magnitude task).Results:Considerable variation in performance was observed across the set of practitioners, ranging from near-perfect performance on all tasks, even with no prior exposure to the stimuli, to failure to reach a target accuracy criterion of 87.5% after ~80 min of training. On average, performance was well above chance on the name-the-variable and change-magnitude tasks during initial exposure and reached criterion within ~20 min of training on each task.Conclusion:The described sonification strategy may effectively communicate information about current heart rate and oxygen saturation status relative to desired target levels.Application:The results can be applied to clinical monitoring settings in which a stream of discrete auditory informational items is indicated.","2013-04-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:13","356-372","","2","55","","Hum Factors","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/AW9UC98H/Janata and Edwards - 2013 - A Novel Sonification Strategy for Auditory Display.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LNQWP2RY","journalArticle","2019","Zestic, Jelena; Brecknell, Birgit; Liley, Helen; Sanderson, Penelope","A Novel Auditory Display for Neonatal Resuscitation: Laboratory Studies Simulating Pulse Oximetry in the First 10 Minutes After Birth","Human Factors","","0018-7208","10.1177/0018720818793769","https://doi.org/10.1177/0018720818793769","Objective:We tested whether enhanced sonifications would improve participants’ ability to judge the oxygen saturation levels (SpO2) of simulated neonates in the first 10 min after birth.Background:During the resuscitation of a newborn infant, clinicians must keep the neonate’s SpO2 levels within the target range, however the boundaries for the target range change each minute during the first 10 min after birth. Resuscitation places significant demand on the clinician’s visual attention, and the pulse oximeter’s sonification could provide eyes-free monitoring. However, clinicians have difficulty judging SpO2 levels using the current sonification.Method:In two experiments, nonclinicians’ ability to detect SpO2 range and direction—while performing continuous arithmetic problems—was tested with enhanced versus conventional sonifications. In Experiment 1, tremolo signaled when SpO2 had deviated below or above the target range. In Experiment 2, tremolo plus brightness signaled when SpO2 was above target range, and tremolo alone when SpO2 was below target range.Results:The tremolo sonification improved range identification accuracy over the conventional display (81% vs. 63%, p < .001). The tremolo plus brightness sonification further improved range identification accuracy over the conventional display (92% vs. 62%, p <.001). In both experiments, there was no difference across conditions in arithmetic task accuracy (p >.05).Conclusion:Using the enhanced sonifications, participants identified SpO2 range more accurately despite a continuous distractor task.Application:An enhanced pulse oximetry sonification could help clinicians multitask more effectively during neonatal resuscitations.","2019-02-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:15","119-138","","1","61","","Hum Factors","A Novel Auditory Display for Neonatal Resuscitation","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/SWE8QG23/Zestic et al. - 2019 - A Novel Auditory Display for Neonatal Resuscitatio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RL24WK5H","journalArticle","2014","Towers, John; Burgess-Limerick, Robin; Riek, Stephan","Concurrent 3-D Sonifications Enable the Head-Up Monitoring of Two Interrelated Aircraft Navigation Instruments","Human Factors","","0018-7208","10.1177/0018720814536443","https://doi.org/10.1177/0018720814536443","Objective:The aim of this study was to enable the head-up monitoring of two interrelated aircraft navigation instruments by developing a 3-D auditory display that encodes this navigation information within two spatially discrete sonifications.Background:Head-up monitoring of aircraft navigation information utilizing 3-D audio displays, particularly involving concurrently presented sonifications, requires additional research.Method:A flight simulator’s head-down waypoint bearing and course deviation instrument readouts were conveyed to participants via a 3-D auditory display. Both readouts were separately represented by a colocated pair of continuous sounds, one fixed and the other varying in pitch, which together encoded the instrument value’s deviation from the norm. Each sound pair’s position in the listening space indicated the left/right parameter of its instrument’s readout. Participants’ accuracy in navigating a predetermined flight plan was evaluated while performing a head-up task involving the detection of visual flares in the out-of-cockpit scene.Results:The auditory display significantly improved aircraft heading and course deviation accuracy, head-up time, and flare detections. Head tracking did not improve performance by providing participants with the ability to orient potentially conflicting sounds, suggesting that the use of integrated localizing cues was successful.Conclusion:A supplementary 3-D auditory display enabled effective head-up monitoring of interrelated navigation information normally attended to through a head-down display.Application:Pilots operating aircraft, such as helicopters and unmanned aerial vehicles, may benefit from a supplementary auditory display because they navigate in two dimensions while performing head-up, out-of-aircraft, visual tasks.","2014-12-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:17","1414-1427","","8","56","","Hum Factors","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/3AIR3JGE/Towers et al. - 2014 - Concurrent 3-D Sonifications Enable the Head-Up Mo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNHP5SCG","journalArticle","2007","Watson, Marcus O.; Sanderson, Penelope M.","Designing for Attention With Sound: Challenges and Extensions to Ecological Interface Design","Human Factors","","0018-7208","10.1518/001872007X312531","https://doi.org/10.1518/001872007X312531","Objective: We explore whether ecological interface design (EID) principles can be applied to the design of an auditory display for anesthesia monitoring. Background: EID examples focus almost exclusively on visual displays. In the anesthesia work environment, however, auditory displays may provide better individual and team awareness of patient state. Method: Using a work domain analysis of physiological monitoring in anesthesia, we identify information to display. Using the skills, rules, and knowledge distinction we identify cognitive control needed. Using semantic mapping we map physiological variables and constraints to auditory dimensions. Results: EID principles do not address when information should be displayed and to whom. An attentional mapping stage helps to specify answers to these questions so that a workable auditory display for anesthesia monitoring is achieved. Conclusion: EID principles of representing work domain functional structure and minimizing resource-demanding cognitive control are necessary but insufficient to specify requirements for an effective auditory display. Also needed are analyses of control tasks, strategies, and the social organization of work. Such analyses are an integral part of the broader cognitive work analysis framework from which EID emerged.  Application: Actual or potential uses of this research include the design of displays that support continuous peripheral awareness in collaborative multimodal work environments.","2007-04-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:18","331-346","","2","49","","Hum Factors","Designing for Attention With Sound","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/425RAVEX/Watson and Sanderson - 2007 - Designing for Attention With Sound Challenges and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPWS6A6F","journalArticle","1993","Begault, Durand R.","Head-Up Auditory Displays for Traffic Collision Avoidance System Advisories: A Preliminary Investigation","Human Factors","","0018-7208","10.1177/001872089303500409","https://doi.org/10.1177/001872089303500409","The advantage of a head-up auditory display was evaluated in a preliminary experiment designed to measure and compare the acquisition time for capturing visual targets under two auditory conditions: standard one-earpiece presentation and two-earpiece three-dimensional (3D) audio presentation. Twelve commercial airline crews were tested under full mission simulation conditions at the NASA Ames Man-Vehicle Systems Research Facility advanced concepts flight simulator. Scenario software generated visual targets corresponding to aircraft that would activate a traffic collision avoidance system (TCAS) aural advisory; the spatial auditory position was linked to the visual position with 3D audio presentation. Results showed that crew members using a 3D auditory display acquired targets approximately 2.2 s faster than did crew members who used one-earpiece headsets, but there was no significant difference in the number of targets acquired.","1993-12-01","2023-07-06 06:27:20","2023-07-06 06:27:20","2023-07-06 06:27:20","707-717","","4","35","","Hum Factors","Head-Up Auditory Displays for Traffic Collision Avoidance System Advisories","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
