"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S6LUD74W","journalArticle","2010","Park, Sihwa; Kim, Seunghun; Lee, Samuel; Yeo, Woon Seung","Online Map Interface for Creative and Interactive","","","","10.5281/zenodo.1177877","https://www.zenodo.org/record/1177877","In this paper, we discuss the musical potential of COMPath - an online map based music-making tool - as a noveland unique interface for interactive music composition andperformance. COMPath provides an intuitive environmentfor creative music making by sonification of georeferenceddata. Users can generate musical events with simple andfamiliar actions on an online map interface; a set of local information is collected along the user-drawn route andthen interpreted as sounds of various musical instruments.We discuss the musical interpretation of routes on a map,review the design and implementation of COMPath, andpresent selected sonification results with focus on mappingstrategies for map-based composition.","2010-06-01","2023-07-05 05:30:50","2023-07-05 05:30:50","2023-07-05 05:30:50","","","","","","","","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/T277GZPR/Park et al. - 2010 - Online Map Interface for Creative and Interactive.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XTYQ497T","journalArticle","2007","le Groux, Sylvain; Manzolli, Jonatas; Verschure, Paul F.","VR-RoBoser : Real-Time Adaptive Sonification of Virtual Environments Based on Avatar Behavior","","","","10.5281/zenodo.1177101","https://www.zenodo.org/record/1177101","Until recently, the sonification of Virtual Environments had often been reduced to its simplest expression. Too often soundscapes and background music are predetermined, repetitive and somewhat predictable. Yet, there is room for more complex and interesting sonification schemes that can improve the sensation of presence in a Virtual Environment. In this paper we propose a system that automatically generates original background music in real-time called VR-RoBoser. As a test case we present the application of VR-RoBoser to a dynamic avatar that explores its environment. We show that the musical events are directly and continuously generated and influenced by the behavior of the avatar in three-dimensional virtual space, generating a context dependent sonification.","2007-06-01","2023-07-05 05:32:29","2023-07-05 05:32:29","2023-07-05 05:32:29","","","","","","","VR-RoBoser","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/CLD2GVWJ/le Groux et al. - 2007 - VR-RoBoser  Real-Time Adaptive Sonification of Vi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IDFN8ABK","journalArticle","2011","Leslie, Grace; Mullen, Tim","MoodMixer : {EEG}-based Collaborative Sonification","","","","10.5281/zenodo.1178089","https://www.zenodo.org/record/1178089","MoodMixer is an interactive installation in which participants collaboratively navigate a two-dimensional music spaceby manipulating their cognitive state and conveying thisstate via wearable Electroencephalography (EEG) technology. The participants can choose to actively manipulateor passively convey their cognitive state depending on theirdesired approach and experience level. A four-channel electronic music mixture continuously conveys the participants'expressed cognitive states while a colored visualization oftheir locations on a two-dimensional projection of cognitive state attributes aids their navigation through the space.MoodMixer is a collaborative experience that incorporatesaspects of both passive and active EEG sonification andperformance art. We discuss the technical design of the installation and place its collaborative sonification aestheticdesign within the context of existing EEG-based music andart.","2011-06-01","2023-07-05 05:32:49","2023-07-05 05:32:49","2023-07-05 05:32:49","","","","","","","MoodMixer","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/E8HEEUZA/Leslie and Mullen - 2011 - MoodMixer  {EEG}-based Collaborative Sonification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFMB23Z5","journalArticle","2005","Bowen, Adam","Soundstone: A {3-D} Wireless Music Controller","","","","10.5281/zenodo.1176711","https://www.zenodo.org/record/1176711","Soundstone is a small wireless music controller that tracks movement and gestures, and maps these signals to characteristics of various synthesized and sampled sounds. It is intended to become a general-purpose platform for exploring the sonification of movement, with an emphasis on tactile (haptic) feedback.","2005-06-01","2023-07-05 05:33:03","2023-07-05 05:33:03","2023-07-05 05:33:03","","","","","","","Soundstone","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/CRT6UYH5/Bowen - 2005 - Soundstone A {3-D} Wireless Music Controller.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PLIBW7A","journalArticle","2006","Beilharz, Kirsty; Jakovich, Joanne; Ferguson, Sam","Hyper-shaku (Border-crossing): Towards the Multi-modal Gesture-controlled Hyper-Instrument","","","","10.5281/zenodo.1176867","https://www.zenodo.org/record/1176867","Hyper-shaku (Border-Crossing) is an interactive sensor environment that uses motion sensors to trigger immediate responses and generative processes augmenting the Japanese bamboo shakuhachi in both the auditory and visual domain. The latter differentiates this process from many hyper-instruments by building a performance of visual design as well as electronic music on top of the acoustic performance. It utilizes a combination of computer vision and wireless sensing technologies conflated from preceding works. This paper outlines the use of gesture in these preparatory sound and audio-visual performative, installation and sonification works, leading to a description of the Hyper-shaku environment integrating sonification and generative elements.","2006-06-01","2023-07-05 05:33:22","2023-07-05 05:33:22","2023-07-05 05:33:22","","","","","","","Hyper-shaku (Border-crossing)","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/LMZZTUD9/Beilharz et al. - 2006 - Hyper-shaku (Border-crossing) Towards the Multi-m.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKSXJZ78","journalArticle","2015","Barrett, Natasha","Creating tangible spatial-musical images from physical performance gestures","","","","10.5281/zenodo.1179014","https://www.zenodo.org/record/1179014","Electroacoustic music has a longstanding relationship with gesture and space. This paper marks the start of a project investigating acousmatic spatial imagery, real gestural behaviour and ultimately the formation of tangible acousmatic images. These concepts are explored experimentally using motion tracking in a source-sound recording context, interactive parameter-mapping sonification in three-dimensional high-order ambisonics, composition and performance. The spatio-musical role of physical actions in relation to instrument excitation is used as a point of departure for embodying physical spatial gestures in the creative process. The work draws on how imagery for music is closely linked with imagery for music-related actions.","2015-06-01","2023-07-05 05:33:36","2023-07-05 05:33:36","2023-07-05 05:33:36","","","","","","","","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/JWT6LFP6/Barrett - 2015 - Creating tangible spatial-musical images from phys.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMBI5B6Y","journalArticle","2008","Delle Monache, Stefano; Polotti, Pietro; Papetti, Stefano; Rocchesso, Davide","Sonically Augmented Found Objects","","","","10.5281/zenodo.1179519","https://www.zenodo.org/record/1179519","We present our work with augmented everyday objectstransformed into sound sources for music generation. The idea isto give voice to objects through technology. More specifically, theparadigm of the birth of musical instruments as a sonification ofobjects used in domestic or work everyday environments is hereconsidered and transposed into the technologically augmentedscenarios of our contemporary world.","2008-06-01","2023-07-05 05:33:51","2023-07-05 05:33:51","2023-07-05 05:33:51","","","","","","","","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/IH8LX5XN/Delle Monache et al. - 2008 - Sonically Augmented Found Objects.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SXETYW4D","journalArticle","2011","Mealla, Sebastián; Väaljamäae, Aleksander; Bosi, Mathieu; Jordà, Sergi","Listening to Your Brain : Implicit Interaction in Collaborative Music Performances","","","","10.5281/zenodo.1178107","https://www.zenodo.org/record/1178107","The use of physiological signals in Human Computer Interaction (HCI) is becoming popular and widespread, mostlydue to sensors miniaturization and advances in real-timeprocessing. However, most of the studies that use physiologybased interaction focus on single-user paradigms, and itsusage in collaborative scenarios is still in its beginning. Inthis paper we explore how interactive sonification of brainand heart signals, and its representation through physicalobjects (physiopucks) in a tabletop interface may enhancemotivational and controlling aspects of music collaboration.A multimodal system is presented, based on an electrophysiology sensor system and the Reactable, a musical tabletop interface. Performance and motivation variables wereassessed in an experiment involving a test ""Physio"" group(N=22) and a control ""Placebo"" group (N=10). Pairs ofparticipants used two methods for sound creation: implicitinteraction through physiological signals, and explicit interaction by means of gestural manipulation. The resultsshowed that pairs in the Physio Group declared less difficulty, higher confidence and more symmetric control thanthe Placebo Group, where no real-time sonification was provided as subjects were using pre-recorded physiological signal being unaware of it. These results support the feasibilityof introducing physiology-based interaction in multimodalinterfaces for collaborative music generation.","2011-06-01","2023-07-05 05:34:09","2023-07-05 05:34:09","2023-07-05 05:34:09","","","","","","","Listening to Your Brain","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/8YR6G7TK/Mealla et al. - 2011 - Listening to Your Brain  Implicit Interaction in .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZ9JQ9WC","journalArticle","2019","Erdem, Cagri; Schia, Katja Henriksen; Jensenius, Alexander Refsum","Vrengt: A Shared Body-Machine Instrument for Music-Dance Performance","","","","10.5281/zenodo.3672918","https://www.zenodo.org/record/3672918","This paper describes the process of developing a shared instrument for music--dance performance, with a particular focus on exploring the boundaries between standstill vs motion, and silence vs sound. The piece Vrengt grew from the idea of enabling a true partnership between a musician and a dancer, developing an instrument that would allow for active co-performance. Using a participatory design approach, we worked with sonification as a tool for systematically exploring the dancer's bodily expressions. The exploration used a ""spatiotemporal matrix,"" with a particular focus on sonic microinteraction. In the final performance, two Myo armbands were used for capturing muscle activity of the arm and leg of the dancer, together with a wireless headset microphone capturing the sound of breathing. In the paper we reflect on multi-user instrument paradigms, discuss our approach to creating a shared instrument using sonification as a tool for the sound design, and reflect on the performers' subjective evaluation of the instrument.","2019-06-01","2023-07-05 05:34:28","2023-07-05 05:34:28","2023-07-05 05:34:28","","","","","","","Vrengt","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/WBWV6JR6/Erdem et al. - 2019 - Vrengt A Shared Body-Machine Instrument for Music.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3TFXQ5Y","journalArticle","2013","Hamano, Takayuki; Rutkowski, Tomasz; Terasawa, Hiroko; Okanoya, Kazuo; Furukawa, Kiyoshi","Generating an Integrated Musical Expression with a Brain--Computer Interface","","","","10.5281/zenodo.1178542","https://www.zenodo.org/record/1178542","Electroencephalography (EEG) has been used to generate music for over 40 years,but the most recent developments in brain--computer interfaces (BCI) allowgreater control and more flexible expression for using new musical instrumentswith EEG. We developed a real-time musical performance system using BCItechnology and sonification techniques to generate imagined musical chords withorganically fluctuating timbre. We aim to emulate the expressivity oftraditional acoustic instruments. The BCI part of the system extracts patternsfrom the neural activity while a performer imagines a score of music. Thesonification part of the system captures non-stationary changes in the brainwaves and reflects them in the timbre by additive synthesis. In this paper, wediscuss the conceptual design, system development, and the performance of thisinstrument.","2013-06-01","2023-07-05 05:35:07","2023-07-05 05:35:07","2023-07-05 05:35:07","","","","","","","","","","","","","","en","","","","","www.zenodo.org","","","","/Users/minsik/Zotero/storage/B49FAXA9/Hamano et al. - 2013 - Generating an Integrated Musical Expression with a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
