"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TVVNUMBF","journalArticle","2019","Bonet, Núria","Musical Borrowing in Sonification","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771819000220","https://www.cambridge.org/core/journals/organised-sound/article/musical-borrowing-in-sonification/C8A397E43159105AFE9AA82D742739D9","Sonification presents some challenges in communicating information, particularly because of the large difference between possible data to sound mappings and cognitively valid mappings. It is an information transmission process which can be described through the Shannon-Weaver Theory of Mathematical Communication. Musical borrowing is proposed as a method in sonification which can aid the information transmission process as the composer’s and listener’s shared musical knowledge is used. This article describes the compositional process of Wasgiischwashäsch (2017) which uses Rossini’s William Tell Overture (1829) to sonify datasets relating to climate change in Switzerland. It concludes that the familiarity of audiences with the original piece, and the humorous effect produced by the distortion of a well-known piece, contribute to a more effective transmission process.","2019-08","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","184-194","","2","24","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/X32U7CKQ/Bonet - 2019 - Musical Borrowing in Sonification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXXSWDAB","journalArticle","2014","Straebel, Volker; Thoben, Wilm","Alvin Lucier's Music for Solo Performer: Experimental music beyond sonification","Organised Sound","","1355-7718, 1469-8153","10.1017/S135577181300037X","https://www.cambridge.org/core/journals/organised-sound/article/alvin-luciers-music-for-solo-performer-experimental-music-beyond-sonification/A102FA39F3621D70EDE69A4686C82F01","Alvin Lucier's Music for Solo Performer (1965), often referred to as the ‘brain wave piece’, has become a key work of experimental music. Its setup, in which the brain waves of a solo performer are made to excite percussion instruments, has given the work a central place in the discourse on artistic sonification. However, only a small number of the authors making reference to the work seem to have studied the score, and even fewer have given thought to the score's implications for performance practice and aesthetic reflection. This paper pays detailed attention to these yet overlooked aspects, drawing on accounts of early performances as well as the authors’ participation in a 2012 performance led by the composer. We also trace the history of live-electronic equipment used for Music for Solo Performer and discuss the work's reception in sonification research.","2014-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","17-29","","1","19","","","Alvin Lucier's Music for Solo Performer","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/DS9X8QQ5/Straebel and Thoben - 2014 - Alvin Lucier's Music for Solo Performer Experimen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QW49S37W","journalArticle","2014","Ballora, Mark","Sonification, Science and Popular Music: In search of the ‘wow’","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771813000381","https://www.cambridge.org/core/journals/organised-sound/article/sonification-science-and-popular-music-in-search-of-the-wow/3245A0FA684AF22ADA7F4AEAAD5A2D4C","Sonification is described as an under-utilised dimension of the ‘wow!’ factor in science engagement multi-media. It is suggested that sonification's potential value, like much of the scientific visualisation content, probably lies less in hard facts and more in how it may serve as a stimulant for curiosity. Sound is described as a multi-dimensional phenomenon, and a number of approaches to creating sonifications are reviewed. Design strategies are described for five types of phenomena that were sonified for works created by cosmologist George Smoot III and percussionist/ethnomusicologist Mickey Hart, most particularly for their film Rhythms of the Universe (Hart and Smoot 2013).","2014-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","30-40","","1","19","","","Sonification, Science and Popular Music","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/M8D9UU6W/Ballora - 2014 - Sonification, Science and Popular Music In search.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3H5GQK6","journalArticle","2015","Whalley, Ian","Developing Telematic Electroacoustic Music: Complex networks, machine intelligence and affective data stream sonification","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771814000478","https://www.cambridge.org/core/journals/organised-sound/article/developing-telematic-electroacoustic-music-complex-networks-machine-intelligence-and-affective-data-stream-sonification/5BD6F7E1F6E316351C362C4F1609E818","This paper proposes expanding telematic electroacoustic music practice through the consideration of affective computing and integration with complex data streams. Current telematic electroacoustic music practice, despite the distances involved, is largely embedded in older music/sonic arts paradigms. For example, it is dominated by using concert halls, by concerns about the relationship between people and machines, and by concerns about geographically distributed cultures and natural environments. A more suitable environment for telematic sonic works is found in the inter-relationship between ‘players’ and broader contemporary networked life – one embedded in multiple real-time informational data streams. These streams will increase rapidly with the expansion of the Internet of Things (IoT), and with the increasing deployment of algorithmic decision-making and machine learning software. While collated data streams, such as news feeds, are often rendered visually, they are also partly interpreted through embodied cognition that is similar to music and sonic art interpretation. A meeting point for telematic electroacoustic music and real-time data sonification is in affective composition/performance models and data sonification. These allow for the sonic exploration of participants’ place in a matrix of increasingly networked relationships.","2015-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","90-98","","1","20","","","Developing Telematic Electroacoustic Music","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/Q5EZ6L6C/Whalley - 2015 - Developing Telematic Electroacoustic Music Comple.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232IJGYV","journalArticle","2022","Dunham, Paul; Zareei, Mo H.; McKinnon, Dugal; Carnegie, Dale","Material Media Sonification: Sounding the visibly present artefact","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771822000383","https://www.cambridge.org/core/journals/organised-sound/article/material-media-sonification-sounding-the-visibly-present-artefact/9925AD575CCBE5BC4BC3503BCDD0942F","The fields of media archaeology and data sonification have not been without contestation regarding means and methods. However, in combination, these fields present an opportunity for a novel approach to the creation of media archaeologically informed sound-based art. This article discusses the artistic use of data sonification techniques and the need to balance the musification of data while maintaining a sense of the underlying data. The use of data sonification techniques within media archaeology to facilitate the organisation of sound is briefly discussed. A framework is presented for utilising data sonification to facilitate the organisation of sound within the lens of media archaeology inquiry. Such an approach provides a novel method in media archaeologically informed sound-based art that utilises the sound of the artefact as a method of expression between genealogically related forms of media. A sound installation developed by the authors is presented that critically examines the use of, and gives concrete form to, the framework and the ideas established in this article.","2022-08","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","243-253","","2","27","","","Material Media Sonification","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/KG98GDPP/Dunham et al. - 2022 - Material Media Sonification Sounding the visibly .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGN7RBBF","journalArticle","2014","Barrett, Natasha; Mair, Karen","Aftershock: A science–art collaboration through sonification","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771813000368","https://www.cambridge.org/core/journals/organised-sound/article/aftershock-a-scienceart-collaboration-through-sonification/CD4A6824DFEE94CB3F46D72F85D4554B","We are immersed in a wonderful cacophony of sound. Sustained and intermittent pings, cracks, burrs, plops and tingles jostle for position in our heads. High-pitched delicate cascades contrast starkly with deep thunder like rumbles that seem to permeate our entire bodies. We are exploring a fragmenting fault zone from the inside, a dynamic geological process brought to our ears through sonification and science–art collaboration: the interactive sound art installation Aftershock. Aftershock (2011) is the result of the collaboration between composer Natasha Barrett, associate professor of geosciences Karen Mair and the Norwegian Centre for the Physics of Geological Processes (PGP) at the University of Oslo. In this paper we discuss how a scientist and an artist collaborated through sonification, the artistic results of this approach and how new compositional methods and aesthetical frameworks emerged.","2014-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","4-16","","1","19","","","Aftershock","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/6MWG7EGE/Barrett and Mair - 2014 - Aftershock A science–art collaboration through so.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7UXMHSI","journalArticle","2014","Worrall, David","Can Micro-Gestural Inflections Be Used to Improve the Soniculatory Effectiveness of Parameter Mapping Sonifications?","Organised Sound","","1355-7718, 1469-8153","10.1017/S135577181300040X","https://www.cambridge.org/core/journals/organised-sound/article/can-microgestural-inflections-be-used-to-improve-the-soniculatory-effectiveness-of-parameter-mapping-sonifications/C61409152B3D7F741A219EDD34C46FB8","Parameter mapping sonification is the most widely used technique for representing multi-dimensional data in sound. However, it is known to be unreliable when used for detecting information in some types of data. This is generally thought to be the result of the co-dependency of the psychoacoustic dimensions used in the mapping.Positing its perceptual basis in a theory of embodied cognition, the most common approach to overcoming this limitation involves techniques that afford the interactive exploration of the data using gross body gestures. In some circumstances, such exploration is not possible and, even when it is, it may be neither necessary nor sufficient.This article explores some other possible reasons for the unreliability of parameter mapping sonification and, drawing from the experience of expressive musical performance, suggests that the problem lies not in the parametric approach per se, nor in the lack of interactivity, but in the extent to which the parameters employed contribute to coherent gestalts. A method for how this might be achieved that relies on the use of micro-gestural information is proposed. While this is speculative, the use of such gestural inflections is well known in music performance, is supported by findings in neuroscience and lends itself to empirical testing.","2014-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","52-59","","1","19","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/2NZQ8LBV/Worrall - 2014 - Can Micro-Gestural Inflections Be Used to Improve .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XCGUHMVZ","journalArticle","2014","Wolfe, Kristina","Sonification and the Mysticism of Negation","Organised Sound","","1355-7718, 1469-8153","10.1017/S1355771814000296","https://www.cambridge.org/core/journals/organised-sound/article/sonification-and-the-mysticism-of-negation/F35B7A12C19CDFCDC70148B0851955EB","Sonification has become a commonly used tool for data analysis, auditory feedback and compositional inspiration. It is often described in scientific terms as a means of uncovering previously unknown patterns in information or data through the use of the auditory sense. This goal seems to be objective, but the results and methodologies can be highly subjective. Moreover, the techniques and sources of information are strikingly similar to those used in mysticism, especially mysticisms of negation, even though the frames of reference and underlying perceptions of the world are markedly different. Both practitioners of sonification and apophatic mystics believe that certain types of information are incomprehensible through traditional analytic means and can only be understood through experience. In this way, sonification can be thought of as a source of mystical information.In this paper, I will discuss the similarities between sonification and apophatic mysticism, or the mysticism of negation. I will argue that the practice of sonification, as a source of mystical information, is ideally suited for creative contemplation, particularly in electronic music. I will start by providing some historical background on the mysticism of negation. I will then present several ways in which sonified knowledge (sound) is often imagined, discussed and perceived akin to a mystical object. Finally, I will discuss specific ways in which sonification exemplifies apophatic mysticism and reveals mystical information. This information – whatever its nature – can be used for creative contemplation and is a potentially invaluable source of compositional and spiritual inspiration.","2014-12","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","304-309","","3","19","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/UNH8K88X/Wolfe - 2014 - Sonification and the Mysticism of Negation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54TJFFZK","journalArticle","2009","Iosafat, Dani","On Sonification of Place: Psychosonography and","Organised Sound","","1469-8153, 1355-7718","10.1017/S1355771809000077","https://www.cambridge.org/core/journals/organised-sound/article/on-sonification-of-place-psychosonography-and-urban-portrait/56611BC963D48807339FCA0BEE23B28F","Urban Portrait: Thessaloniki is a sonic art installation by this author, presented at the Lansdown Centre for Electronic Arts of Middlesex University, London, in May 2008. This article constitutes an exploration of sonic representation of the experience of place as a central element of the work. The term psychosonography is introduced to encapsulate the described method and references to its supporting concepts. Urban Portrait is about representation of experienced locality, as well as the emergence of relationships among a collection of such localities through their sonic embodiments. Ultimately, it takes the form of the sonic equivalent of a psychogeographical map, to be navigated by aural means.","2009-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","47-55","","1","14","","","On Sonification of Place","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/R7N7R825/Iosafat - 2009 - On Sonification of Place Psychosonography and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSHJNVAK","journalArticle","2009","Tittel, Claudia","Sound Art as Sonification, and the Artistic Treatment of Features in our Surroundings","Organised Sound","","1469-8153, 1355-7718","10.1017/S1355771809000089","https://www.cambridge.org/core/journals/organised-sound/article/sound-art-as-sonification-and-the-artistic-treatment-of-features-in-our-surroundings/53AB6ADB01A08730CAEF0E5F586058A5","The article tries to explain different aspects of sound art in public space in the context of an understanding of a modified language of twentieth-century visual art and music. It gives a description of different approaches to colouring situations and contexts with sound. Various examples of sonification and artistic treatments in our surrounding are shown. It shows an artistic practice which is linked to social-cultural aspects and their critical role in art. Therefore sound installations are placed into a genealogy of installation practice in public space.","2009-04","2023-07-10 08:10:48","2023-07-10 08:10:48","2023-07-10 08:10:48","57-64","","1","14","","","","","","","","","","en","","","","","Cambridge University Press","","Publisher: Cambridge University Press","","/Users/minsik/Zotero/storage/22MBKQVF/Tittel - 2009 - Sound Art as Sonification, and the Artistic Treatm.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
