"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8WTUL365","conferencePaper","2011","McGregor, Iain; Larsson, Pontus; Turner, Phil","Evaluating a vehicle auditory display: comparing a designer's expectations with listeners' experiences","Proceedings of the 29th Annual European Conference on Cognitive Ergonomics","978-1-4503-1029-1","","10.1145/2074712.2074731","https://dl.acm.org/doi/10.1145/2074712.2074731","This paper illustrates a method for the early evaluation of auditory displays in context. A designer was questioned about his expectations of an auditory display for Heavy Goods Vehicles, and the results were compared to the experiences of 10 listeners. Sound design is essentially an isolated practice and by involving listeners the process can become collaborative. A review of the level of agreement allowed the identification of attributes that might be meaningful for the design of future auditory displays. Results suggest that traditional auditory display design guidelines that focus on the acoustical properties of sound might not be suitable.","2011-08-24","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","89–92","","","","","","Evaluating a vehicle auditory display","ECCE '11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/MZQTYNYM/McGregor et al. - 2011 - Evaluating a vehicle auditory display comparing a.pdf","","","auditory display; designer's expectations; evaluation; listeners' experiences; vehicle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64N6EICX","conferencePaper","2013","McFarlane, Stuart; Feltham, Frank; Verhagen, Darrin","Exploring internet CO2 emissions as an auditory display","Proceedings of the 25th Australian Computer-Human Interaction Conference: Augmentation, Application, Innovation, Collaboration","978-1-4503-2525-7","","10.1145/2541016.2541081","https://dl.acm.org/doi/10.1145/2541016.2541081","This research project explores the effectiveness of an auditory display (AD) prototype for the sonification of perceived internet e-waste of CO2 emissions to a small user group within their office context. To date, methods do not exist for the reporting of e-waste to users of personal computing while they perform simple internet enquiries. Underpinning the theoretical development of this project is a focus on AD guided by a soundscape theory, and on approaches to sonification to convey subtle, unobtrusive, and useful information. Evaluation of the prototype takes place as a field study in an office context. The following paper gives an account of the design and development of the AD prototype and its respective sonification, the design methodology employed and the research findings, and concludes with recommendations for further exploration of the balance between ambient and salient information.","2013-11-25","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","225–228","","","","","","","OzCHI '13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/7FN4VJP4/McFarlane et al. - 2013 - Exploring internet CO2 emissions as an auditory di.pdf","","","sonification; auditory display; e-waste; internet CO2 emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VV7XR2AL","conferencePaper","2013","Fagerlönn, Johan; Larsson, Stefan; Lindberg, Stefan","An auditory display that assist commercial drivers in lane changing situations","Proceedings of the 8th Audio Mostly Conference","978-1-4503-2659-9","","10.1145/2544114.2544120","https://dl.acm.org/doi/10.1145/2544114.2544120","This paper presents a simulator study that evaluates four auditory displays to assist commercial drivers in lane changing situations. More specifically, the displays warned the drivers about vehicles in the adjacent lane. Three displays utilized different variants of graded auditory warnings (early and late signals) while one display contained a single-stage warning (late signal). For all graded warnings, a manipulation of the turn indicator sound was utilized to alert the driver. The study investigated whether the graded warnings had different effects on safety and driver acceptance compared to a single stage warning. In addition, the study examined whether the idea of changing the turn indicator sound influenced traffic safety and initial acceptance. The results support that graded warnings are more effective compared to single stage warnings. Manipulating the turn indicator was effective and the acceptance for the solution was high. The implications for design based on the results are presented.","2013-09-18","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","1–7","","","","","","","AM '13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/YZI8K9DQ/Fagerlönn et al. - 2013 - An auditory display that assist commercial drivers.pdf","","","auditory display; safety; alarm; alert; auditory warning; driving","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S365B8WB","conferencePaper","2009","Kim, Si-Jung; Thangjitham, Jennifer; Winchester, Woodrow","Assessing the efficacy of a mixed-modal auditory display system for enhancing auditory sensation","Proceedings of the 47th Annual Southeast Regional Conference","978-1-60558-421-8","","10.1145/1566445.1566520","https://dl.acm.org/doi/10.1145/1566445.1566520","This paper presents the design and evaluation of a new type of mixed-modal auditory display for enhancing auditory sensation. The purpose of this study is to determine whether or not a light apparatus in which LED lights are installed in front of a speaker panel and alternating lights based on sound frequency and intensity can support user awareness of the auditory source. Five different auditory sources were used, and a user study with 20 participants revealed that all auditory sources were better recognized when listened to with the light apparatus. The music and the emergency alert auditory source were best represented by the light apparatus. The experiment showed synchronized visual and audio representation enhanced the user's auditory sensation. Findings suggest that the light apparatus could be useful when auditory signal displays are not universally applicable because people who suffer from hearing loss are unable to use them effectively. It is expected that the result of this study could contribute to the design of hearing aids, emergency alarm device/mechanisms, communication trust or other assistive technologies that seek to provide context to received data.","2009-03-19","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","1–2","","","","","","","ACM-SE 47","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/LN9NCNYV/Kim et al. - 2009 - Assessing the efficacy of a mixed-modal auditory d.pdf","","","auditory display; hearing aids; mixed modal interface; speaker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XC9GTFVV","conferencePaper","2017","Feltham, Frank; Loke, Lian","Felt Sense through Auditory Display: A Design Case Study into Sound for Somatic Awareness while Walking","Proceedings of the 2017 ACM SIGCHI Conference on Creativity and Cognition","978-1-4503-4403-6","","10.1145/3059454.3059461","https://dl.acm.org/doi/10.1145/3059454.3059461","Walking is an everyday act that we, as humans, often take for granted. To walk requires the synergy of somatosensory, neurological and physiological processes for us to move at a regular pace by lifting and setting down each foot in turn. It can be argued that walking is also a source of creativity and exploration when conducted as an intentional act of somatic or self-awareness. This design case study aims to explore the kinds of somatic awareness and aesthetic engagement of walking apparent through the introduction of a pressure mediated sound generating surface with a group of Feldenkrais movement practitioners. These explorations reveal that there is an awareness of tempo and rhythm during the step cycle. This awareness takes on an internal focus as shifts in attention and bodily organization. Another key finding is that exploration and play are enabled due to the rich timbral qualities of the pressure mediated auditory feedback. The significance and contribution in this work is in the implications it has for the design of technologies that support kinaesthetic awareness through aesthetic and exploratory strategies.","2017-06-22","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","287–298","","","","","","Felt Sense through Auditory Display","C&amp;C '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/IZ7SP2EF/Feltham and Loke - 2017 - Felt Sense through Auditory Display A Design Case.pdf","","","auditory feedback; walking; creativity; aesthetics of interaction; design case study.; kinaesthetic awareness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KS4S98QM","conferencePaper","2007","Frauenberger, C.; Stockman, T.; Bourguet, M. L.","Pattern design in the context space: paco - a methodological framework for designing auditory display with patterns","Proceedings of the 14th Conference on Pattern Languages of Programs","978-1-60558-411-9","","10.1145/1772070.1772091","https://dl.acm.org/doi/10.1145/1772070.1772091","This paper introduces a methodological framework for contextual design with patterns (paco). Its development was driven by the lack of guidance in designing audio in the user interface and by the need to communicate design knowledge within the community and to designers outside the field. The fundamental concepts presented in this paper, however, are generic and might be applicable similarly to other disciplines. The framework provides methods to create, apply and refine design patterns considering the particularities of small or pre-mature scientific disciplines which have less successful examples to draw upon - such as auditory display. After providing background on research in auditory display and current design practice, a set of requirements for the framework is developed, an appropriate format for design patterns is discussed and the context space is introduced as a key concept to facilitate the workflow within the framework. An example workflow shows the usage of the framework during the life-cycle of a design pattern and we elaborate on the next steps discussing an online design tool and the evaluation of the framework.","2007-09-05","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","1–7","","","","","","Pattern design in the context space","PLOP '07","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/DMSYJJLI/Frauenberger et al. - 2007 - Pattern design in the context space paco - a meth.pdf","","","auditory display; design patterns; design methodology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAFB38TA","conferencePaper","2012","McGookin, David; Brewster, Stephen","PULSE: the design and evaluation of an auditory display to provide a social vibe","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","978-1-4503-1015-4","","10.1145/2207676.2208580","https://dl.acm.org/doi/10.1145/2207676.2208580","We present PULSE, a mobile application designed to allow users to gain a 'vibe', an intrinsic understanding of the people, places and activities around their current location, derived from messages on the Twitter social networking site. We compared two auditory presentations of the vibe. One presented message metadata implicitly through modification of spoken message attributes. The other presented the same metadata, but through additional auditory cues. We compared both techniques in a lab and real world study. Additional auditory cues were found to allow for smaller changes in metadata to be more accurately detected, but were least preferred when PULSE was used in context. Results also showed that PULSE enhanced and shaped user understanding, with audio presentation allowing a closer coupling of digital data to the physical world.","2012-05-05","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","1263–1272","","","","","","PULSE","CHI '12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/TGIRIW5X/McGookin and Brewster - 2012 - PULSE the design and evaluation of an auditory di.pdf","","","auditory display; geo-social media; location-based services; twitter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7SLCIMH","conferencePaper","2016","Goudarzi, Visda","Exploration of sonification design process through an interdisciplinary workshop","Proceedings of the Audio Mostly 2016","978-1-4503-4822-5","","10.1145/2986416.2986422","https://dl.acm.org/doi/10.1145/2986416.2986422","In sonification of scientific data, designers know very little about the domain science and domain scientists are not familiar with the sonification methodology. The knowledge about the domain science is not given, but evolved during the problem-solving process. We discuss design challenges in auditory display design regarding user-centered approaches and suggest a method to involve domain scientists throughout sonification designs. We explore this within a workshop in which sonification experts, domain experts, and programmers worked together to better understand and solve problems collaboratively. The sonification framework that is used during the workshops is briefly described and the workshop process and how each group worked together during the workshop sessions are examined. Participants worked on pre-defined and exploratory tasks to sonify climate data. Furthermore, they grasped each other's domains; climate scientists especially became more open to use auditory display and sonification as a tool in their data mining tasks. Resulting sonification prototypes and workshop sessions are documented on a wiki to be used by the sonification community. To get started, we used some of the sonification designs created during the workshop for an online study where participants from science, engineering, and humanities were asked questions about the data behavior by listening to sonifcations of bivariate time series. Results indicate that sonic representation of data from resulting sonification allows most users (even with little or no knowledge of sound and music) to successfully complete some common data exploration tasks.","2016-10-04","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","147–153","","","","","","","AM '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/FC8LBDLS/Goudarzi - 2016 - Exploration of sonification design process through.pdf","","","Sonification; Auditory Display; Participatory Design; User Experience","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WVGGBGWA","conferencePaper","2017","Ferguson, Jamie; Brewster, Stephen A.","Evaluation of psychoacoustic sound parameters for sonification","Proceedings of the 19th ACM International Conference on Multimodal Interaction","978-1-4503-5543-8","","10.1145/3136755.3136783","https://dl.acm.org/doi/10.1145/3136755.3136783","Sonification designers have little theory or experimental evidence to guide the design of data-to-sound mappings. Many mappings use acoustic representations of data values which do not correspond with the listener's perception of how that data value should sound during sonification. This research evaluates data-to-sound mappings that are based on psychoacoustic sensations, in an attempt to move towards using data-to-sound mappings that are aligned with the listener's perception of the data value's auditory connotations. Multiple psychoacoustic parameters were evaluated over two experiments, which were designed in the context of a domain-specific problem - detecting the level of focus of an astronomical image through auditory display. Recommendations for designing sonification systems with psychoacoustic sound parameters are presented based on our results.","2017-11-03","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","120–127","","","","","","","ICMI '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/2PALR6BB/Ferguson and Brewster - 2017 - Evaluation of psychoacoustic sound parameters for .pdf","","","Sonification; Psychoacoustics; Auditory Display","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIBVLZIM","conferencePaper","2017","Fagerlönn, Johan; Hammarberg, Kristin; Lindberg, Stefan; Sirkka, Anna; Larsson, Sofia","Designing a Multimodal Warning Display for an Industrial Control Room","Proceedings of the 12th International Audio Mostly Conference on Augmented and Participatory Sound and Music Experiences","978-1-4503-5373-1","","10.1145/3123514.3123516","https://dl.acm.org/doi/10.1145/3123514.3123516","This paper presents the development of a multimodal warning display for a paper mill control room. In previous work, an informative auditory display for control room warnings was proposed. The proposed auditory solution conveys information about urgent events by using a combination of auditory icons and tonal components. The main aim of the present study was to investigate if a complementary visual display could increase the effectiveness and acceptance of the existing auditory solution. The visual display was designed in a user-driven design process with operators. An evaluation was conducted both before and after the implementation. Subjective ratings showed that operators found it easier to identify the alarming section using the multimodal display. These results can be useful for any designer intending to implement a multimodal display for warnings in an industrial context.","2017-08-23","2023-07-06 05:53:57","2023-07-06 05:53:57","2023-07-05","1–5","","","","","","","AM '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/minsik/Zotero/storage/NUR2GPTS/Fagerlönn et al. - 2017 - Designing a Multimodal Warning Display for an Indu.pdf","","","auditory display; multimodal interaction; alarms; process industry; Warnings","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
