"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4CZIETAK","journalArticle","2013","Kostek, Bożena","Auditory Display From The Music Technology Perspective","","","","","http://hdl.handle.net/1853/51655","This paper presents some applications of Auditory Displays (AD) in the domain of music technology. First, the scope of music technology and auditory display areas are shortly outlined. Then, the research trends and system solutions within the fields of music technology, music information retrieval and music recommendation are discussed. Finally, an example of an auditory display that facilities music annotation process based on gaze tracking is shown.","2013-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"888DHE2T","journalArticle","2019","Li, Grace; Walker, Bruce N.","Mixed speech and non-speech auditory displays: impacts of design, learning, and individual differences in musical engagement","","","","","http://hdl.handle.net/1853/61500","Information presented in auditory displays is often spread across multiple streams to make it easier for listeners to distinguish between different sounds and changes in multiple cues. Due to the limited resources of the auditory sense and the fact that they are often untrained compared to the visual senses, studies have tried to determine the limit to which listeners are able to monitor different auditory streams while not compromising performance in using the displays. This study investigates the difference between non-speech auditory displays, speech auditory displays, and mixed displays; and the effects of the different display designs and individual differences on performance and learnability. Results showed that practice with feedback significantly improves performance regardless of the display design and that individual differences such as active engagement in music and motivation can predict how well a listener is able to learn to use these displays. Findings of this study contribute to understanding how musical experience can be linked to usability of auditory displays, as well as the capability of humans to learn to use their auditory senses to overcome visual workload and receive important information.","2019-06","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Mixed speech and non-speech auditory displays","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NEVNB9K","journalArticle","2007","Mauney, Lisa M.; Walker, Bruce N.","Individual Differences and the Field of Auditory Display: Past Research, A Present Study, and an Agenda for the Future","","","","","http://hdl.handle.net/1853/50006","There has been some interest in the study of individual differences in the field of auditory displays, but we argue that there is a much greater potential than has been realized, to date. Relevant types of individual differences that may be applicable to interpreting auditory information include perceptual abilities, cognitive abilities, musical abilities, and learning styles. There are many measures of these individual differences available; however, they have not been thoroughly utilized in the auditory display arena. We discuss several types of individual differences relevant to auditory displays. We then present some examples of past research, along with the results of a current investigation of individual differences in auditory displays. Finally, we propose an agenda as to what research and tests should be used to further study this area.","2007-06","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Individual Differences and the Field of Auditory Display","","","","","","","en_US","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SIHM39PK","journalArticle","2000","Tran, Quan T.; Mynatt, Elizabeth D.","Music monitor: Dynamic data display","","","","","http://hdl.handle.net/1853/50677","In this demo, we present an interface prototype of Music Monitor, an application targeted for home use that dynamically conducts music in real-time to reflect parallel activities in disparate locations (e.g., preparing food in the kitchen while entertaining guests in the living room) to help the user balance attention appropriately between them. Music Monitor interprets salient information from the monitored activities to map into simple music profiles (e.g., instrument selection, tempo). The prototype design focuses on providing continuous, ambient music as a peripheral auditory data display for the primary user without sacrificing aesthetic musical value for other participants and listeners.","2000-04","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Music monitor","","","","","","","en_US","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YZLYJGJ","journalArticle","2005","Alty, James L.; Rigas, Dimitrios; Vickers, Paul","Music and speech in auditory interfaces: When is one mode more appropriate than another?","","","","","http://hdl.handle.net/1853/50170","A number of experiments, which have been carried out using non-speech auditory interfaces, are reviewed and the advantages and disadvantages of each are discussed. The possible advantages of using non-speech audio media such as music are discussed – richness of the representations possible, the aesthetic appeal, and the possibilities of such interfaces being able to handle abstraction and consistency across the interface.","2005-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Music and speech in auditory interfaces","","","","","","","en_US","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9XFE922I","journalArticle","2005","Won, Sook Young","Auditory display of genome data: Human chromosome 21","","","","","http://hdl.handle.net/1853/50099","The motivation for this paper is to systematically explore the efficacy of mapping data to sound parameters with the specific aim of sonifying statistical trends and hearing the `gist' [1] of the data. In this paper, we consider the task of searching through a gene sequence of the human chromosome 21 for CpG islands and type of gene evidence. Musical intervals and rhythm is proposed for detecting CpG islands and musical timber is used for representing the gene evidence. We extract human genome data from the NCBI (National Center for Biotechnology Information) [2] database and use list processing and synthesis capabilities of CLM [3].","2005-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Auditory display of genome data","","","","","","","en_US","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2UJHFHF","journalArticle","2002","Neuhoff, J. G.; Knight, R.; Wayand, J.","Pitch change, sonification, and musical expertise: Which way is up?","","","","","http://hdl.handle.net/1853/51370","Frequency change is one of the most widely used acoustic dimensions in auditory display, and pitch perception is among the most widely researched topics in audition. Nonetheless, there is little research on the appropriate mapping and scaling of information to acoustic frequency in sonification. Here, we show that musical training is a contributing factor to the mapping, scaling, and conceptual relationships that exist between the information to be sonified and its acoustic representation. In Experiment 1, three groups of listeners that varied in musical expertise moved a slider to indicate the amount of pitch change that they heard in ten non-standard musical intervals. Listeners with more musical training showed greater slider movement in response to pitch change than musical novices, but not in response to brightness in a visual control condition. Novices also made significantly more errors in identifying the direction of pitch change for intervals that were well above discrimination thresholds. Experiment 2 showed that the errors by novices were due primarily to conceptual errors in labeling `rising' and `falling' pitch with a small but significant number of perceptual discrimination errors. The results suggest that musical training is an important factor in the mapping, scaling, and conceptual relationships used in sonification.","2002-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Pitch change, sonification, and musical expertise","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIZZY7X8","journalArticle","2004","Vickers, P.","External auditory representations of programs: Past, present, and future - an aesthetic perspective","","","","","http://hdl.handle.net/1853/50854","This paper provides a summary of previous work done in the area of external auditory representations of programs (known as program auralisation). A brief historical review is given followed by a short summary of the characteristics of the main program auralisation systems that have been reported in the literature. As program auralisation systems tend to use musical representations they are necessarily affected by artistic considerations. The influence of art theory and practice on the design of computer systems and artefacts (known as aesthetic computing [1, 2]) has grown to the extent that there is now a growing field devoted to its study. Therefore, it is instructive to explore the design of program auralisation systems in the light of aesthetic computing ideas. The remainder of this paper then, discusses the main principles of aesthetic computing in relation to program auralisation, and finishes with some views on how aesthetic computing can influence the future development of program auralisation systems.","2004-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","External auditory representations of programs","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANEN77A3","journalArticle","2006","Hogg, B.; Vickers, P.","Sonification abstraite/sonification concrete: An 'aesthetic persepctive space' for classifying auditory displays in the ars musica domain","","","","","http://hdl.handle.net/1853/50641","This paper discusses æsthetic issues of sonifications and the relationships between sonification (ars informatica) and music & sound art (ars musica). It is posited that many sonifications have suffered from poor internal ecological validity which makes listening more difficult, thereby resulting in poorer data extraction and inference on the part of the listener. Lessons are drawn from the electroacoustic music and musique concrète communities as it is argued that it is not instructive to distinguish between sonifications and music/sound art. Edgard Varèse defined music as organised sound, and sonifications organise sound to reflect mimetically the thing being sonified. Therefore, an æsthetic perspective space onto which sonifications and musical compositions alike can be mapped is proposed. The resultant map allows sonifications to be compared with works in the ars musica domain with which they share characteristics. The æsthetics of those ars musica counterparts can then be interrogated revealing useful design and organisation constructs that can be used to improve the sonifications' communicative ability.","2006-06","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Sonification abstraite/sonification concrete","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FUBM7YWN","journalArticle","2002","Joseph, A. J.; Lodha, S. K.","Musart: Musical audio transfer function real-time toolkit","","","","","http://hdl.handle.net/1853/51366","This work describes the design and implementation of a sonification toolkit. MUSART (MUSical Audio transfer function Realtime Toolkit) is a sonification toolkit which produces musical sound maps that are played in real-time. Register, pitch, timbre, chords, duration, silence, loudness, beats, and panning are the musical concepts used to create melodic sound maps. Univariate and multivariate data sets are sonified using various sound parameter combinations and music tracks. Users have the flexibility to create personalized auditory displays by mapping each data dimension of a data set to one or more sound parameters. MUSART is designed to be flexible so that it can be used with many applications. In this work, we use musical auditory maps to explore seismic volumes used for detecting areas for drilling oil.","2002-07","2023-07-13 06:25:40","2023-07-13 06:25:40","2023-07-12","","","","","","","Musart","","","","","","","en","","","","","","","","<p>Publisher: Georgia Institute of Technology</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
