"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5E593WU2","conferencePaper","2011","Stewart, Rebecca; Sandler, Mark","The amblr: A mobile spatial audio music browser","2011 IEEE International Conference on Multimedia and Expo","","","10.1109/ICME.2011.6012203","","Music collections are often visualized in a two-dimensional space to show relationships between songs. Some user inter faces interacting with these two-dimensional maps of songs use spatial auditory display to allow easier access to the au dio content. A common auditory display is to have multiple songs playing simultaneously from differing spatial locations around the user. However, when using this style of interface the sonification of the collection needs to be limited to a lo cal subset of the collection, usually three to six songs. This paper presents the amblr, a spatial audio music browser that allows a user to auralize the collection. It combines effective design from previous work with new approaches to create a novel interface. This allows for a more intuitive navigation of a virtual space populated by a large collection songs without relying on textual metadata.","2011-07","2023-07-06 01:56:57","2023-07-06 01:56:57","","1-6","","","","","","The amblr","","","","","","","","","","","","IEEE Xplore","","ISSN: 1945-788X","","/Users/minsik/Zotero/storage/JFRYIKXY/searchresult.html","","","Visualization; Auditory displays; auditory display; binaural; Graphical user interfaces; Mobile handsets; music information retrieval; Presses; Pressing; Servers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2011 IEEE International Conference on Multimedia and Expo","","","","","","","","","","","","","","",""
"T74LB7A3","conferencePaper","2000","Ballora, M.; Pennycook, B.; Ivanov, P.Ch.; Goldberger, A.; Glass, L.","Detection of obstructive sleep apnea through auditory display of heart rate variability","Computers in Cardiology 2000. Vol.27 (Cat. 00CH37163)","","","10.1109/CIC.2000.898630","","A data set of interbeat interval times is read into a music software synthesis program to become the basis of a ""soundtrack"" or auditory display. Here the authors present examples of the sonifications, and discuss potential advantages in listening to, as opposed to viewing, heart rate variability data. This method treats the diagnosis of obstructive sleep apnea as a problem of orchestration and melody.","2000-09","2023-07-06 01:56:57","2023-07-06 01:56:57","","739-740","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 0276-6547","","/Users/minsik/Zotero/storage/MJMWHEAA/searchresult.html","","","Physics; Computer languages; Auditory displays; Auditory system; Graphical user interfaces; Cardiology; Heart rate detection; Heart rate variability; Polymers; Sleep apnea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Computers in Cardiology 2000. Vol.27 (Cat. 00CH37163)","","","","","","","","","","","","","","",""
"U5FAZQYY","conferencePaper","2017","Yanan, Tian; Hongwei, Lei; Jinghong, Li","A blind guidance system based on GCADSF image enhancement and music display","2017 29th Chinese Control And Decision Conference (CCDC)","","","10.1109/CCDC.2017.7979356","","There are some problems in the conventional blind guidance systems, such as massive mapping data, low mapping efficiency and simple sound coding. And they are easily affected by noise. These make the blind difficult to use the system. To solve these problems, a system is presented based on GCADSF image enhancement and music display. GCADSF model uses an exponential function which monotonically decreases with the gradient module to control the diffusion in the vertical direction of the image gradient. So it protects the image details as the edges are enhanced and the noise is filtered. The enhanced image is mapped into electronic music. Experimental results showed that the system has higher recognition rates for the blind's recognizing the image contents.","2017-05","2023-07-06 01:56:57","2023-07-06 01:56:57","","4864-4867","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1948-9447","","/Users/minsik/Zotero/storage/85ZRQGFQ/searchresult.html","","","Music; Auditory displays; Mathematical model; Auditory Display; Blind Guidance System; Electric shock; Image edge detection; Image enhancement; Shock Filter; Vision Substitution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 29th Chinese Control And Decision Conference (CCDC)","","","","","","","","","","","","","","",""
"IVT2HHUE","journalArticle","2002","Vickers, Paul; Alty, James L","Using music to communicate computing information","Interacting with Computers","","1873-7951","10.1016/S0953-5438(02)00003-6","","The audio channel remains little used in most computing applications, often its use being relegated to providing trivial sound effects whose novelty value soon wears off. Nevertheless, in principle sound offers much to the process of human–computer interaction as for most people the notion of auditory imagery is easily accepted.In this paper we explore how sound, specifically musical sound, can be used to communicate computing information. The findings of two studies are presented. The first investigated how pitch intervals and musical phrases of complex (non-sinusoidal) tones can be recognised. The second study aimed to demonstrate that musical structures could communicate information about high-level programming language structures and program run-time behaviour. Both studies showed that music could successfully be used as a communication medium and that listeners did not need to be musically trained to benefit from the audio signals. Finally, recommendations for further work are made.","2002-10","2023-07-06 01:56:57","2023-07-06 01:56:57","","435-456","","5","14","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: Interacting with Computers","","/Users/minsik/Zotero/storage/ID3LJ9NL/searchresult.html","","","Music; Auditory display; Communication; Visualisation; Program auralisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PLXEZ8L","conferencePaper","2008","Jung, Ralf","Take your smart music with you and be up to date","2008 IET 4th International Conference on Intelligent Environments","","","10.1049/cp:20081171","","We present a user adaptive ambient audio notification service for multi-user environments connected to a user modeling service. The location adaptive system works unobtrusively by embedding non-speech audio cues, in the form of natural instruments, in aesthetical self composed music. First we introduce the ambient notification system for intelligent environments followed by the identification of extension properties for the implemented user model ontology to get the personalized ambient audio notification service.","2008-07","2023-07-06 01:56:57","2023-07-06 01:56:57","","1-4","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 0537-9989","","/Users/minsik/Zotero/storage/YE3ABPNA/searchresult.html","","","Auditory Display; Ambient Notification; Non-Speech Audio Cues; Ubiquitous User Modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2008 IET 4th International Conference on Intelligent Environments","","","","","","","","","","","","","","",""
"P4J5J7QW","conferencePaper","2017","Yanan, Tian","A blind guidance system based on ICA edge detection and MIDI music display","2017 29th Chinese Control And Decision Conference (CCDC)","","","10.1109/CCDC.2017.7979415","","The conventional blind guidance systems have some problems such as massive mapping data, low mapping efficiency and simple sound coding. These make the blind difficult to use the system. To solve these problems, a system is presented based on ICA edge detection and MIDI music display. In this system image edges that accord with visual characteristics are mapped into MIDI music by ICA edge basis functions' reconstruction. Experimental results showed that the system has higher recognition rates for the blind's recognizing the image contents.","2017-05","2023-07-06 01:56:57","2023-07-06 01:56:57","","5180-5183","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 1948-9447","","/Users/minsik/Zotero/storage/KRNXAYHH/searchresult.html","","","Music; Training; Independent Component Analysis; Visualization; Auditory displays; Auditory Display; Blind Guidance System; Image edge detection; Vision Substitution; Image reconstruction; Neurons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 29th Chinese Control And Decision Conference (CCDC)","","","","","","","","","","","","","","",""
"PZA9FJY6","journalArticle","2002","Vickers, Paul; Alty, James L","When bugs sing","Interacting with Computers","","1873-7951","10.1016/S0953-5438(02)00026-7","","In The Songs of Insects, Pierce (1949) described the striped ground cricket, Nemobius fasciatus-fasciatus, which chirps at a rate proportional to ambient air temperature. Twenty chirps-per-second tell us it is 31.4 °C; 16 chirps and it is 27 °C. This is a natural example of an auditory display, a mechanism for communicating data with sound. By applying auditory display techniques to computer programming we have attempted to give the bugs that live in software programs their own songs. We have developed the CAITLIN musical program auralisation system Vickers and Alty, 2002b) to allow structured musical mappings to be made of the constructs in Pascal programs. Initial experimental evaluation [Interacting with Computers (2002a,b)] showed that subjects could interpret the musical motifs used to represent the various Pascal language constructs.In this paper we describe how the CAITLIN system was used to study the effects of musical program auralisation on debugging tasks performed by novice Pascal programmers. The results of the experiment indicate that a formal musical framework can act as a medium for communicating information about program behaviour, and that the information communicated could be used to assist with the task of locating bugs in faulty programs.","2002-12","2023-07-06 01:56:57","2023-07-06 01:56:57","","793-819","","6","14","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: Interacting with Computers","","/Users/minsik/Zotero/storage/4DCBXQT6/searchresult.html","","","Music; Auditory display; Debugging; Auralisation; HCI; Pascal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VV8D87PR","journalArticle","2002","Vickers, Paul; Alty, James L","Musical program auralisation: a structured approach to motif design","Interacting with Computers","","1873-7951","10.1016/S0953-5438(02)00004-8","","In an earlier paper, Vickers and Alty (2002) showed that musically untrained users could make use of musical cues to understand computing information. Using a technique known as musical program auralisation, they showed that music could communicate run-time and structural information about Pascal programs.This paper describes how a set of hierarchically related auralisation motifs was designed and constructed within a formal musical framework. These auralisations were then evaluated in an experiment to determine how well they could be interpreted by computer science students. The results showed that the musical motifs were generally understood by the subjects and that any prior musical training of the subjects did not affect their ability to interpret the musical signals.Based on the results of the experiment and study of some cognitive aspects of music perception, a set of organising principles for musical program auralisation is proposed. Finally, recommendations for further study are made with particular regard to assessing the usefulness of the auralisations in program debugging situations.","2002-10","2023-07-06 01:56:57","2023-07-06 01:56:57","","457-485","","5","14","","","Musical program auralisation","","","","","","","","","","","","IEEE Xplore","","Conference Name: Interacting with Computers","","/Users/minsik/Zotero/storage/HA7SIRUW/searchresult.html","","","Music; Auditory display; Communication; Visualisation; Program auralisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4PIXB4L","conferencePaper","2018","Broderick, James; Duggan, Jim; Redfern, Sam","The Importance of Spatial Audio in Modern Games and Virtual Environments","2018 IEEE Games, Entertainment, Media Conference (GEM)","","","10.1109/GEM.2018.8516445","","In Virtual Reality (VR), virtual environments, and gaming, audio greatly impacts the user, yet it is an area that has been under researched quite recently. While music and environmental sounds have been used to great effect throughout gaming history to craft a more immersive experience, spatial audio doesn't see as much focus. Not only does well made spatial audio allow a user to become more immersed in their virtual experience, it is an important channel for information about their environment. With the advent of VR, games are putting more work into spatial audio and audio design, and now the results are becoming available for both research and game development. This paper will look at not only why spatial audio can greatly improve virtual experiences, but also some of the new technologies that have become available in recent times which make the implementation of spatial audio far easier and of a higher quality than ever before. It will also look at some planned research to examine the advantages of spatial audio in sonified virtual environments using Unity 3D.","2018-08","2023-07-06 01:56:57","2023-07-06 01:56:57","","1-9","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/minsik/Zotero/storage/NJAL4F3B/searchresult.html","","","sonification; Three-dimensional displays; auditory display; Games; Task analysis; Engines; game engine; Headphones; virtual environments; Virtual environments; virtual reality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 IEEE Games, Entertainment, Media Conference (GEM)","","","","","","","","","","","","","","",""
"2KKUWKID","conferencePaper","2008","O'Neill, Charles; Ng, Kia","Hearing Images: Interactive Sonification Interface for Images","2008 International Conference on Automated Solutions for Cross Media Content and Multi-Channel Distribution","","","10.1109/AXMEDIS.2008.42","","This paper describes research into methods for interactive sonification of 2D image data. The method utilizes an existing device (from computer game), Nintendopsilas wiimote controller to provide a means of interaction with 2D images for the exploration and triggering of sonic response. This paper details a selection of sonification algorithms which have been designed to provide auditory display of image structure through sonification of parameters which signify the users exploration within a segmented image environment.","2008-11","2023-07-06 01:56:57","2023-07-06 01:56:57","","25-31","","","","","","Hearing Images","","","","","","","","","","","","IEEE Xplore","","","","/Users/minsik/Zotero/storage/CFUYJ7P8/searchresult.html","","","sonification; Data analysis; Algorithm design and analysis; artistic; Auditory displays; Auditory system; Computer interfaces; Distributed computing; Feedback; Haptic interfaces; Image segmentation; interactive; Jitter; sensory; visual; wii","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2008 International Conference on Automated Solutions for Cross Media Content and Multi-Channel Distribution","","","","","","","","","","","","","","",""
