"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2LEH3WNS","journalArticle","2020","Liew, Kongmeng; Lindborg, PerMagnus","A Sonification of Cross-Cultural Differences in Happiness-Related Tweets","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=20715","","2020","2023-07-12 05:56:50","2023-07-12 05:56:50","","25–33","","1/2","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTMX7Z4C","journalArticle","2018","Axon, Louise; Goldsmith, Michael; Creese, Sadie","Sonification Mappings: Estimating Effectiveness, Polarities and Scaling in an Online Experiment","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=19875","Sonification is a technique to present data arrays as sound, thereby taking advantage of the human ability to hear patterns that might otherwise not be apparent. Mappings from parameters of data to parameters of sound form the basis of parameter-mapping sonification. The choice of mappings and their design can influence both the utility of the sonification system and the ability of users to interpret the sounds. In this article the authors demonstrate the use of a time-efficient methodology with an experimental online platform for assessing mappings. Experiments explored the effectiveness of various mappings, and the discussions explore the implications of each approach. Based on the responses of 100 participants in an online Magnitude Estimation experiment, the effectiveness of 16 data-sound mappings was explored. Results showed that mappings involving certain sound parameters were generally effective, while those using other sound parameters varied in their effectiveness. In some cases the ability to interpret mappings and the polarities with which they were perceived varied among individuals using them. The mappings that used the tempo parameter were generally perceived effectively, while those using other sound parameters varied. Exploratory observations suggest that differences among participants might be related to different levels of musical experience.","2018","2023-07-12 05:56:55","2023-07-19 03:37:30","","1016–1032","","12","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H97AVHSQ","journalArticle","2012","Bujacz, Michal; Skulimowski, Piotr; Strumillo, Pawel","Naviton—A Prototype Mobility Aid for Auditory Presentation of Three-Dimensional Scenes to the Visually Impaired","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16374","To augment the task of navigation and orientation of blind individuals, a new travel aid uses 3D scene sonification to present information about the environment using nonverbal audio. The model is composed of two classes of objects: obstacles and planes. The algorithm uses scene image segmentation, personalized spatial audio, musical tones, and sonar-like sound patterns. Individually measured head-related transfer functions were used to provide users with the illusion of sounds originating from the locations of sonified scene elements. Using a segmented and parametric description overcomes the sensory mismatch between visual and auditory perception. In a pilot study using both blind and sighted volunteers, subjects were able to utilize the prototype for spatial orientation and obstacle avoidance after a few minutes of training, attaining 90% accuracy in estimating the direction and depth of obstacles.","2012","2023-07-12 05:57:01","2023-07-19 03:45:35","","696–708","","9","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52FJ88PV","journalArticle","2018","Roma, Gerard; Xambó, Anna; Freeman, Jason","User-independent Accelerometer Gesture Recognition for Participatory Mobile Music","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=19582","With the widespread use of smartphones that have multiple sensors and sound processing capabilities, there is a great potential for increased audience participation in music performances. This paper proposes a framework for participatory mobile music based on mapping arbitrary accelerometer gestures to sound synthesizers. The authors describe Handwaving, a system based on neural networks for real-time gesture recognition and sonification on mobile browsers. Based on a multiuser dataset, results show that training with data from multiple users improves classification accuracy, supporting the use of the proposed algorithm for user-independent gesture recognition. This illustrates the relevance of user-independent training for multiuser settings, especially in participatory music. The system is implemented using web standards, which makes it simple and quick to deploy software on audience devices in live performance settings.","2018","2023-07-12 05:57:04","2023-07-19 04:41:39","","430–438","","6","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L4RYTSW8","journalArticle","2018","Stolfi, Ariane; Sokolovskis, Janis; Goródscy, Fábio; Iazzetta, Fernando; Barthet, Mathieu","Audio Semantics: Online Chat Communication in Open Band Participatory Music Performances","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=19868","","2018","2023-07-12 05:57:06","2023-07-12 05:57:06","","910–921","","11","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7747JFUY","journalArticle","2012","Vogt, Katharina; Höldrich, Robert","Translating Sonifications","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16636","Over the last few decades there have been numerous explorations of sonification, a concept that may be loosely defined as communicating nonaudio information as sound. As with any developing field, there comes a time when a formal structure is needed to provide a framework for understanding the collection of ad hoc experiments. To make the mapping between data and sound more explicit and less prone to misunderstandings, a sonification operator has been suggested. The authors created “notation modules” to formulate this mapping for various fields. An example of a specific sonification operator in the field of physics is given. Nine subjects from research were used in a study to evaluate the experience of this formalism.","2012","2023-07-12 05:57:09","2023-07-19 10:53:28","","926–935","","11","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B5J42F5S","journalArticle","2018","Yang, Jiajun; Hermann, Thomas","Interactive Mode Explorer Sonification Enhances Exploratory Cluster Analysis","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=19712","Exploratory Data Analysis (EDA) refers to the process of detecting patterns of data when explicit knowledge of such patterns within the data is missing. Because EDA predominantly employs data visualization, it remains challenging to visualize high-dimensional data. To minimize the challenge, some information can be shifted into the auditory channel using humans’ highly developed listening skills. This paper introduces Mode Explorer, a new sonification model that enables continuous interactive exploration of datasets with regards to their clustering. The method was shown to be effective in supporting users in the more accurate assessment of cluster mass and number of clusters. While the Mode Explorer sonification aimed to support cluster analysis, the ongoing research has the goal of establishing a more general toolbox of sonification models, tailored to uncover different structural aspects of high-dimensional data. The principle of extending the data display to the auditory domain is applied by augmenting interactions with 2D scatter plots of high-dimensional data with information about the probability density function.","2018","2023-07-12 05:57:12","2023-07-19 10:58:24","","703–711","","9","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLTF7BGB","journalArticle","2012","Grosshauser, T.; Bläsing, B.; Spieth, C.; Hermann, T.","Wearable Sensor-Based Real-Time Sonification of Motion and Foot Pressure in Dance Teaching and Training","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=16369","As with tasks involved with motion and gesture, teaching dance can take advantage of auditory displays that map specific dance steps into their acoustic counterparts. Wearable sensors based on acoustic “fingerprints” accompany the dance movements in real-time. This kind of audio feedback has a positive influence on motor movement and perception. For example, joint angles, weight distribution, and energy of jumps are easily recognized through sound. With practice, a student can hear if a complex movement was correctly executed. The auditory system can hear complex patterns of rapid motion, especially aspects of a dance that are not easily seen.","2012","2023-07-12 05:57:18","2023-07-19 04:03:00","","580–589","","7/8","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIEWRMIL","journalArticle","2014","Sanz, Pablo Revuelta; Mezcua, Belén Ruiz; Pena, José M. Sánchez; Walker, Bruce N.","Scenes and Images into Sounds: A Taxonomy of Image Sonification Methods for Mobility Applications","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=17130","","2014","2023-07-12 05:57:20","2023-07-12 05:57:20","","161–171","","3","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MX8LVIVI","journalArticle","2020","Hansen, Brian; Burchett, Joseph N.; Forbes, Angus G.","Quasar Spectroscopy Sound: Analyzing Intergalactic and Circumgalactic Media via Data Sonification","J. Audio Eng. Soc","","","","http://www.aes.org/e-lib/browse.cfm?elib=21000","In this paper, we present sonification approaches to support research in astrophysics, using sound to enhance the exploration of the intergalactic medium and the circumgalactic medium. Astrophysicists often analyze matter in these media using a technique called absorption line spectroscopy. Our sonification approaches convey key spectral features identified via this technique, including the presence and width of spectral absorption lines within a region of the Universe, the relationship of a particular redshift location with respect to the absorption peak of a spectral absorption line, and the density of gas at various regions of the Universe. In addition, we introduce Quasar Spectroscopy Sound, a novel software tool that enables researchers to perform these sonification techniques on cosmological data sets, potentially accelerating the discovery and classification of matter in the intergalactic medium and circumgalactic medium.","2020","2023-07-12 05:57:23","2023-07-19 04:03:28","","865–875","","11","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
