"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UXQFVVYL","journalArticle","2006","Weinberg, Gil; Thatcher, Travis","Interactive Sonification: Aesthetics, Functionality and Performance","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/4540587","The authors present a sonification installation that allows a group of players to interact with an auditory display of neural activity. The system is designed to represent electrical spike propagation in a neuron culture through sound propagation in space. Participants can simulate neural spikes by using a set of specially designed controllers, experimenting and sonically investigating the electrical activity of the brain. The article discusses some aesthetic and functional aspects of sonification and describes the authors' approach for group interaction with auditory displays. It concludes with the description of a performance piece for the system and ideas for improvements and future work.","2006","2023-07-10 07:04:19","2023-07-10 07:04:19","2023-07-10 07:04:17","9-12","","","16","","","Interactive Sonification","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/7WC3NJBY/Weinberg and Thatcher - 2006 - Interactive Sonification Aesthetics, Functionalit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKDUWR85","journalArticle","2006","Barrass, Stephen; Whitelaw, Mitchell; Bailes, Freya","Listening to the Mind Listening: An Analysis of Sonification Reviews, Designs and Correspondences","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/4540588","Listening to the Mind Listening (LML) explored whether sonifications can be more than just ""noise"" in terms of perceived information and musical experience. The project generated an unprecedented body of 27 multichannel sonifications of the same dataset by 38 composers. The design of each sonification was explicitly documented, and there are 88 analytical reviews of the works. The public concert presenting 10 of these sonifications at the Sydney Opera House Studio drew a capacity audience. This paper presents an analysis of the reviews, the designs and the correspondences between timelines of these works.","2006","2023-07-10 07:04:19","2023-07-10 07:04:19","2023-07-10 07:04:18","13-19","","","16","","","Listening to the Mind Listening","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/7ACGRLV2/Barrass et al. - 2006 - Listening to the Mind Listening An Analysis of So.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP48NHEK","journalArticle","2013","Grond, Florian; Olmos, Adriana; Cooperstock, Jeremy R.","Making Sculptures Audible through Participatory Sound Design","Leonardo Music Journal","","0961-1215","","https://www.jstor.org/stable/43832491","A research group explores rendering sculptural forms as sound using echolocation and the participation of members of the visually impaired community.","2013","2023-07-10 07:04:19","2023-07-10 07:04:19","2023-07-10 07:04:19","12-13","","","23","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/GC27IPYR/Grond et al. - 2013 - Making Sculptures Audible through Participatory So.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WE9Q6CS","journalArticle","2007","Shi, X. J.; Cai, Y. Y.; Chan, C. W.","Electronic Music for Bio-Molecules Using Short Music Phrases","Leonardo","","0024-094X","","https://www.jstor.org/stable/20206375","The authors explore protein sonification issues using Morse code theory. Short musical phrases based on protein amino acids are used to compose protein music. Rhythms and tunes familiar to teenagers are also investigated, with the aim of producing different genres of protein music. A special musical instrument, the Chinese guzheng, can be employed to play the protein music. Experiment is carried out with different proteins, including the HIV main protease. It is hoped that this study can help unveil the mysteries of nature and motivate students to learn biology.","2007","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:52","137-141","","2","40","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/WRV7NYAR/Shi et al. - 2007 - Electronic Music for Bio-Molecules Using Short Mus.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MC7B8PVP","journalArticle","2005","Sturm, Bob L.","Pulse of an Ocean: Sonification of Ocean Buoy Data","Leonardo","","0024-094X","","https://www.jstor.org/stable/1577794","The author presents his work in sonifying ocean buoy data for scientific, pedagogical and compositional purposes. Mapping the spectral buoy data to audible frequencies creates interesting and illuminating sonifications of ocean wave dynamics. Several phenomena can be heard, including both those visible and those invisible in graphical representations of the data. The author has worked extensively with this data to compose music and to produce ""Music from the Ocean,"" a multimedia CD-ROM demonstrating the data, the phenomena and the sonification. After a brief introduction to physical oceanography, many examples are presented and a composition and installation created from the sonifications are discussed.","2005","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:52","143-149","","2","38","","","Pulse of an Ocean","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/Y9GLKEXD/Sturm - 2005 - Pulse of an Ocean Sonification of Ocean Buoy Data.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIA5NDIS","journalArticle","2005","Miranda, Eduardo Reck; Brouse, Andrew","Interfacing the Brain Directly with Musical Systems: On Developing Systems for Making Music with Brain Signals","Leonardo","","0024-094X","","https://www.jstor.org/stable/20206079","The authors discuss their work on developing technology to interface the brain directly with music systems, a field of research generally known as Brain-Computer Interfacing (BCI). The paper gives a brief background of BCI in general and surveys various attempts at musical BCI, or Brain-Computer Music Interface (BCMI)--systems designed to make music from brain signals, or brainwaves. The authors present a technical introduction to the electroencephalogram (EEG), which measures brainwaves detected by electrodes placed directly on the scalp. They introduce approaches to the design of BCI and BCMI systems and present two case study systems of their own design: the BCMI-Piano and the Inter-Harmonium.","2005","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:53","331-336","","4","38","","","Interfacing the Brain Directly with Musical Systems","","","","","","","","","","","","JSTOR","","Publisher: [Leonardo, The MIT Press]","","/Users/minsik/Zotero/storage/443A55BS/Miranda and Brouse - 2005 - Interfacing the Brain Directly with Musical System.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAUJMII9","journalArticle","2016","Eloul, Shaltiel; Zissu, Gil; Amo, Yehiel H.; Jacoby, Nori","Motion Tracking of a Fish as a Novel Way to Control Music Performance","Leonardo","","0024-094X","","https://www.jstor.org/stable/43834350","The authors have mapped the three-dimensional motion of a fish onto various electronic music performance gestures, including loops, melodies, arpeggio and DJ-like interventions. They combine an element of visualization, using an LED screen installed on the back of an aquarium, to create a link between the fish's motion and the sonified music. This visual addition provides extra information about the fish's role in the music, enabling the perception of versatile and developing auditory structures during the performance that extend beyond the sonification of the momentary motion of objects.","2016","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:53","203-210","","3","49","","","","","","","","","","","","","","","JSTOR","","Publisher: [Leonardo, The MIT Press]","","/Users/minsik/Zotero/storage/UZ8ME2QE/Eloul et al. - 2016 - Motion Tracking of a Fish as a Novel Way to Contro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VK2KXJTT","journalArticle","2004","Ben-Tal, Oded; Berger, Jonathan","Creative Aspects of Sonification","Leonardo","","0024-094X","","https://www.jstor.org/stable/1577727","A goal of sonification research is the intuitive audio representation of complex, multidimensional data. The authors present two facets of this research that may provide insight into the creative process. First, they discuss aspects of categorical perception in nonverbal auditory scene analysis and propose that these characteristics are simplified models of creative engagement with sound. Second, they describe the use of sonified data in musical compositions by each of the authors and observe aspects of the creative process in the purely aesthetic use of sonified statistical data.","2004","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:54","229-232","","3","37","","","","","","","","","","","","","","","JSTOR","","Publisher: [Leonardo, The MIT Press]","","/Users/minsik/Zotero/storage/P5JZ9M68/Ben-Tal and Berger - 2004 - Creative Aspects of Sonification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZJFWYHU","journalArticle","2004","Ballora, Mark; Pennycook, Bruce; Ivanov, Plamen C.; Glass, Leon; Goldberger, Ary L.","Heart Rate Sonification: A New Approach to Medical Diagnosis","Leonardo","","0024-094X","","https://www.jstor.org/stable/1577570","Ever since 1819, when Theophile Laënnec first put a block of wood to a patient's chest in order to listen to her heartbeat, physicians have used auscultation to help diagnose cardiopulmonary disorders. Here the authors describe a novel diagnostic method based in music technology. Digital musicsynthesis software is used to transform the sequence of time intervals between consecutive heartbeats into an electroacoustic soundtrack. The results show promise as a diagnostic tool and also provide the basis of an interesting musical soundscape.","2004","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:54","41-46","","1","37","","","Heart Rate Sonification","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U6XCV85","journalArticle","2013","Jensenius, Alexander Refsum","Some Video Abstraction Techniques for Displaying Body Movement in Analysis and Performance","Leonardo","","0024-094X","","https://www.jstor.org/stable/23468117","This paper presents an overview of techniques for creating visual displays of human body movement based on video recordings. First a review of early movement and video visualization techniques is given. Then follows an overview of techniques that the author has developed and used in the study of music-related body movements: motion history images, motion average images, motion history keyframe images and motiongrams. Finally, examples are given of how such visualization techniques have been used in empirical music research, in medical research and for creative applications.","2013","2023-07-10 07:07:55","2023-07-10 07:07:55","2023-07-10 07:07:54","53-43","","1","46","","","","","","","","","","","","","","","JSTOR","","Publisher: The MIT Press","","/Users/minsik/Zotero/storage/QCZDFP4Z/Jensenius - 2013 - Some Video Abstraction Techniques for Displaying B.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
