"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EII9DQZX","journalArticle","2018","Nees, Michael A.","Auditory Graphs Are Not the “Killer App” of Sonification, But They Work","Ergonomics in Design","","1064-8046","10.1177/1064804618773563","https://doi.org/10.1177/1064804618773563","The search for the elusive “killer app” of sonification has been a recurring theme in sonification research. In this comment, I argue that the killer-app criterion of success stems from interdisciplinary tensions about how to evaluate sonifications. Using auditory graphs as an example, I argue that the auditory display community has produced successful examples of sonic information design that accomplish the human factors goal of improving human interactions with systems. Still, barriers to using sonifications in interfaces remain, and reducing those barriers could result in more widespread use of audio in systems.","2018-10-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:45","25-28","","4","26","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/5MAL9TZ7/Nees - 2018 - Auditory Graphs Are Not the “Killer App” of Sonifi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXZ7A296","journalArticle","2022","Yang, Jiajun; Hunt, Andy","Assisting Dumbbell Curls via Interactive Sonification of Arm Movement and Muscular Signals","Ergonomics in Design","","1064-8046","10.1177/1064804619829664","https://doi.org/10.1177/1064804619829664","We developed an interactive sonification system that lets users listen to their own hand/arm movement and bicep muscle signals as sonic feedback during biceps curls exercise. The system aims to improve the exercise quality and user motivation. Based on two studies, we found that the sonification was more effective in providing temporal cues to slow down the repetition but not as effective as hoped in extending the vertical movement range and increasing repetition amount. The studies provide some design guidelines for multivariate sonification and also reflect a wider potential for applications that include general fitness, physiotherapy, and sports training.","2022-07-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:47","11-15","","3","30","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/FHUD3C63/Yang and Hunt - 2022 - Assisting Dumbbell Curls via Interactive Sonificat.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KHXQZNKU","journalArticle","2016","Hinckfuss, Kelly; Sanderson, Penelope; Loeb, Robert G.; Liley, Helen G.; Liu, David","Novel Pulse Oximetry Sonifications for Neonatal Oxygen Saturation Monitoring: A Laboratory Study","Human Factors","","0018-7208","10.1177/0018720815617406","https://doi.org/10.1177/0018720815617406","ObjectiveWe aimed to test whether the use of novel pulse oximetry sounds (sonifications) better informs listeners when a neonate’s oxygen saturation (SpO2) deviates from the recommended range.BackgroundVariable-pitch pulse oximeters do not accurately inform clinicians via sound alone when SpO2 is outside the target range of 90% to 95% for neonates on supplemental oxygen. Risk of blindness, organ damage, and death increase if SpO2 remains outside the target range. A more informative sonification may improve clinicians’ ability to maintain the target range.MethodIn two desktop experiments, nonclinicians’ ability to detect SpO2 range and direction of change was tested with novel versus conventional sonifications of simulated patient data. In Experiment 1, a “shoulder” sonification used larger pitch differences between adjacent saturation percentages for SpO2 values outside the target range. In Experiment 2, a “beacon” sonification used equal-appearing pitch differences, but when SpO2 was outside the target range, a fixed-pitch reference tone from the center of the target SpO2 range preceded every fourth pulse tone.ResultsThe beacon sonification improved range identification accuracy over the control display (85% vs. 60%; p < .001), but the shoulder sonification did not (55% vs. 52%).ConclusionThe beacon provided a distinct auditory alert and reference that significantly improved nonclinical participants’ ability to identify SpO2 range.ApplicationAdding a beacon to the variable-pitch pulse oximeter sound may help clinicians identify when, and by how much, a neonate’s SpO2 deviates from the target range, particularly during patient transport situations when auditory information becomes essential.","2016-03-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:49","344-359","","2","58","","Hum Factors","Novel Pulse Oximetry Sonifications for Neonatal Oxygen Saturation Monitoring","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/2UZBV9Q5/Hinckfuss et al. - 2016 - Novel Pulse Oximetry Sonifications for Neonatal Ox.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYI32QS8","journalArticle","2004","Smith, Daniel R.; Walker, Bruce N.","Effects of Training and Auditory Context on Performance of a Point Estimation Sonification Task","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/154193120404801608","https://doi.org/10.1177/154193120404801608","Research on auditory graphs has investigated mappings, scalings, and polarities (Walker, 2002), as well as the addition of some contextual design features (Bonebright, Nees, Connerley, & McCain, 2001; Flowers, Buhman, & Turnage, 1997), in order to improve performance. However, little has been done to quantify the performance effects of such features, or to investigate effects of training in specific sonification tasks such as point estimation. Smith and Walker (2002) took a step towards quantifying and comparing the effects of adding several contextual design features. Presented here are selected results from a comprehensive follow-on study comparing effects of adding auditory context, either with or without training. The overall results indicate that some kinds of auditory context improved performance, while others did not. Training improved performance, and an interaction was discovered between type of auditory context and type of training (Smith, 2003). Implications are discussed.","2004-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:51","1828-1831","","16","48","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/XC38U5EI/Smith and Walker - 2004 - Effects of Training and Auditory Context on Perfor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDG3SAS7","journalArticle","2004","Anderson, Janet; Sanderson, Penelope","Designing Sonification for Effective Attentional Control in Complex Work Domains","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/154193120404801606","https://doi.org/10.1177/154193120404801606","Complex safety-critical work domains such as anesthesia require human operators to direct their attention appropriately. A sonification is a possible method for directing attention to relevant changes while still allowing monitoring under divided attention conditions. However, there is currently little information to guide the design of sonification. Two experiments investigated the effect of the number of auditory streams on ability to detect changes (Experiment 1), and the effect of the number of auditory streams under different attention conditions (Experiment 2). When monitoring with selective attention, participants noted changes more accurately with three streams than with one or two streams, but when there were also distracter changes participants noted changes more accurately in multiple streams. Overall, accuracy was lower when attention was divided than when it was selective, but accuracy was especially low in the three-stream configuration. Distracter changes increased divided attention accuracy. The results suggest that the number of streams should be minimized if operators' attention will be divided between monitoring and other tasks.","2004-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:53","1818-1822","","16","48","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/EQK5CY9A/Anderson and Sanderson - 2004 - Designing Sonification for Effective Attentional C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5WXYZ4R2","journalArticle","2004","Watson, Marcus; Sanderson, Penelope","Sonification Supports Eyes-Free Respiratory Monitoring and Task Time-Sharing","Human Factors","","0018-7208","10.1518/hfes.46.3.497.50401","https://doi.org/10.1518/hfes.46.3.497.50401","Three experiments explored the effectiveness of continuous auditory displays, or sonifications, for conveying information about a simulated anesthetized patient's respiration. Experiment 1 established an effective respiratory sonification. Experiment 2 showed an effect of expertise in the use of respiratory sonification and revealed that some apparent differences in sonification effectiveness could be accounted for by response bias. Experiment 3 showed that sonification helps anesthesiologists to maintain high levels of awareness of the simulated patient's state while performing other tasks more effectively than when relying upon visual monitoring of the simulated patient state. Overall, sonification of patient physiology beyond traditional pulse oximetry appears to be a viable and useful adjunct to visual monitors. Actual and potential applications of this research include monitoring in a wide variety of busy critical care contexts.","2004-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:54","497-517","","3","46","","Hum Factors","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/EYDTIKUV/Watson and Sanderson - 2004 - Sonification Supports Eyes-Free Respiratory Monito.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDZ9A22W","journalArticle","2013","Viraldo, Jacob; Caldwell, Barrett","Sonification as Sensemaking in Control Room Applications","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/1541931213571318","https://doi.org/10.1177/1541931213571318","Traditional analog alarms are nearly always exclusively binary, resulting in a single audio signal display sounding in order to inform users of a particular system parameter which has varied from within its predefined limits. During emergency situations, users can be faced with multiple simultaneous alarms, each relaying information concerning different, but usually related, system parameters. Using advanced sonification principles, achieved real-time with digital sound manipulation according to established human factors principles, new multi-parameter alarms can be created to better inform users of suboptimal conditions. These high-tech alarms also serve to help users maintain high levels of situational awareness, while aiding in sensemaking and decreasing stress caused by alarm flooding and cognitive overload.","2013-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:56","1423-1426","","1","57","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/P6P54ZJR/Viraldo and Caldwell - 2013 - Sonification as Sensemaking in Control Room Applic.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EMRR9SQT","journalArticle","2021","Nadri, Chihab; Ko, Sangjin; Diggs, Colin; Winters, Michael; Sreehari, V. K.; Jeon, Myounghoon","Novel Auditory Displays in Highly Automated Vehicles: Sonification Improves Driver Situation Awareness, Perceived Workload, and Overall Experience","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/1071181321651071","https://doi.org/10.1177/1071181321651071","Highly automated driving systems are expected to require the design of new user-vehicle interactions. Sonification can be used to provide contextualized alarms and cues that can increase situation awareness and user experience. In this study, we examined user perceptions of potential use cases for level 4 automated vehicles in online focus group interviews (N=12). Also, in a driving simulator study, we evaluated (1) visual-only display; (2) non-speech with visual display; and (3) speech with visual display with 20 young drivers. Results indicated participants’ interest in the use cases and insight on desired functions in highly automated vehicles. Both audiovisual display conditions resulted in higher situation awareness for drivers than the visual-only condition. Some differences were found between the non-speech and speech conditions suggesting benefits of sonification for both driving and non-driving related auditory use cases. This study will provide guidance on sonification design for highly automated vehicles.","2021-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:13:58","586-590","","1","65","","","Novel Auditory Displays in Highly Automated Vehicles","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/T2U83TRA/Nadri et al. - 2021 - Novel Auditory Displays in Highly Automated Vehicl.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJD2PQIZ","journalArticle","2014","Nees, Michael A.; Walker, Bruce N.","Performance of a Sonification Task in the Presence of Verbal, Visuospatial, and Auditory Interference Tasks","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/1541931214581249","https://doi.org/10.1177/1541931214581249","An experiment examined performance with sonifications—a general term for nonspeech auditory displays—as a function of working memory encoding and the demands of three different types of interference tasks. Participants encoded the sonifications as verbal representations, visuospatial images, or auditory images. After encoding, participants engaged in brief verbal, visuospatial, or auditory interference tasks before responding to point estimation queries about the sonifications. Results were expected to show selective impact on sonification task performance when the interference task demands matched the working memory encoding strategy, but instead a pattern of general working memory interference emerged in addition to auditory modal interference. In practical applications, results suggested that performance with auditory displays will be impacted by any interference task, though auditory tasks likely will cause more interference than verbal or visuospatial tasks.","2014-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:14:00","1194-1198","","1","58","","","","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/DEQVRDUG/Nees and Walker - 2014 - Performance of a Sonification Task in the Presence.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"533TWJF3","journalArticle","2016","Paterson, Estrella; Sanderson, Penelope; Paterson, Neil; Liu, David; Loeb, Robert","The effect of a secondary task on identification accuracy of oxygen saturation ranges using an enhanced pulse oximetry sonification: A laboratory study","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","","2169-5067","10.1177/1541931213601143","https://doi.org/10.1177/1541931213601143","In the operating theatre, anesthesiologists monitor an anesthetized patient’s oxygen saturation (SpO2) with a visual display but also with an auditory tone, or sonification. However, if the anesthesiologist must divide their attention across tasks, they may be less effective at recognising their patient’s SpO2 level. Previous research indicates that a sonification enhanced with additional sound dimensions of tremolo and brightness more effectively supports participants’ identification of SpO2 ranges than a conventional sonification does. This laboratory study explored the effect of a secondary task on participants’ ability to identify SpO2 range when using a conventional sonification (LogLinear sonification) versus an enhanced sonification (Stepped Effects sonification). Nineteen non-clinician participants who used the Stepped Effects sonification were significantly more effective at identifying SpO2 range (Md = 100%) than were 18 participants using the LogLinear sonification (Md = 80%). Range identification performance of participants using the Stepped Effects sonification tended to be less disrupted by a concurrent arithmetic task (drop from Md = 100% to 95%) than it was for participants using the LogLinear sonification (drop from Md = 80% to 73%). However, the disruption effect in each case was small, and the difference in disruption across sonifications was not statistically significant. Future research will test the sonifications under more intense cognitive load and in the presence of ambient noise.","2016-09-01","2023-07-06 06:14:02","2023-07-06 06:14:02","2023-07-06 06:14:02","628-632","","1","60","","","The effect of a secondary task on identification accuracy of oxygen saturation ranges using an enhanced pulse oximetry sonification","","","","","","","en","","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","/Users/minsik/Zotero/storage/Q4ZT82K3/Paterson et al. - 2016 - The effect of a secondary task on identification a.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
