"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CFHB45EM","bookSection","2006","Murphy, Emma; Pirhonen, Antti; McAllister, Graham; Yu, Wai","A Semiotic Approach to the Design of Non-speech Sounds","Haptic and Audio Interaction Design","978-3-540-37595-1 978-3-540-37596-8","","","http://link.springer.com/10.1007/11821731_12","In the field of auditory display there is currently a lack of theoretical support for the design of non-speech sounds as elements of a user interface. Sound design methods are often based on ad hoc choices or the personal preferences of the designer. A method is proposed in this paper based on a semiotic approach to the design of non-speech sounds. In this approach, the design process is conceptualised by referring to structural semiotics, acknowledging the unique qualities of non-speech sounds, as a mode of conveying information. This method is based on a rich use scenario presented to a design panel. A case study where the design method has been applied is presented and evaluated. Finally recommendations for a practical design method are presented supported by this empirical investigation.","2006","2023-07-05 07:32:03","2023-07-20 00:15:41","2023-07-05 07:32:03","121-132","","","4129","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/11821731_12","","","","","","McGookin, David; Brewster, Stephen","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VDFT69N4","journalArticle","2016","Katz, Brian F. G.; Marentakis, Georgios","Advances in auditory display research","Journal on Multimodal User Interfaces","","1783-7677, 1783-8738","10.1007/s12193-016-0226-7","http://link.springer.com/10.1007/s12193-016-0226-7","The research community on Auditory Design has been active and organized now for almost 25 years. Work in Auditory Display is pluri-disciplinary/inter-disciplinary in nature, and involves disciplines such as perception, acoustics, digital signal processing, multimodality, ergonomics, aesthetics, cognition, etc. Published works have spanned fundamental, phenomenological, theoretical, applicative, and artistic studies. Over the years, various journals have had special issues related to such work. The range of the associated journals reflects the variety of implicated domains. This current special issue presents a collection of extended works that were selected from papers presented at the 2015 International Conference on Auditory Display. We present here an overview of the selection process and the accepted papers.","2016-09","2023-07-06 00:46:54","2023-07-20 06:59:42","2023-07-06 00:46:54","191-193","","3","10","","J Multimodal User Interfaces","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/CCR5HKUR/Katz and Marentakis - 2016 - Advances in auditory display research.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8Q63FT7","journalArticle","2017","Black, David; Hansen, Christian; Nabavi, Arya; Kikinis, Ron; Hahn, Horst","A Survey of auditory display in image-guided interventions","International Journal of Computer Assisted Radiology and Surgery","","1861-6410, 1861-6429","10.1007/s11548-017-1547-z","http://link.springer.com/10.1007/s11548-017-1547-z","","2017-10","2023-07-06 00:46:54","2023-07-06 00:46:54","2023-07-06 00:46:54","1665-1676","","10","12","","Int J CARS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/3IB984G8/Black et al. - 2017 - A Survey of auditory display in image-guided inter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VNPB49M4","bookSection","2010","Gygi, Brian; Shafiro, Valeriy","From Signal to Substance and Back: Insights from Environmental Sound Research to Auditory Display Design","Auditory Display","978-3-642-12438-9 978-3-642-12439-6","","","http://link.springer.com/10.1007/978-3-642-12439-6_16","","2010","2023-07-06 00:46:54","2023-07-06 00:46:54","2023-07-06 00:46:54","306-329","","","5954","","","From Signal to Substance and Back","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-642-12439-6_16","","/Users/minsik/Zotero/storage/5NQSNLAL/Gygi and Shafiro - 2010 - From Signal to Substance and Back Insights from E.pdf","","","","Ystad, Sølvi; Aramaki, Mitsuko; Kronland-Martinet, Richard; Jensen, Kristoffer","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S4Q6KQMT","journalArticle","2017","Temple, Mark D.","An auditory display tool for DNA sequence analysis","BMC Bioinformatics","","1471-2105","10.1186/s12859-017-1632-x","http://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1632-x","","2017-12","2023-07-06 00:46:54","2023-07-06 00:46:54","2023-07-06 00:46:54","221","","1","18","","BMC Bioinformatics","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/R9CZ7K22/Temple - 2017 - An auditory display tool for DNA sequence analysis.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAG8HBKA","journalArticle","2012","Vazquez-Alvarez, Yolanda; Oakley, Ian; Brewster, Stephen A.","Auditory display design for exploration in mobile audio-augmented reality","Personal and Ubiquitous Computing","","1617-4909, 1617-4917","10.1007/s00779-011-0459-0","http://link.springer.com/10.1007/s00779-011-0459-0","In this paper, we compare four different auditory displays in a mobile audio-augmented reality environment (a sound garden). The auditory displays varied in the use of non-speech audio, Earcons, as auditory landmarks and 3D audio spatialization, and the goal was to test the user experience of discovery in a purely exploratory environment that included multiple simultaneous sound sources. We present quantitative and qualitative results from an initial user study conducted in the Municipal Gardens of Funchal, Madeira. Results show that spatial audio together with Earcons allowed users to explore multiple simultaneous sources and had the added benefit of increasing the level of immersion in the experience. In addition, spatial audio encouraged a more exploratory and playful response to the environment. An analysis of the participants’ logged data suggested that the level of immersion can be related to increased instances of stopping and scanning the environment, which can be quantified in terms of walking speed and head movement.","2012-12","2023-07-06 00:46:54","2023-07-21 04:54:27","2023-07-06 00:46:54","987-999","","8","16","","Pers Ubiquit Comput","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZJMTHGZ","journalArticle","2018","Black, David; Hahn, Horst K.; Kikinis, Ron; Wårdell, Karin; Haj-Hosseini, Neda","Auditory display for fluorescence-guided open brain tumor surgery","International Journal of Computer Assisted Radiology and Surgery","","1861-6410, 1861-6429","10.1007/s11548-017-1667-5","http://link.springer.com/10.1007/s11548-017-1667-5","","2018-01","2023-07-06 00:46:54","2023-07-06 00:46:54","2023-07-06 00:46:54","25-35","","1","13","","Int J CARS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/minsik/Zotero/storage/Q3EEV9BP/Black et al. - 2018 - Auditory display for fluorescence-guided open brai.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNSW8EBI","journalArticle","2019","Plazak, Joseph; DiGiovanni, Daniel A.; Collins, D. Louis; Kersten-Oertel, Marta","Cognitive load associations when utilizing auditory display within image-guided neurosurgery","International Journal of Computer Assisted Radiology and Surgery","","1861-6410, 1861-6429","10.1007/s11548-019-01970-w","http://link.springer.com/10.1007/s11548-019-01970-w","Purpose The combination of data visualization and auditory display (e.g., sonification) has been shown to increase accuracy, and reduce perceived difficulty, within 3D navigation tasks. While accuracy within such tasks can be measured in real time, subjective impressions about the difficulty of a task are more elusive to obtain. Prior work utilizing electrophysiology (EEG) has found robust support that cognitive load and working memory can be monitored in real time using EEG data. Methods In this study, we replicated a 3D navigation task (within the context of image-guided surgery) while recording data pertaining to participants’ cognitive load through the use of EEG relative alpha-band weighting data. Specifically, 13 subjects navigated a tracked surgical tool to randomly placed 3D virtual locations on a CT cerebral angiography volume while being aided by visual, aural, or both visual and aural feedback. During the study EEG data were captured from the participants, and after the study a NASA TLX questionnaire was filled out by the subjects. In addition to replicating an existing experimental design on auditory display within image-guided neurosurgery, our primary aim sought to determine whether EEG-based markers of cognitive load mirrored subjective ratings of task difficulty Results Similar to existing literature, our study found evidence consistent with the hypothesis that auditory display can increase the accuracy of navigating to a specified target. We also found significant differences in cognitive working load across different feedback modalities, but none of which supported the experiments hypotheses. Finally, we found mixed results regarding the relationship between real-time measurements of cognitive workload and a posteriori subjective impressions of task difficulty. Conclusions Although we did not find a significant correlation between the subjective and physiological measurements, differences in cognitive working load were found. As well, our study further supports the use of auditory display in image-guided surgery.","2019-08","2023-07-06 00:46:54","2023-07-20 06:41:27","2023-07-06 00:46:54","1431-1438","","8","14","","Int J CARS","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLJT4V9R","bookSection","2014","Sirkka, Anna; Fagerlönn, Johan; Lindberg, Stefan; Frimalm, Ronja","An Auditory Display to Convey Urgency Information in Industrial Control Rooms","Engineering Psychology and Cognitive Ergonomics","978-3-319-07514-3 978-3-319-07515-0","","","http://link.springer.com/10.1007/978-3-319-07515-0_53","Auditory warning signals are common features in industrial control rooms. Finding sound signals that convey higher degrees of urgency while keeping the potential for annoyance low is challenging. In the present study, evaluations were performed on four different types of auditory displays. The displays were all designed to convey three levels of urgency. The examination focused on the following questions: (1) “How reliably can the operators identify the three levels of urgency?” and (2) “How annoying do the operators find the sound signals?”. Fourteen operators participated in the study. For every signal within each auditory display, the participants were asked to rate the level of urgency and annoyance. The results show that one can design auditory displays that employ appropriate urgency mapping while the perceived annoyance is kept at a low level. The work also suggests that involving the end users in the design process could be advantageous.","2014","2023-07-06 00:46:54","2023-07-19 23:59:08","2023-07-06 00:46:54","533-544","","","8532","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-319-07515-0_53","","/Users/minsik/Zotero/storage/AW2IRCV4/Sirkka et al. - 2014 - An Auditory Display to Convey Urgency Information .pdf","","","","Harris, Don","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Kobsa, Alfred; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Terzopoulos, Demetri; Tygar, Doug; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYRCA4S8","journalArticle","2019","Ziemer, Tim; Schultheis, Holger","Psychoacoustic auditory display for navigation: an auditory assistance system for spatial orientation tasks","Journal on Multimodal User Interfaces","","1783-7677, 1783-8738","10.1007/s12193-018-0282-2","http://link.springer.com/10.1007/s12193-018-0282-2","","2019-09","2023-07-06 00:46:54","2023-07-06 00:46:54","2023-07-06 00:46:54","205-218","","3","13","","J Multimodal User Interfaces","Psychoacoustic auditory display for navigation","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
