"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CFHB45EM","bookSection","2006","Murphy, Emma; Pirhonen, Antti; McAllister, Graham; Yu, Wai","A Semiotic Approach to the Design of Non-speech Sounds","Haptic and Audio Interaction Design","978-3-540-37595-1 978-3-540-37596-8","","","http://link.springer.com/10.1007/11821731_12","In the field of auditory display there is currently a lack of theoretical support for the design of non-speech sounds as elements of a user interface. Sound design methods are often based on ad hoc choices or the personal preferences of the designer. A method is proposed in this paper based on a semiotic approach to the design of non-speech sounds. In this approach, the design process is conceptualised by referring to structural semiotics, acknowledging the unique qualities of non-speech sounds, as a mode of conveying information. This method is based on a rich use scenario presented to a design panel. A case study where the design method has been applied is presented and evaluated. Finally recommendations for a practical design method are presented supported by this empirical investigation.","2006","2023-07-05 07:32:03","2023-07-20 00:15:41","2023-07-05 07:32:03","121-132","","","4129","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/11821731_12","","","","","","McGookin, David; Brewster, Stephen","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKZ8B66Y","bookSection","2006","Coleman, Graeme W.; Macaulay, Catriona; Newell, Alan F.","Listen to This – Using Ethnography to Inform the Design of Auditory Interfaces","Haptic and Audio Interaction Design","978-3-540-37595-1 978-3-540-37596-8","","","http://link.springer.com/10.1007/11821731_13","Within the wider Human-Computer Interaction community, many researchers have turned to ethnography to inform systems design. However, such approaches have yet to be fully utilized within auditory interface research, a field hitherto driven by technology-inspired design work and the addressing of specific cognitive issues. It is proposed that the time has come to investigate the role ethnographic methods have to play within auditory interface design. We begin by discussing “traditional” ethnographic methods by presenting our experiences conducting a field study with a major UK-based computer games developer, highlighting issues pertinent to the design of auditory interfaces, before suggesting ways in which such techniques could be expanded to consider the role sound plays in people’s lived experiences and thus merit further research.","2006","2023-07-05 07:53:21","2023-07-20 00:14:30","2023-07-05 07:53:21","133-144","","","4129","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/11821731_13","","","","","","McGookin, David; Brewster, Stephen","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NZG9K45","bookSection","2010","Sanderson, Penelope M.","The Power and the Puzzles of Auditory Interfaces","Human-Computer Interaction","978-3-642-15230-6 978-3-642-15231-3","","","http://link.springer.com/10.1007/978-3-642-15231-3_1","","2010","2023-07-05 07:53:21","2023-07-05 07:53:21","2023-07-05 07:53:21","1-2","","","332","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: IFIP Advances in Information and Communication Technology DOI: 10.1007/978-3-642-15231-3_1","","/Users/minsik/Zotero/storage/EIZGA7WP/Sanderson - 2010 - The Power and the Puzzles of Auditory Interfaces.pdf","","","","Forbrig, Peter; Paternó, Fabio; Mark Pejtersen, Annelise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53E972CW","bookSection","2009","Ferati, Mexhid; Bolchini, Davide; Mannheimer, Steve","Towards a Modeling Language for Designing Auditory Interfaces","Universal Access in Human-Computer Interaction. Applications and Services","978-3-642-02712-3 978-3-642-02713-0","","","http://link.springer.com/10.1007/978-3-642-02713-0_53","","2009","2023-07-05 07:53:21","2023-07-05 07:53:21","2023-07-05 07:53:21","502-511","","","5616","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-642-02713-0_53","","/Users/minsik/Zotero/storage/5XJ6WNAM/Ferati et al. - 2009 - Towards a Modeling Language for Designing Auditory.pdf","","","","Stephanidis, Constantine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3HXZUJM","journalArticle","2014","Kiriella, Dawpadee B.; Kumari, Shyama C.; Ranasinghe, Kavindu C.; Jayaratne, Lakshman","Music Training Interface for Visually Impaired through a Novel Approach to Optical Music Recognition","GSTF Journal on Computing (JoC)","","2010-2283","10.7603/s40601-013-0045-6","http://www.globalsciencejournals.com/article/10.7603/s40601-013-0045-6","Abstract                            Some inherited barriers which limits the human abilities can be surprisingly win through technology. This research focuses on defining a more reliable and a controllable interface for visually impaired people to read and study eastern music notations which are widely available in printed format. One of another concept behind was that differently-abled people should be assisted in a way which they can proceed interested tasks in an independent way. The research provide means to continue on researching the validity of using a controllable auditory interface instead using Braille music scripts converted with the help of 3               rd               parties. The research further summarizes the requirements aroused by the relevant users, design considerations, evaluation results on user feedbacks of proposed interface.","2014-05","2023-07-05 07:53:21","2023-07-05 07:53:21","2023-07-05 07:53:21","45","","4","3","","GSTF J Comput","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUHESLME","bookSection","2004","Ku, Kyong-I; Won, Jae-Yong; Park, Jaehyun; Kim, Yoo-Sung","A Content-Based Music Retrieval System Using Multidimensional Index of Time-Sequenced Representative Melodies from Music Database","Advances in Databases and Information Systems","978-3-540-23243-8 978-3-540-30204-9","","","http://link.springer.com/10.1007/978-3-540-30204-9_17","In content-based music retrieval systems, since both the correctness and the performance of retrievals are important, a few content-based music retrieval systems have the melody index which contains the representative melodies of music to be likely used as users’ queries. In this paper, we describe the development of a content-based music retrieval system in which the multidimensional index of time-sequenced representative melodies extracted appropriately based on musical composition forms is used to support quick and appropriate retrievals to users’ melody queries. From the experimental results, we can see that the developed system can retrieve more relevant results than previous systems with smaller storage overhead than whole melody index.","2004","2023-07-05 07:53:21","2023-07-19 11:11:31","2023-07-05 07:53:21","246-258","","","3255","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-540-30204-9_17","","","","","","Benczúr, András; Demetrovics, János; Gottlob, Georg","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6ILUD2H","bookSection","2005","Won, Jae-Yong; Lee, Jae-Heon; Ku, KyongI; Park, Jaehyun; Kim, Yoo-Sung","A Content-Based Music Retrieval System Using Representative Melody Index from Music Databases","Computer Music Modeling and Retrieval","978-3-540-24458-5 978-3-540-31807-1","","","http://link.springer.com/10.1007/978-3-540-31807-1_21","For content-based music retrieval, since not only the correctness of retrieval results but also the performance of retrievals is important, there are great needs for efficient content-based music retrieval systems that can quickly retrieve the relevant music on demand from large music database with low storage overhead. In this paper, we describe the design and implementation of a content-based music retrieval system in which the representative melody index is systemically constructed and used to support quick and appropriate retrievals to users’ melody queries. By using the proposed system for digital music libraries, it could save up to 65% of index space than that for the whole motifs index while the appropriateness of retrieval results is maintained.","2005","2023-07-05 07:53:21","2023-07-19 23:48:32","2023-07-05 07:53:21","280-294","","","3310","","","","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-540-31807-1_21","","","","","","Wiil, Uffe Kock","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Dough; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHHSM4XX","bookSection","2010","Gygi, Brian; Shafiro, Valeriy","From Signal to Substance and Back: Insights from Environmental Sound Research to Auditory Display Design","Auditory Display","978-3-642-12438-9 978-3-642-12439-6","","","http://link.springer.com/10.1007/978-3-642-12439-6_16","","2010","2023-07-05 07:53:21","2023-07-05 07:53:21","2023-07-05 07:53:21","306-329","","","5954","","","From Signal to Substance and Back","","","","","Springer Berlin Heidelberg","Berlin, Heidelberg","","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-642-12439-6_16","","/Users/minsik/Zotero/storage/FQE4JA2J/Gygi and Shafiro - 2010 - From Signal to Substance and Back Insights from E.pdf","","","","Ystad, Sølvi; Aramaki, Mitsuko; Kronland-Martinet, Richard; Jensen, Kristoffer","Hutchison, David; Kanade, Takeo; Kittler, Josef; Kleinberg, Jon M.; Mattern, Friedemann; Mitchell, John C.; Naor, Moni; Nierstrasz, Oscar; Pandu Rangan, C.; Steffen, Bernhard; Sudan, Madhu; Terzopoulos, Demetri; Tygar, Doug; Vardi, Moshe Y.; Weikum, Gerhard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUWIKXFR","bookSection","2020","Huang, Yu Ting; Chu, Chi Nung","Multi-sensations Mechanism of Users on the Learning Platform Design of Music Aural Skills","Frontier Computing","9789811532498 9789811532504","","","http://link.springer.com/10.1007/978-981-15-3250-4_240","This paper discusses the nature of aural skills learning with technology implementation in multi-sensations mechanism. By providing the learning platform design of aural skills with different interface design guidelines, the use of technology with multi-sensations to assist teaching and learning could facilitate more novices to music world.","2020","2023-07-05 07:53:21","2023-07-20 00:06:42","2023-07-05 07:53:21","1803-1809","","","551","","","","","","","","Springer Singapore","Singapore","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Electrical Engineering DOI: 10.1007/978-981-15-3250-4_240","","","","","","Hung, Jason C.; Yen, Neil Y.; Chang, Jia-Wei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H2D86RXQ","journalArticle","2018","Collares, Leandro; Tavares, Tiago F.; Gooch, Amy; Tzanetakis, George","Personalizing self-organizing music spaces with anchors: design and evaluation","Multimedia Tools and Applications","","1380-7501, 1573-7721","10.1007/s11042-017-4465-8","http://link.springer.com/10.1007/s11042-017-4465-8","We propose and evaluate a system for content-based visualization and exploration of music collections. The system is based on a modification of Kohonen’s Self-Organizing Map algorithm and allows users to choose the locations of clusters containing acoustically similar tracks on the music space. A user study conducted to evaluate the system shows that the possibility of personalizing the music space was perceived as difficult. Conversely, the user study and objective metrics derived from users’ interactions with the interface demonstrate that the proposed system helped individuals create playlists faster and, under some circumstances, more effectively. We believe that personalized browsing interfaces are an important area of research in Multimedia Information Retrieval, and both the system and user study contribute to the growing work in this field.","2018-03","2023-07-05 07:53:21","2023-07-21 04:31:53","2023-07-05 07:53:21","5525-5545","","5","77","","Multimed Tools Appl","Personalizing self-organizing music spaces with anchors","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
