"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8PQVSENG","journalArticle","2018","Schito, Joram; Fabrikant, Sara Irina","Exploring maps by sounds: using parameter mapping sonification to make digital elevation models audible","International Journal of Geographical Information Science","","1365-8816","10.1080/13658816.2017.1420192","https://doi.org/10.1080/13658816.2017.1420192","This study empirically investigates the potential of auditory displays for spatial data exploration, as an additional means to broaden the accessibility and dissemination of geographic information for a diverse body of users. In a mixed factorial experiment, three parameter mapping sonification methods are empirically evaluated to interactively explore discrete and continuous digital elevation models by auditory means. Contrasting prior sonification research, this study’s unique empirical evidence suggests that participants can indeed successfully interpret sonified displays containing continuous spatial data. Specifically, the auditory variable pitch leads to significantly better response accuracy, compared to the sound variable duration. Background and training has a weak effect on data interpretation performance with the auditory display. The more immersive the experienced soundscape, the better participants can interpret the sonified terrain. These encouraging empirical results indeed suggest that interactive auditory displays might offer additional means to disseminate spatial information, and to increase the accessibility to spatial data, beyond the currently dominant visual paradigm.","2018-05-04","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:48","874-906","","5","32","","","Exploring maps by sounds","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/13658816.2017.1420192","","/Users/minsik/Zotero/storage/2GKEKBCR/Schito and Fabrikant - 2018 - Exploring maps by sounds using parameter mapping .pdf","","","Auditory display; parameter mapping sonification; digital elevation model; GIS; spatial data analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKNUXUS2","journalArticle","2022","Lau, Tsz Chun Marco; Li, Simon Y. W.; Lee, Alan L. F.; Sanderson, Penelope M.; Loeb, Robert G.","Evaluation of Preview Cues to Enhance Recall of Auditory Sequential Information","Auditory Perception & Cognition","","2574-2442","10.1080/25742442.2022.2095236","https://doi.org/10.1080/25742442.2022.2095236","In previous work, an auditory vital sign display of five patients was developed. Sounds denoting the vital signs of each patient were delivered in order, with a special sound for any patient whose vital signs were all normal. Although the display was effective, accuracy decreased as the number of abnormal patients increased. We wondered whether accuracy would improve with a preview sound indicating the number of patients with abnormal vital signs in the upcoming sequence. A 3 (preview cue type) x 4 (number of abnormal patients) mixed design was adopted. Preview cue type (between-subjects) was either time-compressed speech, an abstract sound containing white noise pulses to indicate the upcoming number of abnormal patients, or no preview cue. The number of abnormal patients (within-subjects) was zero, one, two, or three. Results showed that the preview cue did not improve non-clinician participants’ ability to identify the location in the sequence or the vital signs of patients with abnormal vital signs. Response accuracy dropped as the number of patients with abnormal vital signs increased. Although it did not hurt performance, the current preview cue did not improve performance. Adding a preview cue may improve performance, but not with the current design.","2022-10-02","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:49","282-299","","3-4","5","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/25742442.2022.2095236","","/Users/minsik/Zotero/storage/MTYQBCG4/Lau et al. - 2022 - Evaluation of Preview Cues to Enhance Recall of Au.pdf","","","auditory display; multitasking; patient monitoring; preview cue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9UD6V9KN","journalArticle","2006","Dean, Roger T.; Whitelaw, Mitchell; Smith, Hazel; Worrall, David","The mirage of real-time algorithmic synaesthesia: Some compositional mechanisms and research agendas in computer music and sonification","Contemporary Music Review","","0749-4467","10.1080/07494460600760981","https://doi.org/10.1080/07494460600760981","This article looks at algorithmic synaesthesia, a form of sonic intermedia involving synchronous computer-mediated manipulation of sound and image. In algorithmic synaesthesia extensively shared features are created in the two media. Examples of such work by austraLYSIS and others are discussed. What an audience member can cognitively access in such synaesthesia is considered: creators of intermedia works may overestimate this. The fact that a machine can process image and sound in parallel, and by the same algorithm, does not establish that the human brain can. The transparency of an algorithmic process to a listener-viewer-screener is a core issue in auditory display (or ‘sonification’). Sonification aims to make the segmentation of a data set more accessible than it is when represented numerically or visually, and has many practical and creative applications. Current approaches in experimental cognition may assist us in evaluating these issues.","2006-08-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:50","311-326","","4","25","","","The mirage of real-time algorithmic synaesthesia","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/07494460600760981","","/Users/minsik/Zotero/storage/NML38IT9/Dean et al. - 2006 - The mirage of real-time algorithmic synaesthesia .pdf","","","Sonification; Algorithmic Synaesthesia; Cognition; Intermedia; Microsound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GN5RFGBR","journalArticle","2009","Braasch, Jonas","The Telematic Music System: Affordances for a New Instrument to Shape the Music of Tomorrow","Contemporary Music Review","","0749-4467","10.1080/07494460903422404","https://doi.org/10.1080/07494460903422404","New digital technologies enabled the Virtual Reality movement in the 1990s, which led to the euphoric belief that we could virtually teleport ourselves to a distant location with such great realism that we would lose our awareness of the enabling technology. Especially in the particular case of music collaborations, however, it has meanwhile become clear that this goal is unreachable because of the unavoidable transmission latency over long distances and other secondary factors. This article explores how we can create new and better design goals for telematic music collaborations by treating telematic systems as a new class of musical instruments. From this viewpoint, the creation of new art forms for the new medium becomes a central challenge, in addition to the development of better telematic technology. In particular, the new works need to focus on the affordances that the telematic system introduces, not just circumnavigate current system limitations.","2009-08-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:51","421-432","","4-5","28","","","The Telematic Music System","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/07494460903422404","","/Users/minsik/Zotero/storage/M2DSYB9E/Braasch - 2009 - The Telematic Music System Affordances for a New .pdf","","","Telematic Music; Telepresence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MNFFMKI","journalArticle","2007","Widmer, Gerhard; Rocchesso, Davide; Välimäki, Vesa; Erkut, Cumhur; Gouyon, Fabien; Pressnitzer, Daniel; Penttinen, Henri; Polotti, Pietro; Volpe, Gualtiero","Sound and Music Computing: Research Trends and Some Key Issues","Journal of New Music Research","","0929-8215","10.1080/09298210701859222","https://doi.org/10.1080/09298210701859222","This contribution attempts to give an overview of current research trends and open research problems in the rich field of Sound and Music Computing (SMC). To that end, the field is roughly divided into three large areas related to Sound, Music, and Interaction, respectively, and within each of these, major research trends are briefly described. In addition, for each sub-field a small number of open research (or research strategy) issues are identified that should be addressed in order to further advance the SMC field.","2007-09-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:52","169-184","","3","36","","","Sound and Music Computing","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/09298210701859222","","/Users/minsik/Zotero/storage/4Z8DIFC4/Widmer et al. - 2007 - Sound and Music Computing Research Trends and Som.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V42TCYT4","journalArticle","2023","Nadri, Chihab; Ko, Sangjin; Diggs, Colin; Winters, Michael; Vattakkandy, Sreehari; Jeon, Myounghoon","Sonification Use Cases in Highly Automated Vehicles: Designing and Evaluating Use Cases in Level 4 Automation","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2023.2180236","https://doi.org/10.1080/10447318.2023.2180236","The introduction of highly automated driving systems is expected to significantly change in-vehicle interactions, creating opportunities for the design of novel use cases and interactions for occupants. In this study, we sought to identify and extract these novel use cases and determine preliminary auditory display recommendations for these novel situations. We developed and generated use cases for level 4 automated vehicles through an expert workshop (N = 17) and online focus group interviews (N = 12). Most of the use cases we generated were then tested, apart from meditation, and user opinions were collected in a driving simulator study (N = 20). Results indicated participants were interested in functions that support their experience with both driving and non-driving related interactions in highly automated vehicles. Three categories of use cases for level 4 automated vehicles were developed: driving automation use cases, immersion use cases, and in-vehicle notification use cases. For the driving simulator study, we tested three display modalities for interaction with drivers: visual alert only, non-speech with visual, and speech with visual. In terms of situation awareness (SA), the non-speech with visual display was associated with significantly better SA for the use case consisting of a planned increase in automation level than the speech-with visual display. This study will provide guidance on sonification design to advance user experiences in highly automated vehicles.","2023-02-26","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:53","1-11","","0","0","","","Sonification Use Cases in Highly Automated Vehicles","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2023.2180236","","/Users/minsik/Zotero/storage/8QDNS3XP/Nadri et al. - 2023 - Sonification Use Cases in Highly Automated Vehicle.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTJCSQHQ","journalArticle","1997","Pennycook, Bruce","Live electroacoustic music: Old problems, new solutions","Journal of New Music Research","","0929-8215","10.1080/09298219708570717","https://doi.org/10.1080/09298219708570717","This paper presents some observations on certain fundamental issues associated with the presentation of music which combines performers and electronically generated and processed signals delivered by loudspeakers. I contend that several factors have limited the growth of the genre and will attempt to illustrate their origins and consequences. These comments lead to some general recommendations to correct the situation and to some observations from my own experiences as a composer and performer. Finally, I examine a few new technologies which may soon impact the genre.","1997-03-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:54","70-95","","1","26","","","Live electroacoustic music","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/09298219708570717","","/Users/minsik/Zotero/storage/ZTWPCNHX/Pennycook - 1997 - Live electroacoustic music Old problems, new solu.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VRJHMLEN","journalArticle","1996","Begault, Durand R.; Pittman, Marc T.","Three-Dimensional Audio Versus Head-Down Traffic Alert and Collision Avoidance System Displays","The International Journal of Aviation Psychology","","1050-8414","10.1207/s15327108ijap0601_5","https://doi.org/10.1207/s15327108ijap0601_5","The advantage of a head-up auditory display for situational awareness was evaluated in an experiment designed to measure and compare the acquisition time for capturing visual targets under two conditions: standard headdown Traffic Alert and Collision Avoidance System (TCAS) display and three-dimensional (3-D) audio TCAS presentation. (The technology used for 3-D audio presentation allows a stereo headphone user to potentially localize a sound at any externalized position in 3-D auditory space). Ten commercial airline crews were tested under full-mission simulation conditions at the NASA-Ames Crew-Vehicle Systems Research Facility Advanced Concepts Flight Simulator. Scenario software generated targets corresponding to aircraft that activated a 3-D aural advisory (the head-up auditory condition) or a standard, visual-audio TCAS advisory (map display with monaural audio alert). Results showed a significant difference in target acquisition time between the two conditions, favoring the 3-D audio TCAS condition by 500 ms.","1996-01-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:55","79-93","","1","6","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1207/s15327108ijap0601_5 PMID: 11539173","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIN9VHF3","journalArticle","2022","Ko, Sangjin; Kutchek, Kyle; Zhang, Yiqi; Jeon, Myounghoon","Effects of Non-Speech Auditory Cues on Control Transition Behaviors in Semi-Automated Vehicles: Empirical Study, Modeling, and Validation","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2021.1937876","https://doi.org/10.1080/10447318.2021.1937876","In semi-automated vehicles, non-speech sounds have been prevalently used as auditory displays for control transitions since these sounds convey urgency well. However, there are no standards of specifications for warning sounds so that diverse non-speech sounds are being employed. To shed light on this, the effects of different non-speech auditory warnings on driver performance were investigated and quantified through the experimental study and human performance modeling approaches. Twenty-four young drivers drove in the driving simulator and experienced both handover and takeover transitions between manual and automated modes while performing a secondary task. The reaction times for handover and takeover, mental workload, and subjective responses were reported. Overall, a traditional warning sound with many repetitions and an indicator sound with decreasing polarity outperformed and were preferred. Additionally, a mathematical model, using the Queuing Network-Model Human Processor (QN-MHP) framework, was applied to quantify the effects of auditory warnings’ acoustic characteristics on drivers’ reaction times in response to takeover request displays. The acoustic characteristics, including the fundamental frequency, the number of repetitions, and the range of dominant frequencies were utilized in modeling. The model was able to explain 99.7% of the experimental data with a root mean square error (RMSE) of 0.148. The present study can contribute to establishing standards and design guidelines for takeover request displays in semi-automated vehicles.","2022-01-20","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:56","185-200","","2","38","","","Effects of Non-Speech Auditory Cues on Control Transition Behaviors in Semi-Automated Vehicles","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2021.1937876","","/Users/minsik/Zotero/storage/Z3T746XD/Ko et al. - 2022 - Effects of Non-Speech Auditory Cues on Control Tra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JREAWNQ7","journalArticle","2007","Bernardini, Nicola; de Poli, Giovanni","The Sound and Music Computing Field: Present and Future","Journal of New Music Research","","0929-8215","10.1080/09298210701862432","https://doi.org/10.1080/09298210701862432","This paper is a general introduction for the theme of this special issue. It attempts to give a definition of the Sound and Music Computing research field stemming from its methodologies, aims and approaches. A brief account of the disciplines involved along with their academic organization follows, along with a short description of the areas of application involved. Since Sound and Music Computing has recently enjoyed a deep world-wide reflection upon its own goals, visions and perspectives which has resulted in several roadmapping exercises, the last part of this article provides a summary of these exercises by introducing them in the context in which they were created.","2007-09-01","2023-07-12 05:33:57","2023-07-12 05:33:57","2023-07-12 05:33:57","143-148","","3","36","","","The Sound and Music Computing Field","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/09298210701862432","","/Users/minsik/Zotero/storage/XKIWHXPR/Bernardini and de Poli - 2007 - The Sound and Music Computing Field Present and F.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
