"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FDZMB7X7","journalArticle","1999","Morley, Sarah; Petrie, Helen; O'Neill, Anne-Marie; McNally, Peter","Auditory navigation in hyperspace: Design and evaluation of a non-visual hypermedia system for blind users","Behaviour & Information Technology","","0144-929X","10.1080/014492999119219","https://doi.org/10.1080/014492999119219","This paper presents the design and evaluation of a hypermedia system for blind users, making use of a nonvisual interface, non-speech sounds, three input devices, and a 37 node hypermedia module. The important components of an effective auditory interface are discussed, together with the design of the auditory interface to hypermedia material. The evaluation, which was conducted over several weeks and used a range of complementary objective and subjective measures to assess users' performance and preferences, is described. The findings from the evaluation with nine visually impaired student participants are presented. The results from this research can be applied to the design and evaluation of other non-visual hypermedia systems, such as auditory World Wide Web (WWW) browsers and digital talking books.","1999-01-01","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:24","18-26","","1","18","","","Auditory navigation in hyperspace","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/014492999119219","","/Users/minsik/Zotero/storage/YAMKNU7S/Morley et al. - 1999 - Auditory navigation in hyperspace Design and eval.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LV3WS2F","journalArticle","1997","Mynatt, Elizabeth D.","Transforming Graphical Interfaces Into Auditory Interfaces for Blind Users","Human–Computer Interaction","","0737-0024","10.1080/07370024.1997.9667239","https://www.tandfonline.com/doi/abs/10.1080/07370024.1997.9667239","Although graphical interfaces have provided a host of advantages to the majority of computer users, they have created a significant barrier to blind computer users. To meet the needs of these users, a methodology for transforming graphical interfaces into nonvisual interfaces has been developed. In this design, the salient components of graphical interfaces are transformed into auditory interfaces. Based on a hierarchical model of the graphical interface, the auditory interface utilizes auditory icons to convey interface objects. Users navigate the interface by traversing its hierarchical structure. This design results in a usable interface that meets the needs of blind users and provides many of the benefits of graphical interfaces.","1997-03-01","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:25","7-45","","1-2","12","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://www.tandfonline.com/doi/pdf/10.1080/07370024.1997.9667239","","/Users/minsik/Zotero/storage/DL6WPABT/Mynatt - 1997 - Transforming Graphical Interfaces Into Auditory In.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D28BTI4T","journalArticle","2022","Ligeti, Lukas","Artistic innovation through African concepts: education for art music composers based on African traditions","Journal of the Musical Arts in Africa","","1812-1004","10.2989/18121004.2022.2134471","https://doi.org/10.2989/18121004.2022.2134471","African music studies are generally undertaken within the field of ethnomusicology. Instruction in art music composition is, however, almost always based exclusively on Western practice, with the potential of African culture as the foundation for new, experimental work remaining unaddressed. African music traditions feature unique approaches to musical elements, make extensive use of cognitive phenomena in ways different from Western music, and have different relationships with other art forms. Building upon ethnomusicological research and intercultural collaboration, my approach to teaching concepts from African traditions, which is not intended as an antidote to Western cultural practices but as a broadening of horizons, does not promote imitation or appropriation, leading instead to the development of innovative musical ideas through an understanding of African music practices. In this article, I address a curricular innovation in tertiary art music composition pedagogy: experimental music composition based on concepts from African music traditions. I describe my personal experiences in purposefully undertaking sustained activities in this direction; I explain why I believe this course of study to be valuable in decolonisation and enhancing creativity; and I suggest outcomes to which this might lead. I will refer to selected writings by the Austrian ethnomusicologist Gerhard Kubik as a thread connecting my arguments.","2022-07-03","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:25","57-73","","1-2","19","","","Artistic innovation through African concepts","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.2989/18121004.2022.2134471","","/Users/minsik/Zotero/storage/9BM6LU43/Ligeti - 2022 - Artistic innovation through African concepts educ.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUFYWRWT","journalArticle","2002","Polkosky, Melanie D.; Lewis, James R.","Effect of Auditory Waiting Cues on Time Estimation in Speech Recognition Telephony Applications","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2002.9669128","https://doi.org/10.1080/10447318.2002.9669128","Previous empirical research in subjective time estimation and applied work in auditory interface design imply that designers can use auditory stimuli during system processing to manipulate users' perception of its duration. Two experiments investigate the effect of system response time (SRT) duration and rate of change of an auditory waiting cue on participants' subjective time estimates and perceived affect. The results showed that perceived SRT duration and ratings of perceived anxiety, stress, and impatience increased as ticking rate increased. However, with a slow rate (2-sec ticking), participants underestimated the duration of SRT, but indicated a significant increase in negative affect as compared with silent conditions. These results suggest that interface designers may reduce the subjective duration and negative affective states of SRT through carefully chosen, slow tempo system processing tones. The results of this research also stress the importance of thoughtful, informed interface design that makes contact with the empirical literature of the cognitive sciences.","2002-09-01","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:26","423-446","","3-4","14","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2002.9669128","","/Users/minsik/Zotero/storage/BH558THF/Polkosky and Lewis - 2002 - Effect of Auditory Waiting Cues on Time Estimation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSRUKEKD","journalArticle","1989","Gaver, William W.","The SonicFinder: An Interface That Uses Auditory Icons","Human–Computer Interaction","","0737-0024","10.1207/s15327051hci0401_3","https://www.tandfonline.com/doi/abs/10.1207/s15327051hci0401_3","The appropriate use of nonspeech sounds has the potential to add a great deal to the functionality of computer interfaces. Sound is a largely unexploited medium of output, even though it plays an integral role in our everyday encounters with the world, a role that is complementary to vision. Sound should be used in computers as it is in the world, where it conveys information about the nature of sound-producing events. Such a strategy leads to auditory icons, which are everyday sounds meant to convey information about computer events by analogy with everyday events. Auditory icons are an intuitively accessible way to use sound to provide multidimensional, organized information to users. These ideas are instantiated in the SonicFinder, which is an auditory interface I developed at Apple Computer, Inc. In this interface, information is conveyed using auditory icons as well as standard graphical feedback. I discuss how events are mapped to auditory icons in the SonicFinder, and illustrate how sound is used by describing a typical interaction with this interface. Two major gains are associated with using sound in this interface: an increase in direct engagement with the model world of the computer and an added flexibility for users in getting information about that world. These advantages seem to be due to the iconic nature of the mappings used between sound and the information it is to convey. I discuss sound effects and source metaphors as methods of extending auditory icons beyond the limitations implied by literal mappings, and I speculate on future directions for such interfaces.","1989-03-01","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:27","67-94","","1","4","","","The SonicFinder","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://www.tandfonline.com/doi/pdf/10.1207/s15327051hci0401_3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V4ECEVGA","journalArticle","1997","Stevens, Robert D.; Edwards, Alistair D.N.; Harling, Philip A.","Access to Mathematics for Visually Disabled Students Through Multimodal Interaction","Human–Computer Interaction","","0737-0024","10.1080/07370024.1997.9667240","https://www.tandfonline.com/doi/abs/10.1080/07370024.1997.9667240","Mathematics relies on visual forms of communication and is thus largely inaccessible to people who cannot communicate in this manner because of visual disabilities. This article outlines the Mathtalk project, which addressed this problem by using computers to produce multimodal renderings of mathematical information. This example is unusual in that it is essential to use multiple modalities because of the nature and the difficulty of the application. In addition, the emphasis is on nonvisual (and hence novel) modalities. Crucial to designing a usable auditory interface to algebra notation is an understanding of the differences between visual and listening reading, particularly those aspects that make the former active and the latter passive. A discussion of these differences yields the twin themes of compensation for lack of external memory and provision of control over information flow. These themes were addressed by: the introduction of prosody to convey algebraic structure in synthetically spoken expressions; the provision of structure-based browsing functions; and the use of a prosody-based musical glance based on algebra earcons. The addition of prosody, when compared to a traditional method of presenting spoken algebra, was experimentally shown to increase the recovery of algebraic structure, enhance the retention of content, and reduce mental workload. These three factors can be said to compensate for the lack of an adequate external memory. Evaluations showed that the browsing functions and associated command language gave the fast and accurate control over information flow that is necessary for active reading. The algebra earcon was experimentally shown to convey the presence, location, and size of algebraic constructs within an expression in a manner that might be used as a rapid glance. Finally, an evaluation of the integrated components showed that the design principles derived from the Mathtalk program can give a more usable, active reading of algebra notation than that possible with traditional methods.","1997-03-01","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:28","47-92","","1-2","12","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://www.tandfonline.com/doi/pdf/10.1080/07370024.1997.9667240","","/Users/minsik/Zotero/storage/N47U2XJ3/Stevens et al. - 1997 - Access to Mathematics for Visually Disabled Studen.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFSWP8S6","journalArticle","2023","Caroux, Loïc; Pujol, Morgane","Player Enjoyment in Video Games: A Systematic Review and Meta-analysis of the Effects of Game Design Choices","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2023.2210880","https://doi.org/10.1080/10447318.2023.2210880","Enjoyment is a widely assessed dimension of the video game player’s experience. A systematic literature review and a meta-analysis were conducted to provide a more comprehensive view of the elements of game design that affect the feeling of enjoyment, as well as its assessment techniques. The review showed that the studies covered major aspects of game design, such as in-game contents, input/output information, and, to a lesser extent, multiplayer aspects. The meta-analysis showed that only the presence of music in the game had a significant effect on enjoyment. Other factors, including more studied factors such as game difficulty and control mode, did not show significant effects. Implications for future research are discussed, such as further investigation of the effects of both player and game characteristics diversity on enjoyment in isolation and in interaction with game design factors, systematic use of standardized scales to measure enjoyment, and use of multidimensional scales or physiological measures.","2023-05-28","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:29","1-12","","0","0","","","Player Enjoyment in Video Games","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2023.2210880","","/Users/minsik/Zotero/storage/IS3L8XMH/Caroux and Pujol - 2023 - Player Enjoyment in Video Games A Systematic Revi.pdf","","","music; player experience; control mode; difficulty; Game user research; standardized scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFS8MVQT","journalArticle","2018","Yu, Bin; Funk, Mathias; Hu, Jun; Feijs, Loe","Unwind: a musical biofeedback for relaxation assistance","Behaviour & Information Technology","","0144-929X","10.1080/0144929X.2018.1484515","https://doi.org/10.1080/0144929X.2018.1484515","Unwind is a musical biofeedback interface which combines nature sounds and sedative music into a form of New-Age music for relaxation exercises. The nature sounds respond to the user’s physiological data, functioning as an informative layer for biofeedback display. The sedative music aims to induce calmness and evoke positive emotions. UnWind incorporates the benefits of biofeedback and sedative music to facilitate deep breathing, moderate arousal, and promote mental relaxation. We evaluated Unwind in a 2 × 2 factorial experiment with music and biofeedback as independent factors. Forty young adults performed the relaxation exercise under one of the following conditions after experiencing a stressful task: Nature sounds only (NS), Nature sounds with music (NM), and Auditory biofeedback with nature sounds (NSBFB), and UnWind musical biofeedback (NMBFB). The results revealed a significant interaction effect between music and biofeedback on the improvement of heart rate variability. The combination of music and nature sounds also showed benefits in lowering arousal and reducing self-report anxiety. We conclude with a discussion of UnWind for biofeedback and the wider potential of blending nature sounds with music as a musical interface.","2018-08-03","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:30","800-814","","8","37","","","Unwind","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/0144929X.2018.1484515","","/Users/minsik/Zotero/storage/347XIFA3/Yu et al. - 2018 - Unwind a musical biofeedback for relaxation assis.pdf","","","sonification; Biofeedback; heart rate variability; musical display; relaxation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXZ429JA","journalArticle","2016","Hussain, Ibrar; Chen, Ling; Mirza, Hamid Turab; Wang, Liwen; Chen, Gencai; Memon, Imran","Chinese-Based Spearcons: Improving Pedestrian Navigation Performance in Eyes-Free Environment","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2016.1160669","https://doi.org/10.1080/10447318.2016.1160669","This article presents nonspeech audio (i.e., English-based spearcons and Chinese-based spearcons) to represent distance, and forward-direction for pedestrian navigation in an eyes-free environment. Experiment in the field is carried out with the involvement of 10 participants (i.e., native Chinese) using within-subject design to evaluate English-based spearcons, Chinese-based spearcons, and Chinese text-to-speech (TTS). Results from the experiment suggest that Chinese-based spearcons are efficient in task completion compared to Chinese TTS. Moreover, Chinese-based spearcons are more effective in conveying distance and forward-direction compared to English-based spearcons in pedestrian navigation. Overall, participants have shown their satisfaction with Chinese-based spearcons as an auditory feedback in pedestrian navigation.","2016-06-02","2023-07-12 05:31:32","2023-07-12 05:31:32","2023-07-12 05:31:32","460-469","","6","32","","","Chinese-Based Spearcons","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2016.1160669","","/Users/minsik/Zotero/storage/EEEHDC8D/Hussain et al. - 2016 - Chinese-Based Spearcons Improving Pedestrian Navi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IGBE9E67","journalArticle","2003","Gärdenfors, Dan","Designing sound-based computer games","Digital Creativity","","1462-6268","10.1076/digc.14.2.111.27863","https://doi.org/10.1076/digc.14.2.111.27863","Designing interactive entertainment for visually impaired users poses several challenges. This article points out some key issues faced when developing sound-based computer games. The three games described here were developed for the Swedish Library of Talking Books and Braille (TPB), to be published on the TPB Internet site (TPB 2002). These games, Towers of Hanoi, Memory and Tag, can be played without the aid of graphics, although they do also feature animations of a style designed for partially sighted players. The games are fairly simple Macromedia Flash™ applications, suitable for web publishing, and while not so complex as some other titles, they still emphasise some crucial design issues of creating sound-based interactive media.","2003-06-01","2023-07-18 06:16:09","2023-07-18 06:16:09","2023-07-18 06:16:00","111-114","","2","14","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1076/digc.14.2.111.27863","","/Users/minsik/Zotero/storage/NTRCUZIA/Gärdenfors - 2003 - Designing sound-based computer games.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
