"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C55BERZ2","journalArticle","2022","Helmuth, Mara; Schedel, Margaret","Links between sonification and generative music","Interdisciplinary Science Reviews","","0308-0188","10.1080/03080188.2022.2035106","https://doi.org/10.1080/03080188.2022.2035106","The authors investigate works by four composers who employed technology in the creation of music employing audification, sonification and algorithmic composition techniques. These compositions involve interdisciplinary collaborations either with scientific researchers, in the case of Annea Lockwood's Dusk and Carla Scaletti's hàgg, or artificial intelligence, in George Lewis's Voyager, and Bob Sturm's The Waters of Heanny. Each composer's choice of input data, custom-designed tools and personal compositional processes result in unique, expressive works that challenge the listener to expand their view of music and reality.","2022-04-03","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:07","215-242","","2","47","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/03080188.2022.2035106","","/Users/minsik/Zotero/storage/U6A7ZB94/Helmuth and Schedel - 2022 - Links between sonification and generative music.pdf","","","Sonification; music; composition; improvisation; mathematics; generative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U75MKMU5","journalArticle","2021","Devroop, Chatradari ‘Chats’; Titlestad, Michael","Sonification and Music: Science meets Art","English Studies in Africa","","0013-8398","10.1080/00138398.2021.1969120","https://doi.org/10.1080/00138398.2021.1969120","The opposites, science and the arts, have always enjoyed a relationship. Recently, this relationship has been expressed in sonification, a branch of science seeking to add sound to data, giving data music-like intelligibility. Scientists believe that our aural capabilities are a potentially rich source of data that could assist in problem solving. In 2020, a sonic realization of the coronavirus was generated using its spike protein data. This sonification endeavoured to probe the coronavirus aurally. However, the creators of this sonified scientific probe are now claiming that their experiment is also a music composition. We examine this claim. This paper is underpinned by the conviction that not all sound is music. Music cannot represent anything other than itself because our understanding of music is always via allegory. Therefore, the efforts of Buehler, it is argued, are misdirected and trivial when placed in the stressed socio-political context of COVID-19.","2021-11-17","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:09","181-191","","1-2","64","","","Sonification and Music","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/00138398.2021.1969120","","/Users/minsik/Zotero/storage/WH45JTDY/Devroop and Titlestad - 2021 - Sonification and Music Science meets Art.pdf","","","sonification; music; art; aesthetics; coronavirus; desonification; science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQK7WF4J","journalArticle","2019","Franjou, Sebastian L.; Milazzo, Mario; Yu, Chi-Hua; Buehler, Markus J.","Sounds interesting: can sonification help us design new proteins?","Expert Review of Proteomics","","1478-9450","10.1080/14789450.2019.1697236","https://doi.org/10.1080/14789450.2019.1697236","Introduction: The practice of turning scientific data into music, a practice known as sonification, is a growing field. Driven by analogies between the hierarchical structures of proteins and many forms of music, multiple attempts of mapping proteins to music have been made. Previous works have either worked at a low level, mapping amino acid to notes, or at a higher level, using the overall structure as a basis for composition.Areas covered: We report a comprehensive mapping strategy that encompasses the encoding of the geometry of proteins, in addition to the amino acid sequence and secondary structure information. This leads to a piece of music that is both more complete and closely linked to the original protein. By using this mapping, we can invert the process and map music to proteins, retrieving not only the amino acid sequence but also the secondary structure and folding from musical data.Expert opinion: We can train a machine learning model on ‘protein music’ to generate new music that can be translated to new proteins. By selecting proper datasets and conditioning parameters on the generative model, we could tune de novo proteins with high level parameters to achieve certain protein design features.","2019-12-02","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:09","875-879","","11-12","16","","","Sounds interesting","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/14789450.2019.1697236 PMID: 31756126","","/Users/minsik/Zotero/storage/AMLQMSDV/Franjou et al. - 2019 - Sounds interesting can sonification help us desig.pdf","","","sonification; music; sound; design; amino acids; Biomateriomics; materiomusic; proteins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DTF6EEEV","journalArticle","2006","Dean, Roger T.; Whitelaw, Mitchell; Smith, Hazel; Worrall, David","The mirage of real-time algorithmic synaesthesia: Some compositional mechanisms and research agendas in computer music and sonification","Contemporary Music Review","","0749-4467","10.1080/07494460600760981","https://doi.org/10.1080/07494460600760981","This article looks at algorithmic synaesthesia, a form of sonic intermedia involving synchronous computer-mediated manipulation of sound and image. In algorithmic synaesthesia extensively shared features are created in the two media. Examples of such work by austraLYSIS and others are discussed. What an audience member can cognitively access in such synaesthesia is considered: creators of intermedia works may overestimate this. The fact that a machine can process image and sound in parallel, and by the same algorithm, does not establish that the human brain can. The transparency of an algorithmic process to a listener-viewer-screener is a core issue in auditory display (or ‘sonification’). Sonification aims to make the segmentation of a data set more accessible than it is when represented numerically or visually, and has many practical and creative applications. Current approaches in experimental cognition may assist us in evaluating these issues.","2006-08-01","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:11","311-326","","4","25","","","The mirage of real-time algorithmic synaesthesia","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/07494460600760981","","/Users/minsik/Zotero/storage/75RWQ2DB/Dean et al. - 2006 - The mirage of real-time algorithmic synaesthesia .pdf","","","Sonification; Algorithmic Synaesthesia; Cognition; Intermedia; Microsound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6SMWBAK","journalArticle","2019","Rönnberg, Niklas","Musical sonification supports visual discrimination of color intensity","Behaviour & Information Technology","","0144-929X","10.1080/0144929X.2019.1657952","https://doi.org/10.1080/0144929X.2019.1657952","Visual representations of data introduce several possible challenges for the human visual perception system in perceiving brightness levels. Overcoming these challenges might be simplified by adding sound to the representation. This is called sonification. As sonification provides additional information to the visual information, sonification could be useful in supporting the visual perception. In the present study, usefulness (in terms of accuracy and response time) of sonification was investigated with an interactive sonification test. In the test, participants were asked to identify the highest brightness level in a monochrome visual representation. The task was performed in four conditions, one with no sonification and three with different sonification settings. The results show that sonification is useful, as measured by higher task accuracy, and that the participant's musicality facilitates the use of sonification with better performance when sonification was used. The results were also supported by subjective measurements, where participants reported an experienced benefit of sonification.","2019-10-03","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:12","1028-1037","","10","38","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/0144929X.2019.1657952","","/Users/minsik/Zotero/storage/T63FKW9Y/Rönnberg - 2019 - Musical sonification supports visual discriminatio.pdf","","","Interactive sonification; visualisation; multimodality; musical elements; visual perception","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NH7QAN6N","journalArticle","2021","Trček, Denis","Cruxes for visual domain sonification in digital arts","Digital Creativity","","1462-6268","10.1080/14626268.2021.2002913","https://doi.org/10.1080/14626268.2021.2002913","Two main types of human perception are seeing and hearing. They play a central role in everyday life, scientific research, and also fine arts. Especially in the visual arts, linking the auditory and the visual realms is not uncommon. However, when it comes to linking the visual domain with the audio domain, the possibilities there are less addressed. Therefore, in this paper, we conceptualize the so-called cruxes for sonification of the visual domain. These are hierarchically structured transformations of the main elements in both domains, starting at the physics level, then extending to the physiological level, and finally to the artistic level. They offer a strong basis for creative sonification efforts and are intended for computer-based (generative) art production. In brief, this paper shows that sonification has a strong potential for artistic sonic creations, where scientific basis can play an important role, when linking the visual, acoustic, and physiological domains.","2021-10-02","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:13","293-306","","4","32","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/14626268.2021.2002913","","/Users/minsik/Zotero/storage/XHCL2VGE/Trček - 2021 - Cruxes for visual domain sonification in digital a.pdf","","","sonification; generative arts; sound realm; visual realm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGGTIBZE","journalArticle","2022","Nadri, Chihab; Anaya, Chairunisa; Yuan, Shan; Jeon, Myounghoon","From Visual Art to Music: Sonification Can Adapt to Painting Styles and Augment User Experience","International Journal of Human–Computer Interaction","","1044-7318","10.1080/10447318.2022.2091210","https://doi.org/10.1080/10447318.2022.2091210","Advances in the fields of data processing and sonification have been applied to transcribe a variety of visual experiences into an auditory format. Although image sonification examples exist, the application of these principles to visual art has not been examined thoroughly. We sought to develop and evaluate a set of guidelines for the sonification of visual artworks. Through conducting expert interviews (N = 11), we created an initial sonification algorithm that accounts for art style, lightness, and color diversity to modulate the sonified output in terms of tempo and pitch. This algorithm was evaluated through user evaluations (N = 22). User study responses supported expert interview findings, the notion that sonification can be designed to match the experience of viewing an artwork, and showed interesting interaction effects among art styles, visual components, and musical parameters. We suggest the proposed guidelines can augment visitor experiences at art exhibits and provide the basis for further experimentation.","2022-07-01","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:14","1-13","","0","0","","","From Visual Art to Music","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2022.2091210","","/Users/minsik/Zotero/storage/ATHASK5H/Nadri et al. - 2022 - From Visual Art to Music Sonification Can Adapt t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCMC2524","journalArticle","2016","Supper, Alexandra","Lobbying for the ear, listening with the whole body: the (anti-)visual culture of sonification","Sound Studies","","2055-1940","10.1080/20551940.2016.1214446","https://doi.org/10.1080/20551940.2016.1214446","Sonification, the transformation of data into sound, is often argued to challenge the “visual culture” of science. Based on an analysis of rhetorical discourses as well as bodily practices within the sonification community, I show that the relationship between sonification and visual culture is in fact more complex and ambivalent: in publications and interviews, sonification researchers blame visual practices for the marginalisation of sound, but also look up to visualisation as a role model. I argue that this delicate balancing act can be regarded as an expression of what historian of science Thomas Kuhn has referred to as the “essential tension” of science between convention and iconoclasm; here: between questioning a scientific status quo (equated with a “visual bias”) and conforming to it. Turning towards the sonic and embodied skills involved in doing sonification work, I show that the different sensory modalities, which seem so neatly bounded in discourses about sonification, are intimately intertwined in practice.","2016-01-02","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:15","69-80","","1","2","","","Lobbying for the ear, listening with the whole body","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.1080/20551940.2016.1214446","","/Users/minsik/Zotero/storage/KNYGW94X/Supper - 2016 - Lobbying for the ear, listening with the whole bod.pdf","","","Sonification; embodied skills; essential tension; sound and vision; visual culture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3W2FHCHP","journalArticle","2005","Ekdale, A. A.; Tripp, Alan C.","Paleontological Sonification: Letting Music Bring Fossils to Your Ears","Journal of Geoscience Education","","1089-9995","10.5408/1089-9995-53.3.271","https://doi.org/10.5408/1089-9995-53.3.271","Sonification is the process of translating any type of data into sound. In paleontology, it is possible to render various aspects of fossil shapes, such as cephalopod suture patterns or brachiopod commissure lines, as a series of musical tones that can be recognized easily by the human ear. Paleontological applications of sonification might enable auditory perception of morphologic patterns in fossils that may or may not be visually apparent. Some simple classroom demonstrations can help students understand the potential of using sound to identify different types of fossils with their eyes closed (i.e., using their ears alone).","2005-05-01","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:16","271-280","","3","53","","","Paleontological Sonification","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Routledge _eprint: https://doi.org/10.5408/1089-9995-53.3.271","","/Users/minsik/Zotero/storage/VBSH68IU/Ekdale and Tripp - 2005 - Paleontological Sonification Letting Music Bring .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZBRM3LF","journalArticle","2008","Spain, Randall D.; Bliss, James P.","The effect of sonification display pulse rate and reliability on operator trust and perceived workload during a simulated patient monitoring task","Ergonomics","","0014-0139","10.1080/00140130802120234","https://doi.org/10.1080/00140130802120234","The present study investigated the effects of sonification pulse rate and sensor reliability on operator trust and mental workload. Processing resources and operator trust were sensitive to both pulse rate and sensor reliability. These findings suggest that setting pulse rates to 60 pulses per min may have considerable benefits in critical task environments.","2008-09-01","2023-07-12 05:12:28","2023-07-12 05:12:28","2023-07-12 05:12:17","1320-1337","","9","51","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/00140130802120234 PMID: 18802818","","/Users/minsik/Zotero/storage/UUAGRKKG/Spain and Bliss - 2008 - The effect of sonification display pulse rate and .pdf","","","sonification; trust; mental workload; system reliability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
